ligand,Hypoxic Tumor Cells,Exhausted T Cells,Dyskeratotic Tumor Cells,Metabolic Invasive Basal Cells,Dendritic Cells,B Cells,Cytotoxic T Cells,Stroma & Smooth Muscle,Regulatory T Cells,Macrophages,Plasma Cells,Neutrophils,Naive & Memory T Cells,Migratory Invasive Basal Cells,Parabasal Tumor Cells,Mast Cells,Endothelial Cells,OR4F17+ Cells,Detachment,Interstitial Fibroblasts,Differentiating Tumor Cells,Proliferative Parabasal Cells,Cancer Associated Fibroblasts,Endocervical Columnar Cells,Endocervical Ciliated Cells,nan,Smooth Muscle
A2M,0.4591106231765718,0.2970838078269149,0.2970838078269149,0.1635014553912796,0.1635014553912796,0.2970838078269149,0.2970838078269149,0.0711087576556435,0.1084595580176469,0.2970838078269149,0.2970838078269149,0.2970838078269149,0.2970838078269149,0.1635014553912796,0.1635014553912796,0.2970838078269149,0.0711087576556435,0.2970838078269149,0.2333938219086386,0.2333938219086386,0.1635014553912796,0.1635014553912796,0.1084595580176469,1.0,1.0,,0.224056603288777
AANAT,0.4532942243132915,0.058244902229881,0.2652337003382056,0.2894291785403607,0.2894291785403607,0.1572830332836084,0.1572830332836084,0.2894291785403607,0.111268898104522,0.1572830332836084,0.1572830332836084,0.2652337003382056,0.1572830332836084,0.2894291785403607,0.2894291785403607,0.1572830332836084,0.2894291785403607,0.2652337003382056,0.2894291785403607,0.2894291785403607,0.2894291785403607,0.2894291785403607,0.111268898104522,1.0,1.0,,0.2894291785403607
ACE,0.4526824158329131,0.0744237185108177,0.2652086664706679,0.2901333546489911,0.2901333546489911,0.1538478944731884,0.1538478944731884,0.2901333546489911,0.1109721186751564,0.1538478944731884,0.1538478944731884,0.2652086664706679,0.1538478944731884,0.2901333546489911,0.2901333546489911,0.1538478944731884,0.2901333546489911,0.2652086664706679,0.2901333546489911,0.2901333546489911,0.2901333546489911,0.2901333546489911,0.1109721186751564,1.0,1.0,,0.2901333546489911
ACTR2,0.4536484533637109,0.050737582214071,0.2933112399415226,0.1692918580646814,0.0883577522532398,0.2933112399415226,0.2933112399415226,0.2218718870391469,0.1116689858947121,0.2933112399415226,0.2933112399415226,0.2933112399415226,0.2933112399415226,0.1692918580646814,0.1692918580646814,0.2933112399415226,0.2218718870391469,0.2933112399415226,0.2218718870391469,0.2218718870391469,0.1692918580646814,0.1692918580646814,0.1116689858947121,1.0,1.0,,0.2218718870391469
ADA,0.4460839306932096,0.1663933995750023,0.2651319456197755,0.2969192054783898,0.2969192054783898,0.0941769553965213,0.0941769553965213,0.2969192054783898,0.1663933995750023,0.0941769553965213,0.0941769553965213,0.2651319456197755,0.0941769553965213,0.2969192054783898,0.2969192054783898,0.0941769553965213,0.2969192054783898,0.2651319456197755,0.2969192054783898,0.2969192054783898,0.2969192054783898,0.2969192054783898,0.1663933995750023,1.0,1.0,,0.2969192054783898
ADAM10,0.4461643068095188,0.166610921538129,0.2643935680628184,0.2968586131066503,0.2968586131066503,0.0926545415203191,0.0926545415203191,0.2968586131066503,0.166610921538129,0.0926545415203191,0.0926545415203191,0.2643935680628184,0.0926545415203191,0.2968586131066503,0.2968586131066503,0.0926545415203191,0.2968586131066503,0.2643935680628184,0.2968586131066503,0.2968586131066503,0.2968586131066503,0.2968586131066503,0.166610921538129,1.0,1.0,,0.2968586131066503
ADAM11,0.4547670697229034,0.0752033369915025,0.2661795133691077,0.2880974209410885,0.2880974209410885,0.1628110947873587,0.1628110947873587,0.2880974209410885,0.1059607984810398,0.1628110947873587,0.1628110947873587,0.2661795133691077,0.1628110947873587,0.2880974209410885,0.2880974209410885,0.1628110947873587,0.2880974209410885,0.2661795133691077,0.2880974209410885,0.2880974209410885,0.2880974209410885,0.2880974209410885,0.1059607984810398,1.0,1.0,,0.2880974209410885
ADAM12,0.1358166653230012,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,0.4106129127412009,1.0,1.0,,0.4106129127412009
ADAM15,0.4599099921213693,0.1654819388071839,0.3005111402635337,0.0729682733592528,0.0514054986301045,0.3005111402635337,0.3005111402635337,0.2107655823011268,0.1654819388071839,0.3005111402635337,0.3005111402635337,0.3005111402635337,0.3005111402635337,0.0729682733592528,0.1049752924376737,0.3005111402635337,0.2107655823011268,0.3005111402635337,0.2107655823011268,0.2107655823011268,0.1049752924376737,0.1049752924376737,0.1654819388071839,1.0,1.0,,0.2350098486140752
ADAM17,0.4543019633617119,0.0613492297169476,0.2943494798448653,0.1667425741090706,0.0794537148529412,0.2943494798448653,0.2943494798448653,0.2217874094510604,0.116835029866979,0.2943494798448653,0.2943494798448653,0.2943494798448653,0.2943494798448653,0.1667425741090706,0.1667425741090706,0.2943494798448653,0.2217874094510604,0.2943494798448653,0.2217874094510604,0.2217874094510604,0.1667425741090706,0.1667425741090706,0.116835029866979,1.0,1.0,,0.2217874094510604
