receptor,Hypoxic Tumor Cells,Exhausted T Cells,Dyskeratotic Tumor Cells,Metabolic Invasive Basal Cells,Dendritic Cells,B Cells,Cytotoxic T Cells,Stroma & Smooth Muscle,Regulatory T Cells,Macrophages,Plasma Cells,Neutrophils,Naive & Memory T Cells,Migratory Invasive Basal Cells,Parabasal Tumor Cells,Mast Cells,Endothelial Cells,OR4F17+ Cells,Detachment,Interstitial Fibroblasts,Differentiating Tumor Cells,Proliferative Parabasal Cells,Cancer Associated Fibroblasts,Endocervical Columnar Cells,Endocervical Ciliated Cells,nan,Smooth Muscle
LRP1,0.4544852343295061,0.0693205197550729,0.294194368090945,0.1676866093816554,0.0870456247606027,0.294194368090945,0.294194368090945,0.2201304113903356,0.107146007962404,0.294194368090945,0.294194368090945,0.294194368090945,0.294194368090945,0.1676866093816554,0.1676866093816554,0.294194368090945,0.2201304113903356,0.294194368090945,0.2201304113903356,0.2201304113903356,0.1676866093816554,0.1676866093816554,0.107146007962404,1.0,1.0,,0.2201304113903356
MTNR1A,0.45154251273992,0.1008799920229421,0.2520776994897079,0.2945215962927837,0.2945215962927837,0.139167164988888,0.139167164988888,0.2945215962927837,0.2945215962927837,0.139167164988888,0.139167164988888,0.2520776994897079,0.139167164988888,0.2945215962927837,0.2945215962927837,0.139167164988888,0.2945215962927837,0.2520776994897079,0.2945215962927837,0.2945215962927837,0.2945215962927837,0.2945215962927837,0.2945215962927837,1.0,1.0,,0.2945215962927837
MTNR1B,0.4523325447146729,0.0766335746119413,0.263207423631246,0.2905858112608646,0.2905858112608646,0.1569925023059077,0.1569925023059077,0.2905858112608646,0.123085674910421,0.1569925023059077,0.1569925023059077,0.263207423631246,0.1569925023059077,0.2905858112608646,0.2905858112608646,0.1569925023059077,0.2905858112608646,0.263207423631246,0.2905858112608646,0.2905858112608646,0.2905858112608646,0.2905858112608646,0.123085674910421,1.0,1.0,,0.2905858112608646
AGTR2,0.4624436444722272,0.2946077361314981,0.2946077361314981,0.193807379657516,0.193807379657516,0.2946077361314981,0.2946077361314981,0.096660855953106,0.2946077361314981,0.2946077361314981,0.2946077361314981,0.2946077361314981,0.2946077361314981,0.193807379657516,0.193807379657516,0.2946077361314981,0.096660855953106,0.2946077361314981,0.2289413663669008,0.1496528026039138,0.193807379657516,0.193807379657516,0.2946077361314981,1.0,1.0,,0.1761233325991735
BDKRB2,0.4572187720166805,0.1031350054928987,0.2974214807303614,0.159375496884204,0.042578004986796,0.2974214807303614,0.2974214807303614,0.211524944496426,0.1209229215708077,0.2974214807303614,0.2974214807303614,0.2974214807303614,0.2974214807303614,0.159375496884204,0.159375496884204,0.2974214807303614,0.211524944496426,0.2974214807303614,0.211524944496426,0.211524944496426,0.159375496884204,0.159375496884204,0.1209229215708077,1.0,1.0,,0.2380301146237085
ADRB2,0.45521987009871,0.0828911501582537,0.2949855379011363,0.1647372541555925,0.0563234036431053,0.2949855379011363,0.2949855379011363,0.2204202088931312,0.1156933236607972,0.2949855379011363,0.2949855379011363,0.2949855379011363,0.2949855379011363,0.1647372541555925,0.1647372541555925,0.2949855379011363,0.2204202088931312,0.2949855379011363,0.2204202088931312,0.2204202088931312,0.1647372541555925,0.1647372541555925,0.1156933236607972,1.0,1.0,,0.2204202088931312
LDLR,0.4589848154943091,0.1655683524908814,0.2996039581135358,0.08599922153707,0.0390386297433978,0.2996039581135358,0.2996039581135358,0.2112272102761043,0.1655683524908814,0.2996039581135358,0.2996039581135358,0.2996039581135358,0.2996039581135358,0.08599922153707,0.1078462658059025,0.2996039581135358,0.2112272102761043,0.2996039581135358,0.2112272102761043,0.2112272102761043,0.1078462658059025,0.1078462658059025,0.1655683524908814,1.0,1.0,,0.2363325717504709
LRP2,0.4535432722878689,0.0817401710087602,0.263784100115125,0.289400010786319,0.289400010786319,0.1595990918176363,0.1595990918176363,0.289400010786319,0.1134459993017976,0.1595990918176363,0.1595990918176363,0.263784100115125,0.1595990918176363,0.289400010786319,0.289400010786319,0.1595990918176363,0.289400010786319,0.263784100115125,0.289400010786319,0.289400010786319,0.289400010786319,0.289400010786319,0.1134459993017976,1.0,1.0,,0.289400010786319
DPP4,0.451043985553615,0.1575200885987206,0.2663746946147526,0.2923824569533931,0.2923824569533931,0.0635958899536587,0.0635958899536587,0.2923824569533931,0.1575200885987206,0.0635958899536587,0.0586614190106143,0.2663746946147526,0.0849720467455805,0.2923824569533931,0.2923824569533931,0.0849720467455805,0.2923824569533931,0.2663746946147526,0.2923824569533931,0.2923824569533931,0.2923824569533931,0.2923824569533931,0.1575200885987206,1.0,1.0,,0.2923824569533931
AXL,0.4585184700502991,0.2964556649827119,0.2964556649827119,0.1633476204868125,0.1633476204868125,0.2964556649827119,0.2964556649827119,0.0830564209014514,0.1120493956912279,0.2964556649827119,0.2964556649827119,0.2964556649827119,0.2964556649827119,0.1633476204868125,0.1633476204868125,0.2964556649827119,0.0830564209014514,0.2964556649827119,0.2336526112929136,0.2336526112929136,0.1633476204868125,0.1633476204868125,0.1120493956912279,1.0,1.0,,0.2261477628706606
CADM1,0.4577433859100752,0.295430495318765,0.295430495318765,0.1660296814538401,0.1660296814538401,0.295430495318765,0.295430495318765,0.1125815593762795,0.0657514499349547,0.295430495318765,0.295430495318765,0.295430495318765,0.295430495318765,0.1660296814538401,0.1660296814538401,0.295430495318765,0.1125815593762795,0.295430495318765,0.2342704788637473,0.2342704788637473,0.1660296814538401,0.1660296814538401,0.0657514499349547,1.0,1.0,,0.2256383818594617
CD44,0.4519096982237686,0.0591372713216265,0.2664831993346891,0.290656096976953,0.290656096976953,0.1509644589685342,0.1509644589685342,0.290656096976953,0.1102095443130204,0.1509644589685342,0.1509644589685342,0.2664831993346891,0.1509644589685342,0.290656096976953,0.290656096976953,0.1509644589685342,0.290656096976953,0.2664831993346891,0.290656096976953,0.290656096976953,0.290656096976953,0.290656096976953,0.1102095443130204,1.0,1.0,,0.290656096976953
EPHA3,0.4500572677627569,0.1613946458474742,0.2671304784422154,0.2938255486319097,0.2938255486319097,0.0998442241040923,0.0998442241040923,0.2938255486319097,0.1613946458474742,0.0998442241040923,0.0998442241040923,0.2671304784422154,0.0998442241040923,0.2938255486319097,0.2938255486319097,0.0998442241040923,0.2938255486319097,0.2671304784422154,0.2938255486319097,0.2938255486319097,0.2938255486319097,0.2938255486319097,0.1613946458474742,1.0,1.0,,0.2938255486319097
GPNMB,0.4547056453304743,0.0697665140744892,0.2943669070986105,0.1666967374452622,0.0838600702458143,0.2943669070986105,0.2943669070986105,0.2200326730847965,0.1085788526120538,0.2943669070986105,0.2943669070986105,0.2943669070986105,0.2943669070986105,0.1666967374452622,0.1666967374452622,0.2943669070986105,0.2200326730847965,0.2943669070986105,0.2200326730847965,0.2200326730847965,0.1666967374452622,0.1666967374452622,0.1085788526120538,1.0,1.0,,0.2200326730847965
IL6R,0.4546549743863707,0.0995203756243515,0.2684904047279152,0.2882476934583469,0.2882476934583469,0.1592050469442024,0.1592050469442024,0.2882476934583469,0.0476067128706706,0.1592050469442024,0.1592050469442024,0.2684904047279152,0.1592050469442024,0.2882476934583469,0.2882476934583469,0.1592050469442024,0.2882476934583469,0.2684904047279152,0.2882476934583469,0.2882476934583469,0.2882476934583469,0.2882476934583469,0.0773959671469122,1.0,1.0,,0.2882476934583469
MET,0.4535707676046299,0.0908909205470976,0.2940178672580052,0.1714411903937293,0.0822606870633884,0.2940178672580052,0.2940178672580052,0.1575208491354359,0.1575208491354359,0.2940178672580052,0.2940178672580052,0.2940178672580052,0.2940178672580052,0.1714411903937293,0.1714411903937293,0.2940178672580052,0.1575208491354359,0.2940178672580052,0.2455722604279556,0.2455722604279556,0.1714411903937293,0.1714411903937293,0.1575208491354359,1.0,1.0,,0.2455722604279556
NOTCH1,0.455479300993567,0.0537528118079053,0.2953114032396105,0.1637253326466508,0.0782392891693075,0.2953114032396105,0.2953114032396105,0.2203551129967629,0.110061569906058,0.2953114032396105,0.2953114032396105,0.2953114032396105,0.2953114032396105,0.1637253326466508,0.1637253326466508,0.2953114032396105,0.2203551129967629,0.2953114032396105,0.2203551129967629,0.2203551129967629,0.1637253326466508,0.1637253326466508,0.110061569906058,1.0,1.0,,0.2203551129967629
NOTCH2,0.4568813186550256,0.0909822856582357,0.2966415189876173,0.1590108627180338,0.0435923090132636,0.2966415189876173,0.2966415189876173,0.2113765579554827,0.1091089002569246,0.2966415189876173,0.2966415189876173,0.2966415189876173,0.2966415189876173,0.1590108627180338,0.1590108627180338,0.2966415189876173,0.2113765579554827,0.2966415189876173,0.2113765579554827,0.2113765579554827,0.1590108627180338,0.1590108627180338,0.1091089002569246,1.0,1.0,,0.2365327346296052
NRCAM,0.4452876482514695,0.1696790878080438,0.2641388783194574,0.2980399686694793,0.2980399686694793,0.1063393821913049,0.1063393821913049,0.2980399686694793,0.1696790878080438,0.1063393821913049,0.1063393821913049,0.2641388783194574,0.1063393821913049,0.2980399686694793,0.2980399686694793,0.1063393821913049,0.2980399686694793,0.2641388783194574,0.2980399686694793,0.2980399686694793,0.2980399686694793,0.2980399686694793,0.1696790878080438,1.0,1.0,,0.2980399686694793
TREM2,0.4524826125752283,0.0798125837086339,0.2633577462936742,0.2903973133560508,0.2903973133560508,0.1580847488564194,0.1580847488564194,0.2903973133560508,0.1220820823228232,0.1580847488564194,0.1580847488564194,0.2633577462936742,0.1580847488564194,0.2903973133560508,0.2903973133560508,0.1580847488564194,0.2903973133560508,0.2633577462936742,0.2903973133560508,0.2903973133560508,0.2903973133560508,0.2903973133560508,0.1220820823228232,1.0,1.0,,0.2903973133560508
TSPAN10,0.4529330326010779,0.0731615444336793,0.2637500055219268,0.2899321987862708,0.2899321987862708,0.1594559028026818,0.1594559028026818,0.2899321987862708,0.1206591381168613,0.1594559028026818,0.1594559028026818,0.2637500055219268,0.1594559028026818,0.2899321987862708,0.2899321987862708,0.1594559028026818,0.2899321987862708,0.2637500055219268,0.2899321987862708,0.2899321987862708,0.2899321987862708,0.2899321987862708,0.1206591381168613,1.0,1.0,,0.2899321987862708
TSPAN12,0.4577110480783531,0.2953522381504319,0.2953522381504319,0.166322663021504,0.166322663021504,0.2953522381504319,0.2953522381504319,0.095619524907997,0.1167252028312866,0.2953522381504319,0.2953522381504319,0.2953522381504319,0.2953522381504319,0.166322663021504,0.166322663021504,0.2953522381504319,0.095619524907997,0.2953522381504319,0.2337224379250363,0.2337224379250363,0.166322663021504,0.166322663021504,0.1167252028312866,1.0,1.0,,0.2280553969226245
TSPAN14,0.4542759485850857,0.0598451201780852,0.2941770387965088,0.1673204489228451,0.0817642703493933,0.2941770387965088,0.2941770387965088,0.2214946849610126,0.1156739045135226,0.2941770387965088,0.2941770387965088,0.2941770387965088,0.2941770387965088,0.1673204489228451,0.1673204489228451,0.2941770387965088,0.2214946849610126,0.2941770387965088,0.2214946849610126,0.2214946849610126,0.1673204489228451,0.1673204489228451,0.1156739045135226,1.0,1.0,,0.2214946849610126
TSPAN15,0.4515474726249185,0.071130978789328,0.2553696218601509,0.2936455249503291,0.2936455249503291,0.1344981588940401,0.1344981588940401,0.2936455249503291,0.2936455249503291,0.1344981588940401,0.1344981588940401,0.2553696218601509,0.1344981588940401,0.2936455249503291,0.2936455249503291,0.1344981588940401,0.2936455249503291,0.2553696218601509,0.2936455249503291,0.2936455249503291,0.2936455249503291,0.2936455249503291,0.2936455249503291,1.0,1.0,,0.2936455249503291
TSPAN17,0.4550572448694758,0.0768056767380456,0.2949919687793498,0.1646286536527011,0.0547845829310195,0.2949919687793498,0.2949919687793498,0.2210799129598648,0.1154115058170049,0.2949919687793498,0.2949919687793498,0.2949919687793498,0.2949919687793498,0.1646286536527011,0.1646286536527011,0.2949919687793498,0.2210799129598648,0.2949919687793498,0.2210799129598648,0.2210799129598648,0.1646286536527011,0.1646286536527011,0.1154115058170049,1.0,1.0,,0.2210799129598648
TSPAN5,0.4564082470146371,0.1066141092182053,0.2959072948557433,0.162473681618768,0.162473681618768,0.2959072948557433,0.2959072948557433,0.2108723390957755,0.053157035773225,0.2959072948557433,0.2959072948557433,0.2959072948557433,0.2959072948557433,0.162473681618768,0.162473681618768,0.2959072948557433,0.2108723390957755,0.2959072948557433,0.2108723390957755,0.2108723390957755,0.162473681618768,0.162473681618768,0.0665582713148341,1.0,1.0,,0.2358726274182129
ITGA4,0.4538600172050157,0.1020520211552859,0.2693792018167316,0.2893638063109537,0.2893638063109537,0.1543657398690003,0.1543657398690003,0.2893638063109537,0.0384678466021591,0.1543657398690003,0.1543657398690003,0.2693792018167316,0.1543657398690003,0.2893638063109537,0.2893638063109537,0.1543657398690003,0.2893638063109537,0.2693792018167316,0.2893638063109537,0.2893638063109537,0.2893638063109537,0.2893638063109537,0.0772540268279821,1.0,1.0,,0.2893638063109537
ITGA9,0.4652115291385982,0.2985109345138004,0.2985109345138004,0.199196133429413,0.199196133429413,0.2985109345138004,0.2985109345138004,0.0788367745598478,0.2985109345138004,0.2985109345138004,0.2985109345138004,0.2985109345138004,0.2985109345138004,0.199196133429413,0.199196133429413,0.2985109345138004,0.0788367745598478,0.2985109345138004,0.2270589390734817,0.1289036107257319,0.199196133429413,0.199196133429413,0.2985109345138004,1.0,1.0,,0.1738552729207544
ITGB1,0.4530393245406506,0.0719322322346437,0.2662357900520494,0.289479071314275,0.289479071314275,0.1562874546675569,0.1562874546675569,0.289479071314275,0.1041361674006172,0.1562874546675569,0.1562874546675569,0.2662357900520494,0.1562874546675569,0.289479071314275,0.289479071314275,0.1562874546675569,0.289479071314275,0.2662357900520494,0.289479071314275,0.289479071314275,0.289479071314275,0.289479071314275,0.1041361674006172,1.0,1.0,,0.289479071314275
SDC4,0.4557583479357883,0.0993840694953777,0.2962916640930421,0.1532487960264029,0.0507116091531659,0.2962916640930421,0.2962916640930421,0.167957151866702,0.167957151866702,0.2962916640930421,0.2962916640930421,0.2962916640930421,0.2962916640930421,0.1532487960264029,0.1532487960264029,0.2962916640930421,0.167957151866702,0.2962916640930421,0.2438278241299036,0.2438278241299036,0.1532487960264029,0.1532487960264029,0.167957151866702,1.0,1.0,,0.2438278241299036
ITGA5,0.4459250992282781,0.1674485171511194,0.2661315570212166,0.297560044278546,0.297560044278546,0.0676479082265265,0.0676479082265265,0.297560044278546,0.1674485171511194,0.0409969191170888,0.0676479082265265,0.2661315570212166,0.0774165112164512,0.297560044278546,0.297560044278546,0.0774165112164512,0.297560044278546,0.2661315570212166,0.297560044278546,0.297560044278546,0.297560044278546,0.297560044278546,0.1674485171511194,1.0,1.0,,0.297560044278546
ITGAV,0.4537962449085868,0.0554135238775309,0.2675372949377961,0.288665200378723,0.288665200378723,0.1591181649623025,0.1591181649623025,0.288665200378723,0.1003369088666375,0.1591181649623025,0.1591181649623025,0.2675372949377961,0.1591181649623025,0.288665200378723,0.288665200378723,0.1591181649623025,0.288665200378723,0.2675372949377961,0.288665200378723,0.288665200378723,0.288665200378723,0.288665200378723,0.1003369088666375,1.0,1.0,,0.288665200378723
