ligand	receptor	evidence_weight	pathway
A2M	LRP1	1.0	custom
AANAT	MTNR1A	1.0	custom
AANAT	MTNR1B	1.0	custom
ACE	AGTR2	1.0	custom
ACE	BDKRB2	1.0	custom
ACTR2	ADRB2	1.0	custom
ACTR2	LDLR	1.0	custom
ACTR2	LRP2	1.0	custom
ADA	DPP4	1.0	custom
ADAM10	AXL	1.0	custom
ADAM10	CADM1	1.0	custom
ADAM10	CD44	1.0	custom
ADAM10	EPHA3	1.0	custom
ADAM10	GPNMB	1.0	custom
ADAM10	IL6R	1.0	custom
ADAM10	MET	1.0	custom
ADAM10	NOTCH1	1.0	custom
ADAM10	NOTCH2	1.0	custom
ADAM10	NRCAM	1.0	custom
ADAM10	TREM2	1.0	custom
ADAM10	TSPAN10	1.0	custom
ADAM10	TSPAN12	1.0	custom
ADAM10	TSPAN14	1.0	custom
ADAM10	TSPAN15	1.0	custom
ADAM10	TSPAN17	1.0	custom
ADAM10	TSPAN5	1.0	custom
ADAM11	ITGA4	1.0	custom
ADAM12	ITGA9	1.0	custom
ADAM12	ITGB1	1.0	custom
ADAM12	SDC4	1.0	custom
ADAM15	ITGA5	1.0	custom
ADAM15	ITGA9	1.0	custom
ADAM15	ITGAV	1.0	custom
ADAM15	ITGB1	1.0	custom
ADAM15	ITGB3	1.0	custom
ADAM17	ERBB4	1.0	custom
ADAM17	IL6R	1.0	custom
ADAM17	ITGA5	1.0	custom
ADAM17	ITGB1	1.0	custom
ADAM17	MET	1.0	custom
ADAM17	MUC1	1.0	custom
ADAM17	NOTCH1	1.0	custom
ADAM17	RHBDF2	1.0	custom
ADAM2	CD9	1.0	custom
ADAM2	ITGA6	1.0	custom
ADAM2	ITGA9	1.0	custom
ADAM2	ITGB1	1.0	custom
ADAM2	ITGB7	1.0	custom
ADAM23	ITGA4	1.0	custom
ADAM23	ITGA5	1.0	custom
ADAM23	ITGB3	1.0	custom
ADAM28	ITGA4	1.0	custom
ADAM29	ITGA4	1.0	custom
ADAM7	ITGA4	1.0	custom
ADAM7	ITGB7	1.0	custom
ADAM9	ITGA3	1.0	custom
ADAM9	ITGA6	1.0	custom
ADAM9	ITGAV	1.0	custom
ADAM9	ITGB1	1.0	custom
ADAM9	ITGB5	1.0	custom
ADAMTS3	CCBE1	1.0	custom
ADCYAP1	ADCYAP1R1	1.0	custom
ADCYAP1	ADRB2	1.0	custom
ADCYAP1	ADRB3	1.0	custom
ADCYAP1	DPP4	1.0	custom
ADCYAP1	GPR20	1.0	custom
ADCYAP1	GPR84	1.0	custom
ADCYAP1	PTH1R	1.0	custom
ADCYAP1	RAMP2	1.0	custom
ADCYAP1	RAMP3	1.0	custom
ADCYAP1	SCTR	1.0	custom
ADCYAP1	TSHR	1.0	custom
ADCYAP1	VIPR1	1.0	custom
ADCYAP1	VIPR2	1.0	custom
ADGRB1	RTN4R	1.0	custom
ADGRB1	RTN4RL1	1.0	custom
ADGRB1	RTN4RL2	1.0	custom
ADIPOQ	ADIPOR1	1.0	custom
ADIPOQ	ADIPOR2	1.0	custom
ADIPOQ	ASGR2	1.0	custom
ADIPOQ	CLEC2D	1.0	custom
ADIPOQ	CNR2	1.0	custom
ADIPOQ	GPR152	1.0	custom
ADIPOQ	GPR42	1.0	custom
ADM	ACKR3	1.0	custom
ADM	ADCYAP1R1	1.0	custom
ADM	ADRB2	1.0	custom
ADM	ADRB3	1.0	custom
ADM	CALCR	1.0	custom
ADM	CALCRL	1.0	custom
ADM	DCLK3	1.0	custom
ADM	GPR182	1.0	custom
ADM	GPR20	1.0	custom
ADM	GPR84	1.0	custom
ADM	MRGPRX2	1.0	custom
ADM	PTH1R	1.0	custom
ADM	RAMP1	1.0	custom
ADM	RAMP2	1.0	custom
ADM	RAMP3	1.0	custom
ADM	TSHR	1.0	custom
ADM	VIPR1	1.0	custom
ADM2	ADCYAP1R1	1.0	custom
ADM2	ADRB2	1.0	custom
ADM2	ADRB3	1.0	custom
ADM2	CALCR	1.0	custom
ADM2	CALCRL	1.0	custom
ADM2	DCLK3	1.0	custom
ADM2	GPR20	1.0	custom
ADM2	GPR84	1.0	custom
ADM2	PTH1R	1.0	custom
ADM2	RAMP1	1.0	custom
ADM2	RAMP2	1.0	custom
ADM2	RAMP3	1.0	custom
ADM2	TSHR	1.0	custom
ADM2	VIPR1	1.0	custom
ADO	ADORA1	1.0	custom
ADO	ADORA2A	1.0	custom
ADO	ADORA2B	1.0	custom
ADO	ADORA3	1.0	custom
AFDN	EPHA7	1.0	custom
AFDN	EPHB2	1.0	custom
AFDN	EPHB3	1.0	custom
AFDN	EPHB6	1.0	custom
AGRN	DAG1	1.0	custom
AGRN	ITGB1	1.0	custom
AGRN	LRP1	1.0	custom
AGRN	LRP2	1.0	custom
AGRN	LRP4	1.0	custom
AGRN	MUSK	1.0	custom
AGRP	MC1R	1.0	custom
AGRP	MC3R	1.0	custom
AGRP	MC4R	1.0	custom
AGRP	MC5R	1.0	custom
AGRP	SDC1	1.0	custom
AGRP	SDC3	1.0	custom
AGT	ADRA2A	1.0	custom
AGT	AGTR1	1.0	custom
AGT	AGTR2	1.0	custom
AGT	ENPEP	1.0	custom
AGT	GRM7	1.0	custom
AGT	LRP2	1.0	custom
AGT	MAS1	1.0	custom
AGT	MTNR1A	1.0	custom
AGTRAP	RACK1	1.0	custom
AHSG	INSR	1.0	custom
AIMP1	NTRK1	1.0	custom
ALB	LRP2	1.0	custom
ALCAM	CD6	1.0	custom
ALCAM	CHL1	1.0	custom
ALCAM	NRP1	1.0	custom
ALKAL1	ALK	1.0	custom
ALKAL1	LTK	1.0	custom
ALKAL2	ALK	1.0	custom
ALKAL2	LTK	1.0	custom
AMELX	LAMP1	1.0	custom
AMELX	LAMP2	1.0	custom
AMH	EGFR	1.0	custom
AMH	GREM2	1.0	custom
ANG	EGFR	1.0	custom
ANG	PLXNB2	1.0	custom
ANGPT1	ITGA5	1.0	custom
ANGPT1	ITGB1	1.0	custom
ANGPT1	TEK	1.0	custom
ANGPT1	TIE1	1.0	custom
ANGPT2	TEK	1.0	custom
ANGPT2	TIE1	1.0	custom
ANGPT4	TEK	1.0	custom
ANGPT4	TIE1	1.0	custom
ANGPTL1	LILRB2	1.0	custom
ANGPTL1	LILRB3	1.0	custom
ANGPTL1	TEK	1.0	custom
ANGPTL2	LILRB2	1.0	custom
ANGPTL2	LILRB3	1.0	custom
ANGPTL2	TIE1	1.0	custom
ANGPTL2	TLR4	1.0	custom
ANGPTL3	ITGA5	1.0	custom
ANGPTL4	CDH11	1.0	custom
ANGPTL4	CDH5	1.0	custom
ANGPTL4	GPIHBP1	1.0	custom
ANGPTL4	SDC1	1.0	custom
ANGPTL4	SDC2	1.0	custom
ANGPTL4	SDC3	1.0	custom
ANGPTL4	SDC4	1.0	custom
ANGPTL4	TIE1	1.0	custom
ANGPTL7	LILRB2	1.0	custom
ANGPTL7	LILRB3	1.0	custom
ANOS1	FGFR1	1.0	custom
ANOS1	SDC2	1.0	custom
ANXA1	ADRA2A	1.0	custom
ANXA1	DYSF	1.0	custom
ANXA1	EGFR	1.0	custom
ANXA1	FPR1	1.0	custom
ANXA1	GRM7	1.0	custom
ANXA1	MTNR1A	1.0	custom
ANXA2	ROBO4	1.0	custom
ANXA2	TLR2	1.0	custom
APELA	APLNR	1.0	custom
APLN	ADRA2A	1.0	custom
APLN	APLNR	1.0	custom
APLN	GRM7	1.0	custom
APLN	MTNR1A	1.0	custom
APOA1	ABCA1	1.0	custom
APOA1	LDLR	1.0	custom
APOA1	LRP1	1.0	custom
APOA1	LRP2	1.0	custom
APOA2	LDLR	1.0	custom
APOA2	LRP1	1.0	custom
APOA2	LRP2	1.0	custom
APOA4	LDLR	1.0	custom
APOA4	LRP1	1.0	custom
APOA4	LRP2	1.0	custom
APOB	ADRB2	1.0	custom
APOB	CALCR	1.0	custom
APOB	ENO1	1.0	custom
