ligand	receptor	evidence_weight	pathway
A2M	LRP1	1.0	custom
AANAT	MTNR1A	1.0	custom
AANAT	MTNR1B	1.0	custom
ACE	AGTR2	1.0	custom
ACE	BDKRB2	1.0	custom
ACTR2	ADRB2	1.0	custom
ACTR2	LDLR	1.0	custom
ACTR2	LRP2	1.0	custom
ADA	DPP4	1.0	custom
ADAM10	AXL	1.0	custom
ADAM10	CADM1	1.0	custom
ADAM10	CD44	1.0	custom
ADAM10	EPHA3	1.0	custom
ADAM10	GPNMB	1.0	custom
ADAM10	IL6R	1.0	custom
ADAM10	MET	1.0	custom
ADAM10	NOTCH1	1.0	custom
ADAM10	NOTCH2	1.0	custom
ADAM10	NRCAM	1.0	custom
ADAM10	TREM2	1.0	custom
ADAM10	TSPAN10	1.0	custom
ADAM10	TSPAN12	1.0	custom
ADAM10	TSPAN14	1.0	custom
ADAM10	TSPAN15	1.0	custom
ADAM10	TSPAN17	1.0	custom
