ligand	receptor	sender_celltype	receiver_celltype	CCI_score	communication_mass	edge_count	spatial_coherence
A2M	LRP1	11q13 Invasive Tumor Cells	11q13 Invasive Tumor Cells	10.58697458535141	10.58697458535141	1386.0	0.007638509801840844
A2M	LRP1	11q13 Invasive Tumor Cells	11q13 Invasive Tumor Cells (G1/S)	1.682482728225418e-06	1.682482728225418e-06	3.0	5.608275760751393e-07
A2M	LRP1	11q13 Invasive Tumor Cells	11q13 Invasive Tumor Cells (Mitotic)	2.1610258588124664e-22	2.1610258588124664e-22	7.0	3.0871797983035236e-23
A2M	LRP1	11q13 Invasive Tumor Cells	Basal-like Structured DCIS Cells	1.5575500066585755e-19	1.5575500066585755e-19	21.0	7.416904793612263e-21
A2M	LRP1	11q13 Invasive Tumor Cells	CAFs, DCIS Associated	3.331813824076841e-24	3.331813824076841e-24	1.0	3.331813824076841e-24
A2M	LRP1	11q13 Invasive Tumor Cells	CAFs, Invasive Associated	6.271955817395503e-06	6.271955817395503e-06	4.0	1.5679889543488757e-06
A2M	LRP1	11q13 Invasive Tumor Cells	CXCL14+ Fibroblasts	5.3378454808978e-25	5.3378454808978e-25	5.0	1.06756909617956e-25
A2M	LRP1	11q13 Invasive Tumor Cells	Endothelial Cells	8.0615700673997e-25	8.0615700673997e-25	3.0	2.6871900224665667e-25
A2M	LRP1	11q13 Invasive Tumor Cells	Macrophages	1.4111400506859149e-27	1.4111400506859149e-27	3.0	4.70380016895305e-28
A2M	LRP1	11q13 Invasive Tumor Cells	Myoepithelial Cells	3.619265999621312e-28	3.619265999621312e-28	1.0	3.619265999621312e-28
A2M	LRP1	11q13 Invasive Tumor Cells	Pericytes	5.3617750267836036e-21	5.3617750267836036e-21	4.0	1.3404437566959009e-21
A2M	LRP1	11q13 Invasive Tumor Cells	T Lymphocytes	4.537238487618853e-08	4.537238487618853e-08	2.0	2.2686192438094265e-08
A2M	LRP1	11q13 Invasive Tumor Cells (G1/S)	11q13 Invasive Tumor Cells	8.441888150325601e-25	8.441888150325601e-25	3.0	2.8139627167752002e-25
A2M	LRP1	11q13 Invasive Tumor Cells (G1/S)	11q13 Invasive Tumor Cells (G1/S)	5.619289846028717e-19	5.619289846028717e-19	44.0	1.2771113286428904e-20
A2M	LRP1	11q13 Invasive Tumor Cells (G1/S)	CAFs, DCIS Associated	2.9212296537079075e-23	2.9212296537079075e-23	1.0	2.9212296537079075e-23
A2M	LRP1	11q13 Invasive Tumor Cells (G1/S)	CAFs, Invasive Associated	1.7950473714886418e-25	1.7950473714886418e-25	1.0	1.7950473714886418e-25
A2M	LRP1	11q13 Invasive Tumor Cells (Mitotic)	11q13 Invasive Tumor Cells	2.852198673038993e-25	2.852198673038993e-25	7.0	4.0745695329128473e-26
A2M	LRP1	11q13 Invasive Tumor Cells (Mitotic)	11q13 Invasive Tumor Cells (Mitotic)	0.9093082973450525	0.9093082973450525	46.0	0.019767571681414183
A2M	LRP1	11q13 Invasive Tumor Cells (Mitotic)	CXCL14+ Fibroblasts	1.7771108550265962e-27	1.7771108550265962e-27	1.0	1.7771108550265962e-27
A2M	LRP1	11q13 Invasive Tumor Cells (Mitotic)	Myoepithelial Cells	9.127592666968183e-25	9.127592666968183e-25	1.0	9.127592666968183e-25
A2M	LRP1	Apocrine Cells	Apocrine Cells	1.6783959290622208e-19	1.6783959290622208e-19	7.0	2.397708470088887e-20
A2M	LRP1	Apocrine Cells	CAFs, DCIS Associated	4.39372810402587e-38	4.39372810402587e-38	1.0	4.39372810402587e-38
A2M	LRP1	Apocrine Cells	Myoepithelial Cells	7.974940597276802e-08	7.974940597276802e-08	2.0	3.987470298638401e-08
A2M	LRP1	B Cells	B Cells	8.725690481385918e-19	8.725690481385918e-19	46.0	1.896889235083895e-20
A2M	LRP1	B Cells	Basal-like Structured DCIS Cells	3.3055872336878986e-08	3.3055872336878986e-08	2.0	1.6527936168439493e-08
A2M	LRP1	B Cells	CAFs, DCIS Associated	3.6161972932696723e-25	3.6161972932696723e-25	1.0	3.6161972932696723e-25
A2M	LRP1	B Cells	Dendritic Cells	1.6493824134970175e-25	1.6493824134970175e-25	1.0	1.6493824134970175e-25
A2M	LRP1	B Cells	Myoepithelial Cells	1.382830387590587e-28	1.382830387590587e-28	1.0	1.382830387590587e-28
A2M	LRP1	Basal-like Structured DCIS Cells	11q13 Invasive Tumor Cells	8.710214994884244e-05	8.710214994884244e-05	21.0	4.147721426135354e-06
A2M	LRP1	Basal-like Structured DCIS Cells	B Cells	3.0294170026755315e-25	3.0294170026755315e-25	2.0	1.5147085013377658e-25
