x	y	value	raw_value	category	label
label perm. FDR	VWF-SELP	2.6998377258672535	0.0019960079840319	-log10	VWF-SELP
spatial null FDR	VWF-SELP	2.3324384599156125	0.0046511627906976	-log10	VWF-SELP
matched gene z	VWF-SELP	6.674917611699146	6.674917611699146	z	VWF-SELP
downstream FDR	VWF-SELP	1.5656791933629541	0.0271844660194174	-log10	VWF-SELP
label perm. FDR	VWF-LRP1	2.6998377258672535	0.0019960079840319	-log10	VWF-LRP1
spatial null FDR	VWF-LRP1	2.3324384599156125	0.0046511627906976	-log10	VWF-LRP1
matched gene z	VWF-LRP1	11.234674798948532	11.234674798948532	z	VWF-LRP1
downstream FDR	VWF-LRP1	1.5356299114333811	0.0291319857312722	-log10	VWF-LRP1
label perm. FDR	MMRN2-CD93	2.6998377258672535	0.0019960079840319	-log10	MMRN2-CD93
spatial null FDR	MMRN2-CD93	2.3324384599156125	0.0046511627906976	-log10	MMRN2-CD93
matched gene z	MMRN2-CD93	6.198278570208171	6.198278570208171	z	MMRN2-CD93
downstream FDR	MMRN2-CD93	2.0796979557836566	0.0083234244946492	-log10	MMRN2-CD93
label perm. FDR	CD48-CD2	2.6998377258672535	0.0019960079840319	-log10	CD48-CD2
spatial null FDR	CD48-CD2	1.934498451243571	0.0116279069767441	-log10	CD48-CD2
matched gene z	CD48-CD2	9.860708047779738	9.860708047779738	z	CD48-CD2
downstream FDR	CD48-CD2	2.0796979557836566	0.0083234244946492	-log10	CD48-CD2
label perm. FDR	DLL4-NOTCH3	2.6998377258672535	0.0019960079840319	-log10	DLL4-NOTCH3
spatial null FDR	DLL4-NOTCH3	2.3324384599156125	0.0046511627906976	-log10	DLL4-NOTCH3
matched gene z	DLL4-NOTCH3	8.301941713984622	8.301941713984622	z	DLL4-NOTCH3
downstream FDR	DLL4-NOTCH3	1.593557303304013	0.0254942767950052	-log10	DLL4-NOTCH3
label perm. FDR	CXCL12-CXCR4	2.6998377258672535	0.0019960079840319	-log10	CXCL12-CXCR4
spatial null FDR	CXCL12-CXCR4	0.2355284469075489	0.5813953488372093	-log10	CXCL12-CXCR4
matched gene z	CXCL12-CXCR4	11.218977606863426	11.218977606863426	z	CXCL12-CXCR4
downstream FDR	CXCL12-CXCR4	1.593557303304013	0.0254942767950052	-log10	CXCL12-CXCR4
label perm. FDR	JAG1-NOTCH2	2.6998377258672535	0.0019960079840319	-log10	JAG1-NOTCH2
spatial null FDR	JAG1-NOTCH2	2.3324384599156125	0.0046511627906976	-log10	JAG1-NOTCH2
matched gene z	JAG1-NOTCH2	0.3126368933035661	0.3126368933035661	z	JAG1-NOTCH2
downstream FDR	JAG1-NOTCH2	0.21637509566319943	0.6076099881093936	-log10	JAG1-NOTCH2
