gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene	x	y	value	category	label
CLEC14A	11q13 Invasive Tumor Cells	64036	0.0398838153538634	0.0264680911599	0.0359485289524642	0.041557481697445	0.0609795660279409	10	7	0.041557481697445	endothelial_or_axis_marker	CLEC14A|11q13 Invasive Tumor Cells
EMCN	11q13 Invasive Tumor Cells	64036	0.0466456368292835	0.0306939309471538	0.0412580423511774	0.0438564551449711	0.0650593083263036	10	3	0.0438564551449711	endothelial_or_axis_marker	EMCN|11q13 Invasive Tumor Cells
FLT1	11q13 Invasive Tumor Cells	64036	0.1213223811605971	0.0788451112156392	0.1039727653195077	0.1127899234129754	0.1685453248337284	10	5	0.1127899234129754	endothelial_or_axis_marker	FLT1|11q13 Invasive Tumor Cells
GP1BA	11q13 Invasive Tumor Cells	64036	0.0122899618964332	0.0083308810678187	0.0116496970454119	0.3329924716816997	0.3582281841464176	10	11	0.3329924716816997	contamination_control	GP1BA|11q13 Invasive Tumor Cells
HBB	11q13 Invasive Tumor Cells	64036	0.0137266537572615	0.0091192711403616	0.0124461240552189	0.1391703020625389	0.2250217481178367	10	12	0.1391703020625389	contamination_control	HBB|11q13 Invasive Tumor Cells
ITGA2B	11q13 Invasive Tumor Cells	64036	0.0111812105690549	0.0075541820553332	0.010525329502155	0.0956136919166066	0.1044893598157488	10	10	0.0956136919166066	contamination_control	ITGA2B|11q13 Invasive Tumor Cells
KDR	11q13 Invasive Tumor Cells	64036	0.0382909613342494	0.0248978279213703	0.033496783059529	0.0289646436847441	0.0525611821516336	10	4	0.0289646436847441	endothelial_or_axis_marker	KDR|11q13 Invasive Tumor Cells
MMRN2	11q13 Invasive Tumor Cells	64036	0.0198013617340246	0.0127775449038571	0.0168967455806109	0.021414330386234	0.0299706980434365	10	6	0.021414330386234	endothelial_or_axis_marker	MMRN2|11q13 Invasive Tumor Cells
PECAM1	11q13 Invasive Tumor Cells	64036	0.0740520956961709	0.0484797119319033	0.0648853769754513	0.0337595881679162	0.0727566624673374	10	2	0.0337595881679162	endothelial_or_axis_marker	PECAM1|11q13 Invasive Tumor Cells
PF4	11q13 Invasive Tumor Cells	64036	0.0104628646386407	0.0071561231872387	0.0101349241051908	0.2936332728024037	0.2942747606257194	10	9	0.2936332728024037	contamination_control	PF4|11q13 Invasive Tumor Cells
