figure_id	format	path	exists	size_bytes	rgb_or_vector	dpi_x	dpi_y	width_px	height_px	nature_target
figure_1	pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\nature_short_communication_20260516\figures\figure_1_topolink_cci_method_validation.pdf	True	66259	vector					180 mm width; max 170 mm height; text >=5 pt; RGB/300 dpi+ for raster
figure_1	svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\nature_short_communication_20260516\figures\figure_1_topolink_cci_method_validation.svg	True	55947	vector					180 mm width; max 170 mm height; text >=5 pt; RGB/300 dpi+ for raster
figure_1	png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\nature_short_communication_20260516\figures\figure_1_topolink_cci_method_validation.png	True	548264	RGB	600.0	600.0	4520	3167	180 mm width; max 170 mm height; text >=5 pt; RGB/300 dpi+ for raster
figure_1	tiff	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\nature_short_communication_20260516\figures\figure_1_topolink_cci_method_validation.tiff	True	961886	RGB	600.0	600.0	4520	3167	180 mm width; max 170 mm height; text >=5 pt; RGB/300 dpi+ for raster
figure_2	pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\nature_short_communication_20260516\figures\figure_2_topolink_cci_discovery_benchmark.pdf	True	66303	vector					180 mm width; max 170 mm height; text >=5 pt; RGB/300 dpi+ for raster
figure_2	svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\nature_short_communication_20260516\figures\figure_2_topolink_cci_discovery_benchmark.svg	True	79592	vector					180 mm width; max 170 mm height; text >=5 pt; RGB/300 dpi+ for raster
figure_2	png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\nature_short_communication_20260516\figures\figure_2_topolink_cci_discovery_benchmark.png	True	675506	RGB	600.0	600.0	4391	3937	180 mm width; max 170 mm height; text >=5 pt; RGB/300 dpi+ for raster
figure_2	tiff	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\nature_short_communication_20260516\figures\figure_2_topolink_cci_discovery_benchmark.tiff	True	1259020	RGB	600.0	600.0	4391	3937	180 mm width; max 170 mm height; text >=5 pt; RGB/300 dpi+ for raster
one_figure_fallback	pdf	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\nature_short_communication_20260516\figures\figure_1_fallback_single_main.pdf	True	66588	vector					180 mm width; max 170 mm height; text >=5 pt; RGB/300 dpi+ for raster
one_figure_fallback	svg	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\nature_short_communication_20260516\figures\figure_1_fallback_single_main.svg	True	62471	vector					180 mm width; max 170 mm height; text >=5 pt; RGB/300 dpi+ for raster
one_figure_fallback	png	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\nature_short_communication_20260516\figures\figure_1_fallback_single_main.png	True	596085	RGB	600.0	600.0	4291	3956	180 mm width; max 170 mm height; text >=5 pt; RGB/300 dpi+ for raster
one_figure_fallback	tiff	D:\GitHub\pyXenium\benchmarking\cci_2026_atera\topolink_cci_short_communication\nature_short_communication_20260516\figures\figure_1_fallback_single_main.tiff	True	1079824	RGB	600.0	600.0	4291	3956	180 mm width; max 170 mm height; text >=5 pt; RGB/300 dpi+ for raster
