method	canonical_id	level	rank	found_top_n	rank_capped	score
TopoLink-CCI	CXCL12|CXCR4	pair	28.0	True	28.0	-1.4471580313422192
TopoLink-CCI	DLL4|NOTCH3	pair	24.0	True	24.0	-1.380211241711606
TopoLink-CCI	MMRN2|CD93	pair	10.0	True	10.0	-1.0
TopoLink-CCI	VWF|LRP1	pair	2.0	True	2.0	-0.3010299956639812
TopoLink-CCI	VWF|SELP	pair	1.0	True	1.0	-0.0
CellPhoneDB	CXCL12|CXCR4	pair	171.0	True	171.0	-2.2329961103921536
CellPhoneDB	DLL4|NOTCH3	pair	2869.0	True	2869.0	-3.4577305482459986
CellPhoneDB	MMRN2|CD93	pair	1352.0	True	1352.0	-3.130976691605617
CellPhoneDB	VWF|LRP1	pair	2.0	True	2.0	-0.3010299956639812
CellPhoneDB	VWF|SELP	pair	692.0	True	692.0	-2.840106094456758
LARIS	CXCL12|CXCR4	pair	226.0	True	226.0	-2.3541084391474008
LARIS	DLL4|NOTCH3	pair		False	5001.0	-3.699056854547668
LARIS	MMRN2|CD93	pair		False	5001.0	-3.699056854547668
LARIS	VWF|LRP1	pair	18.0	True	18.0	-1.255272505103306
LARIS	VWF|SELP	pair	2845.0	True	2845.0	-3.45408227073109
LIANA+	CXCL12|CXCR4	pair		False	5001.0	-3.699056854547668
LIANA+	DLL4|NOTCH3	pair		False	5001.0	-3.699056854547668
LIANA+	MMRN2|CD93	pair	3314.0	True	3314.0	-3.520352504083318
LIANA+	VWF|LRP1	pair	3227.0	True	3227.0	-3.508798965403905
LIANA+	VWF|SELP	pair	1616.0	True	1616.0	-3.208441356438567
SpatialDM	CXCL12|CXCR4	pair		False	5001.0	-3.699056854547668
SpatialDM	DLL4|NOTCH3	pair		False	5001.0	-3.699056854547668
SpatialDM	MMRN2|CD93	pair		False	5001.0	-3.699056854547668
SpatialDM	VWF|LRP1	pair		False	5001.0	-3.699056854547668
SpatialDM	VWF|SELP	pair	1896.0	True	1896.0	-3.2778383330020477
stLearn	CXCL12|CXCR4	pair		False	5001.0	-3.699056854547668
stLearn	DLL4|NOTCH3	pair		False	5001.0	-3.699056854547668
stLearn	MMRN2|CD93	pair		False	5001.0	-3.699056854547668
stLearn	VWF|LRP1	pair		False	5001.0	-3.699056854547668
stLearn	VWF|SELP	pair		False	5001.0	-3.699056854547668
Squidpy	CXCL12|CXCR4	pair	204.0	True	204.0	-2.3096301674258988
Squidpy	DLL4|NOTCH3	pair		False	5001.0	-3.699056854547668
Squidpy	MMRN2|CD93	pair		False	5001.0	-3.699056854547668
Squidpy	VWF|LRP1	pair	1.0	True	1.0	-0.0
Squidpy	VWF|SELP	pair	316.0	True	316.0	-2.499687082618404
