feature	classification_name	mean_value	median_value	n_contours
edge_contrast__pathway__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #2.1	0.1336554527783839	0.1336554527783839	1
edge_contrast__pathway__vascular_stromal	S4 Plasma Cells #1.1	0.1124436609356443	0.1124436609356443	1
edge_contrast__pathway__vascular_stromal	S2 Basal-like Structured DCIS Cells #4.1	0.0815412458713064	0.0815412458713064	1
edge_contrast__pathway__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #1.1	0.0638330937720745	0.0638330937720745	1
edge_contrast__pathway__vascular_stromal	S1 11q13 Invasive Tumor Cells #4.1	0.0465692897072438	0.0465692897072438	1
edge_contrast__pathway__vascular_stromal	S4 Plasma Cells #4.1	0.0348423655832229	0.0348423655832229	1
edge_contrast__pathway__vascular_stromal	S1 11q13 Invasive Tumor Cells #1.1	0.0258943781038964	0.0258943781038964	1
edge_contrast__pathway__vascular_stromal	S2 Basal-like Structured DCIS Cells #1.1	0.0135670623709632	0.0135670623709632	1
edge_contrast__pathway__vascular_stromal	S4 Plasma Cells #2.1	0.0134421654022865	0.0134421654022865	1
edge_contrast__pathway__vascular_stromal	S3 Macrophages #3.1	0.0074752164167261	0.0074752164167261	1
edge_contrast__pathway__vascular_stromal	S6 Apocrine Cells #4.1	-0.1246836870274287	-0.1246836870274287	1
edge_contrast__pathway__vascular_stromal	S1 11q13 Invasive Tumor Cells #2.1			0
edge_contrast__pathway__vascular_stromal	S1 11q13 Invasive Tumor Cells #3.1			0
edge_contrast__pathway__vascular_stromal	S2 Basal-like Structured DCIS Cells #2.1			0
edge_contrast__pathway__vascular_stromal	S2 Basal-like Structured DCIS Cells #3.1			0
edge_contrast__pathway__vascular_stromal	S3 Macrophages #1.1			0
edge_contrast__pathway__vascular_stromal	S3 Macrophages #2.1			0
edge_contrast__pathway__vascular_stromal	S3 Macrophages #4.1			0
edge_contrast__pathway__vascular_stromal	S4 Plasma Cells #3.1			0
edge_contrast__pathway__vascular_stromal	S5 Endothelial Cells #1.1			0
edge_contrast__pathway__vascular_stromal	S5 Endothelial Cells #2.1			0
edge_contrast__pathway__vascular_stromal	S5 Endothelial Cells #3.1			0
edge_contrast__pathway__vascular_stromal	S5 Endothelial Cells #4.1			0
edge_contrast__pathway__vascular_stromal	S6 Apocrine Cells #1.1			0
edge_contrast__pathway__vascular_stromal	S6 Apocrine Cells #2.1			0
edge_contrast__pathway__vascular_stromal	S6 Apocrine Cells #3.1			0
edge_contrast__pathway__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #3.1			0
edge_contrast__pathway__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #4.1			0
edge_contrast__rna__emcn	S7 Luminal-like Amorphous DCIS Cells #1.1	0.2980889159080111	0.2980889159080111	1
edge_contrast__rna__emcn	S2 Basal-like Structured DCIS Cells #4.1	0.2353542826539352	0.2353542826539352	1
edge_contrast__rna__emcn	S3 Macrophages #3.1	0.229064421998925	0.229064421998925	1
edge_contrast__rna__emcn	S4 Plasma Cells #2.1	0.2283643672023154	0.2283643672023154	1
edge_contrast__rna__emcn	S4 Plasma Cells #4.1	0.2127168306328455	0.2127168306328455	1
edge_contrast__rna__emcn	S4 Plasma Cells #1.1	0.1984497855493979	0.1984497855493979	1
edge_contrast__rna__emcn	S7 Luminal-like Amorphous DCIS Cells #2.1	0.1870063913186551	0.1870063913186551	1
edge_contrast__rna__emcn	S2 Basal-like Structured DCIS Cells #1.1	0.1072596756014676	0.1072596756014676	1
edge_contrast__rna__emcn	S1 11q13 Invasive Tumor Cells #1.1	0.0780372402797738	0.0780372402797738	1
edge_contrast__rna__emcn	S1 11q13 Invasive Tumor Cells #4.1	-0.0397017248618365	-0.0397017248618365	1
edge_contrast__rna__emcn	S6 Apocrine Cells #4.1	-0.5873915102460823	-0.5873915102460823	1
edge_contrast__rna__emcn	S1 11q13 Invasive Tumor Cells #2.1			0
edge_contrast__rna__emcn	S1 11q13 Invasive Tumor Cells #3.1			0
edge_contrast__rna__emcn	S2 Basal-like Structured DCIS Cells #2.1			0
edge_contrast__rna__emcn	S2 Basal-like Structured DCIS Cells #3.1			0
edge_contrast__rna__emcn	S3 Macrophages #1.1			0
edge_contrast__rna__emcn	S3 Macrophages #2.1			0
edge_contrast__rna__emcn	S3 Macrophages #4.1			0
edge_contrast__rna__emcn	S4 Plasma Cells #3.1			0
edge_contrast__rna__emcn	S5 Endothelial Cells #1.1			0
edge_contrast__rna__emcn	S5 Endothelial Cells #2.1			0
edge_contrast__rna__emcn	S5 Endothelial Cells #3.1			0
edge_contrast__rna__emcn	S5 Endothelial Cells #4.1			0
edge_contrast__rna__emcn	S6 Apocrine Cells #1.1			0
edge_contrast__rna__emcn	S6 Apocrine Cells #2.1			0
edge_contrast__rna__emcn	S6 Apocrine Cells #3.1			0
edge_contrast__rna__emcn	S7 Luminal-like Amorphous DCIS Cells #3.1			0
edge_contrast__rna__emcn	S7 Luminal-like Amorphous DCIS Cells #4.1			0
edge_contrast__rna__kdr	S4 Plasma Cells #2.1	0.7233873071937582	0.7233873071937582	1
edge_contrast__rna__kdr	S4 Plasma Cells #1.1	0.4475273128209102	0.4475273128209102	1
edge_contrast__rna__kdr	S2 Basal-like Structured DCIS Cells #4.1	0.2720449941665531	0.2720449941665531	1
edge_contrast__rna__kdr	S7 Luminal-like Amorphous DCIS Cells #1.1	0.2369890642369559	0.2369890642369559	1
edge_contrast__rna__kdr	S7 Luminal-like Amorphous DCIS Cells #2.1	0.186163694262481	0.186163694262481	1
edge_contrast__rna__kdr	S1 11q13 Invasive Tumor Cells #1.1	0.1273978956641449	0.1273978956641449	1
edge_contrast__rna__kdr	S3 Macrophages #3.1	0.1202054313490939	0.1202054313490939	1
edge_contrast__rna__kdr	S2 Basal-like Structured DCIS Cells #1.1	0.112206291358117	0.112206291358117	1
edge_contrast__rna__kdr	S1 11q13 Invasive Tumor Cells #4.1	-0.005356534083885	-0.005356534083885	1
edge_contrast__rna__kdr	S4 Plasma Cells #4.1	-0.0938573176442186	-0.0938573176442186	1
edge_contrast__rna__kdr	S6 Apocrine Cells #4.1	-0.533304618150171	-0.533304618150171	1
edge_contrast__rna__kdr	S1 11q13 Invasive Tumor Cells #2.1			0
edge_contrast__rna__kdr	S1 11q13 Invasive Tumor Cells #3.1			0
edge_contrast__rna__kdr	S2 Basal-like Structured DCIS Cells #2.1			0
edge_contrast__rna__kdr	S2 Basal-like Structured DCIS Cells #3.1			0
edge_contrast__rna__kdr	S3 Macrophages #1.1			0
edge_contrast__rna__kdr	S3 Macrophages #2.1			0
edge_contrast__rna__kdr	S3 Macrophages #4.1			0
edge_contrast__rna__kdr	S4 Plasma Cells #3.1			0
edge_contrast__rna__kdr	S5 Endothelial Cells #1.1			0
edge_contrast__rna__kdr	S5 Endothelial Cells #2.1			0
edge_contrast__rna__kdr	S5 Endothelial Cells #3.1			0
edge_contrast__rna__kdr	S5 Endothelial Cells #4.1			0
edge_contrast__rna__kdr	S6 Apocrine Cells #1.1			0
edge_contrast__rna__kdr	S6 Apocrine Cells #2.1			0
edge_contrast__rna__kdr	S6 Apocrine Cells #3.1			0
edge_contrast__rna__kdr	S7 Luminal-like Amorphous DCIS Cells #3.1			0
edge_contrast__rna__kdr	S7 Luminal-like Amorphous DCIS Cells #4.1			0
edge_contrast__rna__pecam1	S4 Plasma Cells #1.1	0.8449618957576507	0.8449618957576507	1
edge_contrast__rna__pecam1	S2 Basal-like Structured DCIS Cells #4.1	0.5265641971492074	0.5265641971492074	1
edge_contrast__rna__pecam1	S4 Plasma Cells #4.1	0.4559089980879899	0.4559089980879899	1
edge_contrast__rna__pecam1	S7 Luminal-like Amorphous DCIS Cells #1.1	0.4097785285628157	0.4097785285628157	1
edge_contrast__rna__pecam1	S3 Macrophages #3.1	0.3649135571300983	0.3649135571300983	1
edge_contrast__rna__pecam1	S2 Basal-like Structured DCIS Cells #1.1	0.2582460100717038	0.2582460100717038	1
edge_contrast__rna__pecam1	S1 11q13 Invasive Tumor Cells #4.1	0.2220533075425462	0.2220533075425462	1
edge_contrast__rna__pecam1	S7 Luminal-like Amorphous DCIS Cells #2.1	0.1557196622786285	0.1557196622786285	1
edge_contrast__rna__pecam1	S1 11q13 Invasive Tumor Cells #1.1	0.0762564073162652	0.0762564073162652	1
edge_contrast__rna__pecam1	S4 Plasma Cells #2.1	0.0	0.0	1
edge_contrast__rna__pecam1	S6 Apocrine Cells #4.1	-0.4091528053887573	-0.4091528053887573	1
edge_contrast__rna__pecam1	S1 11q13 Invasive Tumor Cells #2.1			0
edge_contrast__rna__pecam1	S1 11q13 Invasive Tumor Cells #3.1			0
edge_contrast__rna__pecam1	S2 Basal-like Structured DCIS Cells #2.1			0
edge_contrast__rna__pecam1	S2 Basal-like Structured DCIS Cells #3.1			0
edge_contrast__rna__pecam1	S3 Macrophages #1.1			0
edge_contrast__rna__pecam1	S3 Macrophages #2.1			0
edge_contrast__rna__pecam1	S3 Macrophages #4.1			0
edge_contrast__rna__pecam1	S4 Plasma Cells #3.1			0
edge_contrast__rna__pecam1	S5 Endothelial Cells #1.1			0
edge_contrast__rna__pecam1	S5 Endothelial Cells #2.1			0
edge_contrast__rna__pecam1	S5 Endothelial Cells #3.1			0
edge_contrast__rna__pecam1	S5 Endothelial Cells #4.1			0
edge_contrast__rna__pecam1	S6 Apocrine Cells #1.1			0
edge_contrast__rna__pecam1	S6 Apocrine Cells #2.1			0
edge_contrast__rna__pecam1	S6 Apocrine Cells #3.1			0
edge_contrast__rna__pecam1	S7 Luminal-like Amorphous DCIS Cells #3.1			0
edge_contrast__rna__pecam1	S7 Luminal-like Amorphous DCIS Cells #4.1			0
lr__vegfa_kdr__cross_zone	S6 Apocrine Cells #4.1	0.3315217986903787	0.3315217986903787	1
lr__vegfa_kdr__cross_zone	S7 Luminal-like Amorphous DCIS Cells #1.1	0.2720295612377846	0.2720295612377846	1
lr__vegfa_kdr__cross_zone	S2 Basal-like Structured DCIS Cells #1.1	0.2604028680967408	0.2604028680967408	1
lr__vegfa_kdr__cross_zone	S1 11q13 Invasive Tumor Cells #1.1	0.2385779751029094	0.2385779751029094	1
lr__vegfa_kdr__cross_zone	S3 Macrophages #3.1	0.2083858768917343	0.2083858768917343	1
lr__vegfa_kdr__cross_zone	S2 Basal-like Structured DCIS Cells #4.1	0.1685370600271817	0.1685370600271817	1
lr__vegfa_kdr__cross_zone	S1 11q13 Invasive Tumor Cells #4.1	0.1241815093888909	0.1241815093888909	1
lr__vegfa_kdr__cross_zone	S1 11q13 Invasive Tumor Cells #2.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S1 11q13 Invasive Tumor Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S2 Basal-like Structured DCIS Cells #2.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S2 Basal-like Structured DCIS Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S3 Macrophages #1.1	0.0	0.0	1
