contour_id	classification_name	assigned_structure	value	feature
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.1796677420063506	rna__whole__pecam1
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		rna__whole__pecam1
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells		rna__whole__pecam1
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.1187071924103694	rna__whole__pecam1
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.0769177593567086	rna__whole__pecam1
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells	0.0	rna__whole__pecam1
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells		rna__whole__pecam1
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.1076629263635845	rna__whole__pecam1
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages		rna__whole__pecam1
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages	0.0	rna__whole__pecam1
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.3749694075793126	rna__whole__pecam1
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages	0.0	rna__whole__pecam1
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.0	rna__whole__pecam1
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.5025502424725253	rna__whole__pecam1
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells	0.0	rna__whole__pecam1
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.5278241870206619	rna__whole__pecam1
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells	0.0	rna__whole__pecam1
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells	0.0	rna__whole__pecam1
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells		rna__whole__pecam1
S5 Endothelial Cells #4.1	S5 Endothelial Cells #4.1	Endothelial Cells	0.0	rna__whole__pecam1
