method	database_mode	ligand	receptor	sender	receiver	score_raw	score_std	rank_within_method	rank_fraction	fdr_or_pvalue	resolution	spatial_support_type	artifact_path	sender_mean_expr	receiver_mean_expr	lr_pair	method_source	sender_diffused_mean	receiver_diffused_mean	diffusion_alpha	spatial_coherence	local_lr_score	edge_count	spatialdm_moran_r	spatialdm_zscore	n_spots	n_spots_sig	n_spots_sig_pval	local_contact	contact_strength_normalized	contact_coverage	cross_edge_count
cellphonedb	common-db	VWF	LRP1	Endothelial Cells	CAFs, DCIS Associated	7.089930353712428	0.99999915501717	2.0	0.99999915501717		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	3.036243667642902	2.3350992640246444	VWF-LRP1	cellphonedb															
cellphonedb	common-db	VWF	LRP1	Endothelial Cells	CAFs, Invasive Associated	6.680081612469297	0.99999831003434	3.0	0.99999831003434		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	3.036243667642902	2.2001138062990777	VWF-LRP1	cellphonedb															
cellphonedb	common-db	CCN2	LRP1	CAFs, Invasive Associated	CAFs, DCIS Associated	6.648912765789715	0.99999746505151	4.0	0.99999746505151		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	2.8473790678731263	2.3350992640246444	CCN2-LRP1	cellphonedb															
cellphonedb	common-db	PLAT	LRP1	11q13 Invasive Tumor Cells	CAFs, DCIS Associated	6.61271584743699	0.9999966200686802	5.0	0.9999966200686802		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	2.831877834623479	2.3350992640246444	PLAT-LRP1	cellphonedb															
cellphonedb	common-db	HSPG2	LRP1	Endothelial Cells	CAFs, DCIS Associated	6.574617771250328	0.9999957750858502	6.0	0.9999957750858502		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	2.815562435627979	2.3350992640246444	HSPG2-LRP1	cellphonedb															
cellphonedb	common-db	CCN2	LRP1	CAFs, Invasive Associated	CAFs, Invasive Associated	6.264557998994664	0.9999949301030204	7.0	0.9999949301030204		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	2.8473790678731263	2.2001138062990777	CCN2-LRP1	cellphonedb															
cellphonedb	common-db	PLAT	LRP1	11q13 Invasive Tumor Cells	CAFs, Invasive Associated	6.230453521707453	0.9999940851201904	8.0	0.9999940851201904		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	2.831877834623479	2.2001138062990777	PLAT-LRP1	cellphonedb															
cellphonedb	common-db	HSPG2	LRP1	Endothelial Cells	CAFs, Invasive Associated	6.194557787122175	0.9999932401373604	9.0	0.9999932401373604		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	2.815562435627979	2.2001138062990777	HSPG2-LRP1	cellphonedb															
cellphonedb	common-db	COL6A1	ITGA6	CAFs, Invasive Associated	Endothelial Cells	5.928328677920953	0.9999915501717004	11.0	0.9999915501717004		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	3.1809546499662296	1.863694811865328	COL6A1-ITGA6	cellphonedb															
cellphonedb	common-db	VWF	ITGB1	Endothelial Cells	CAFs, Invasive Associated	5.645684159430604	0.9999898602060406	13.0	0.9999898602060406		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	3.036243667642902	1.8594305258159547	VWF-ITGB1	cellphonedb															
