method	database_mode	ligand	receptor	sender	receiver	score_raw	score_std	rank_within_method	rank_fraction	fdr_or_pvalue	resolution	spatial_support_type	artifact_path	sender_mean_expr	receiver_mean_expr	lr_pair	method_source	sender_diffused_mean	receiver_diffused_mean	diffusion_alpha	spatial_coherence	local_lr_score	edge_count	spatialdm_moran_r	spatialdm_zscore	n_spots	n_spots_sig	n_spots_sig_pval	local_contact	contact_strength_normalized	contact_coverage	cross_edge_count
cellphonedb	common-db	VWF	SELP	Endothelial Cells	Endothelial Cells	1.9961347331546029	0.9994161168645052	692.0	0.9994161168645052		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	3.036243667642902	0.657435618368615	VWF-SELP	cellphonedb															
cellphonedb	common-db	VWF	SELP	Pericytes	Endothelial Cells	0.9142102254192754	0.9968448341129708	3735.0	0.9968448341129708		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	1.3905699659045403	0.657435618368615	VWF-SELP	cellphonedb															
cellphonedb	common-db	VWF	SELP	Endothelial Cells	Pericytes	0.563034266872579	0.9931142349187464	8150.0	0.9931142349187464		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	3.036243667642902	0.1854377739417976	VWF-SELP	cellphonedb															
cellphonedb	common-db	VWF	SELP	Endothelial Cells	T Lymphocytes	0.3222230528235931	0.9854308060460212	17243.0	0.9854308060460212		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	3.036243667642902	0.1061255577928438	VWF-SELP	cellphonedb															
cellphonedb	common-db	VWF	SELP	Endothelial Cells	Myeloid Cells	0.2826621385466223	0.9828502284833572	20297.0	0.9828502284833572		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	3.036243667642902	0.0930959993622839	VWF-SELP	cellphonedb															
cellphonedb	common-db	VWF	SELP	Pericytes	Pericytes	0.2578641989876594	0.980902543060325	22602.0	0.980902543060325		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	1.3905699659045403	0.1854377739417976	VWF-SELP	cellphonedb															
cellphonedb	common-db	VWF	SELP	Endothelial Cells	Mast Cells	0.2352278751961761	0.9788407849552496	25042.0	0.9788407849552496		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	3.036243667642902	0.0774733193198516	VWF-SELP	cellphonedb															
cellphonedb	common-db	VWF	SELP	Endothelial Cells	Plasma Cells	0.1923705631967568	0.9734599342941352	31410.0	0.9734599342941352		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	3.036243667642902	0.0633580780247779	VWF-SELP	cellphonedb															
cellphonedb	common-db	VWF	SELP	Pericytes	T Lymphocytes	0.1475750132815952	0.9650700997755726	41339.0	0.9650700997755726		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	1.3905699659045403	0.1061255577928438	VWF-SELP	cellphonedb															
cellphonedb	common-db	VWF	SELP	Pericytes	Myeloid Cells	0.1294565006590603	0.9601945488467676	47109.0	0.9601945488467676		celltype_pair	nonspatial_expression_baseline	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/cellphonedb/raw	1.3905699659045403	0.0930959993622839	VWF-SELP	cellphonedb															
laris	common-db	VWF	SELP	Endothelial Cells	Endothelial Cells	0.9176596970347344	0.9978205811017408	2845.0	0.9978205811017408		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			VWF-SELP	laris	2.0100032004459494	0.4565463860112947	0.5												
laris	common-db	VWF	SELP	Pericytes	Endothelial Cells	0.5159741241820015	0.9931245617597813	8973.0	0.9931245617597813		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			VWF-SELP	laris	1.130168017953025	0.4565463860112947	0.5												
laris	common-db	VWF	SELP	Endothelial Cells	Pericytes	0.3717745293594288	0.988222401882086	15370.0	0.988222401882086		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			VWF-SELP	laris	2.0100032004459494	0.1849621579094724	0.5												
laris	common-db	VWF	SELP	Endothelial Cells	T Lymphocytes	0.2510689083246805	0.979234981052696	27098.0	0.979234981052696		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			VWF-SELP	laris	2.0100032004459494	0.1249097057502083	0.5												
laris	common-db	VWF	SELP	Pericytes	Pericytes	0.2090383154008628	0.9739389318241904	34009.0	0.9739389318241904		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			VWF-SELP	laris	1.130168017953025	0.1849621579094724	0.5												
laris	common-db	VWF	SELP	Endothelial Cells	Myeloid Cells	0.1934529444791298	0.9713342043856592	37408.0	0.9713342043856592		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			VWF-SELP	laris	2.0100032004459494	0.0962450927621455	0.5												
laris	common-db	VWF	SELP	Endothelial Cells	Mast Cells	0.1918785583019359	0.9710445347852577	37786.0	0.9710445347852577		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			VWF-SELP	laris	2.0100032004459494	0.0954618173042534	0.5												
laris	common-db	VWF	SELP	Endothelial Cells	Unassigned	0.1814889354896839	0.9691563181307882	40250.0	0.9691563181307882		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			VWF-SELP	laris	2.0100032004459494	0.0902928589613279	0.5												
laris	common-db	VWF	SELP	Endothelial Cells	Plasma Cells	0.1548701240134873	0.9633468333671792	47831.0	0.9633468333671792		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			VWF-SELP	laris	2.0100032004459494	0.0770496902587653	0.5												
laris	common-db	VWF	SELP	Endothelial Cells	B Cells	0.145015619320026	0.960776590404886	51185.0	0.960776590404886		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			VWF-SELP	laris	2.0100032004459494	0.0721469594117323	0.5												
liana	common-db	VWF	SELP	Unassigned	Endothelial Cells	0.5686537758279084	0.9978299106836924	1616.0	0.9978299106836924		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			VWF-SELP	liana				0.5686537758279084											
liana	common-db	VWF	SELP	Endothelial Cells	Unassigned	0.4156021034533974	0.9917348486782612	6152.0	0.9917348486782612		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			VWF-SELP	liana				0.4156021034533974											
liana	common-db	VWF	SELP	Endothelial Cells	T Lymphocytes	0.4054779434731631	0.990981028178912	6713.0	0.990981028178912		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			VWF-SELP	liana				0.4054779434731631											
liana	common-db	VWF	SELP	Pericytes	Unassigned	0.4044310471824344	0.9908909997057278	6780.0	0.9908909997057278		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			VWF-SELP	liana				0.4044310471824344											
liana	common-db	VWF	SELP	Endothelial Cells	Endothelial Cells	0.3791227467931514	0.9886470064188958	8450.0	0.9886470064188958		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			VWF-SELP	liana				0.3791227467931514											
liana	common-db	VWF	SELP	Endothelial Cells	B Cells	0.3630466987905046	0.986983495227819	9688.0	0.986983495227819		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			VWF-SELP	liana				0.3630466987905046											
liana	common-db	VWF	SELP	T Lymphocytes	Endothelial Cells	0.3579703426640832	0.9863506084984192	10159.0	0.9863506084984192		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			VWF-SELP	liana				0.3579703426640832											
liana	common-db	VWF	SELP	Endothelial Cells	Myeloid Cells	0.3305691070974965	0.9825868808358942	12960.0	0.9825868808358942		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			VWF-SELP	liana				0.3305691070974965											
liana	common-db	VWF	SELP	Unassigned	Macrophages	0.3273137848189328	0.9820520848310084	13358.0	0.9820520848310084		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			VWF-SELP	liana				0.3273137848189328											
liana	common-db	VWF	SELP	B Cells	Endothelial Cells	0.3265397368523377	0.9819378696038344	13443.0	0.9819378696038344		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			VWF-SELP	liana				0.3265397368523377											
spatialdm	common-db	VWF	SELP	11q13 Invasive Tumor Cells	11q13 Invasive Tumor Cells	42541.45362078735	0.9957513401775244	1896.0	0.9957513401775244	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			VWF-SELP	spatialdm				0.0001934774492215	51.93244301024077	268416.0	0.1508479722579936	141.8048454026245							
spatialdm	common-db	VWF	SELP	11q13 Invasive Tumor Cells	11q13 Invasive Tumor Cells (G1/S)	42541.45362078735	0.9957490981406788	1897.0	0.9957490981406788	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			VWF-SELP	spatialdm				0.000259115951175	1.9068342846971016	7359.0	0.1508479722579936	141.8048454026245							
spatialdm	common-db	VWF	SELP	11q13 Invasive Tumor Cells	11q13 Invasive Tumor Cells (Mitotic)	42541.45362078735	0.9957468561038332	1898.0	0.9957468561038332	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			VWF-SELP	spatialdm				0.0003684704123259	2.6972034182261906	7320.0	0.1508479722579936	141.8048454026245							
spatialdm	common-db	VWF	SELP	11q13 Invasive Tumor Cells	Basal-like Structured DCIS Cells	42541.45362078735	0.9957446140669876	1899.0	0.9957446140669876	0.0	local_lr	bivariate_moran_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/spatialdm/raw			VWF-SELP	spatialdm				0.0003510776818515	6.585515156170597	18758.0	0.1508479722579936	141.8048454026245							
