gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene
ADAMTS13	11q13 Invasive Tumor Cells	64036	0.0721781497907427	0.04784344067381382	0.06488537697545131	0.6630757393732585	0.6601148682378559
ANGPT2	11q13 Invasive Tumor Cells	64036	0.0120713348741333	0.007940831971667197	0.010650259229183584	0.16830031217761166	0.18938527633761565
CDH5	11q13 Invasive Tumor Cells	64036	0.02339309138609532	0.015453379638637623	0.020925729277281528	0.020694833991586933	0.03131959203180769
CLEC14A	11q13 Invasive Tumor Cells	64036	0.03988381535386345	0.026468091159900068	0.03594852895246424	0.04155748169744505	0.06097956602794091
COL4A1	11q13 Invasive Tumor Cells	64036	0.05785807983009557	0.03548603470126147	0.04458429633331251	0.03921815326948283	0.06831822522716544
COL4A2	11q13 Invasive Tumor Cells	64036	0.09628958710725218	0.06109583781155651	0.07900243612967706	0.09213451070750399	0.1394141618953008
CXCL8	11q13 Invasive Tumor Cells	64036	0.043553626085327	0.02846966884394887	0.038322193766006624	0.5875885227687535	0.5896827565744269
EGFL7	11q13 Invasive Tumor Cells	64036	0.35272346804922233	0.20632754239338008	0.23903741645324506	0.20559968517527125	0.30681034074903785
EMCN	11q13 Invasive Tumor Cells	64036	0.04664563682928353	0.030693930947153895	0.041258042351177464	0.04385645514497113	0.0650593083263036
FLT1	11q13 Invasive Tumor Cells	64036	0.12132238116059717	0.07884511121563927	0.10397276531950778	0.11278992341297547	0.1685453248337284
GP1BA	11q13 Invasive Tumor Cells	64036	0.012289961896433256	0.008330881067818745	0.011649697045411956	0.33299247168169976	0.3582281841464176
HBB	11q13 Invasive Tumor Cells	64036	0.01372665375726154	0.009119271140361674	0.01244612405521894	0.13917030206253894	0.22502174811783676
IL6	11q13 Invasive Tumor Cells	64036	0.02643825348241614	0.01754452742921018	0.023861577862452372	0.1406210740048672	0.19505426301970546
ITGA2B	11q13 Invasive Tumor Cells	64036	0.011181210569054906	0.0075541820553332575	0.010525329502155038	0.09561369191660664	0.1044893598157488
KDR	11q13 Invasive Tumor Cells	64036	0.03829096133424949	0.024897827921370387	0.033496783059529016	0.028964643684744114	0.0525611821516336
MMRN2	11q13 Invasive Tumor Cells	64036	0.019801361734024612	0.01277754490385711	0.016896745580610908	0.021414330386234054	0.02997069804343654
PECAM1	11q13 Invasive Tumor Cells	64036	0.0740520956961709	0.048479711931903396	0.06488537697545131	0.03375958816791622	0.07275666246733742
PF4	11q13 Invasive Tumor Cells	64036	0.010462864638640764	0.007156123187238734	0.01013492410519083	0.2936332728024037	0.29427476062571944
PLAT	11q13 Invasive Tumor Cells	64036	8.869838840652132	2.01748548104039	0.9560247360859516	1.0	1.0
PPBP	11q13 Invasive Tumor Cells	64036	0.020066837403960272	0.013566815892289915	0.018895621213067648	0.5162658763147775	0.5169002158508061
RAB27A	11q13 Invasive Tumor Cells	64036	0.10867324629895683	0.0711585735052843	0.09505590605284528	0.4515759262491162	0.4675817513691493
SELP	11q13 Invasive Tumor Cells	64036	0.01677181585358236	0.011227751467246411	0.015444437503904054	0.03582426795646067	0.05951422208832375
SERPINE1	11q13 Invasive Tumor Cells	64036	0.011868324067711912	0.008008610174883496	0.011165594353176338	0.042738338523623784	0.054281340227288616
STXBP5	11q13 Invasive Tumor Cells	64036	0.21141233056405773	0.1329007538303924	0.16818664501218064	0.35234416278290714	0.4109991523807593
THBD	11q13 Invasive Tumor Cells	64036	0.03505840464738585	0.02325041883044925	0.03166968580173652	0.056265455476962684	0.07821287810829776
VWF	11q13 Invasive Tumor Cells	64036	0.05264226372665376	0.033807260687592	0.04458429633331251	0.02038689127095691	0.050771817189817395
ADAMTS13	11q13 Invasive Tumor Cells (G1/S)	2374	0.025695029486099412	0.016956942286013327	0.02316764953664701	0.2350110461424653	0.23569732710423527
ANGPT2	11q13 Invasive Tumor Cells (G1/S)	2374	0.011794439764111205	0.007932922034867273	0.010951979780960405	0.16813266666672785	0.19475053823832258
CDH5	11q13 Invasive Tumor Cells (G1/S)	2374	0.019797809604043808	0.012995714006574028	0.017270429654591406	0.017403580980807434	0.025848695824574157
CLEC14A	11q13 Invasive Tumor Cells (G1/S)	2374	0.02611625947767481	0.017981231306766987	0.025695029486099412	0.028232284920516208	0.04358653310151875
COL4A1	11q13 Invasive Tumor Cells (G1/S)	2374	0.10783487784330244	0.06284608363957601	0.07455770850884583	0.06945569887739565	0.11424763293892792
COL4A2	11q13 Invasive Tumor Cells (G1/S)	2374	0.11920808761583825	0.07194214582424152	0.08803706823925864	0.10849109599264085	0.1553574128290089
CXCL8	11q13 Invasive Tumor Cells (G1/S)	2374	0.02737994945240101	0.01832281943491203	0.02527379949452401	0.37816661878759095	0.38890058972198827
EGFL7	11q13 Invasive Tumor Cells (G1/S)	2374	0.22325189553496208	0.13498856075824672	0.16385846672283066	0.1345123645259343	0.21031632936712186
EMCN	11q13 Invasive Tumor Cells (G1/S)	2374	0.02906486941870261	0.01864245474033634	0.02401010951979781	0.026636926417778577	0.03786125150827141
