gene	n_cells	n_nonzero_cells	spearman_rho	p_value	mean_expression	tumor_enriched
EPCAM	82303	67829	-0.0834028923827513	5.93553564262626e-127	3.102511451587427	False
KRT8	82303	19872	-0.0025968021329219	0.4562877361630357	0.3148609406704494	False
KRT18	82303	35448	0.0296266911345638	1.876569763175561e-17	0.7113956963901681	False
KRT19	82303	23458	0.1070290103486969	3.2483454808332998e-208	0.4235811574304703	False
KRT5	82303	6088	-0.0514413810515726	2.3801407262360342e-49	0.0986476799144624	False
KRT14	82303	608	-0.003432204033137	0.3248030080237773	0.0078247451490225	False
ERBB2	82303	6094	0.0253778086904557	3.299462492604439e-13	0.0851852301860199	False
MKI67	82303	11208	-0.1196939684695314	2.99424518383184e-260	0.330449679841561	False
MMP11	82303	838	-0.0307515012331743	1.1034656677963597e-18	0.0112268082572931	False
MUC1	82303	29462	0.1539442316592249	0.0	1.842897585750216	False
NIBAN1	82303	17686	0.2889451621648433	0.0	0.9109023972394688	False
SORL1	82303	10690	0.123927779443866	5.623826886423335e-279	0.1746837903843116	False
