pathway	cell_type	present_genes	n_present_genes	mean_activity	q95_activity	detection_fraction_activity_positive
WPB_EndothelialActivation	11q13 Invasive Tumor Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.0702110606305703	0.13891259476151271	0.9619120494721719
WPB_EndothelialActivation	11q13 Invasive Tumor Cells (G1/S)	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.06033952574155523	0.12930364244484194	0.9376579612468408
WPB_EndothelialActivation	11q13 Invasive Tumor Cells (Mitotic)	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.07883215614749373	0.15699591607723445	0.9735987002437043
WPB_EndothelialActivation	Apocrine Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.04798210868335549	0.10787794990890846	0.8833746898263027
WPB_EndothelialActivation	B Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.007472489572317884	0.04452589838850277	0.1819267515923567
WPB_EndothelialActivation	Basal-like Structured DCIS Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.04138759688649104	0.10663051665885673	0.7819634703196348
WPB_EndothelialActivation	CAFs, DCIS Associated	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.014314226860381416	0.06322028112156718	0.33966123885115784
WPB_EndothelialActivation	CAFs, Invasive Associated	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.02435209312074006	0.08395900798671886	0.5451137215696076
WPB_EndothelialActivation	CXCL14+ Fibroblasts	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.003034877455328826	0.026593256694170394	0.10170178282009724
WPB_EndothelialActivation	Dendritic Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.01821696950029641	0.07241654106270415	0.3997005988023952
WPB_EndothelialActivation	Endothelial Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.08733690749375118	0.21110720240504277	0.9308905380333952
WPB_EndothelialActivation	Luminal-like Amorphous DCIS Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.04269547854689072	0.11958656019578347	0.7351857537611298
WPB_EndothelialActivation	Macrophages	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.007959980811046326	0.04452589838850277	0.20564620564620564
WPB_EndothelialActivation	Mast Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.036273506299250725	0.09967597594119364	0.6612466124661247
WPB_EndothelialActivation	Myeloid Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.01696904379349529	0.07691786866109243	0.39114391143911437
WPB_EndothelialActivation	Myoepithelial Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.02833504473107378	0.09212989560603617	0.6039345816544205
WPB_EndothelialActivation	Pericytes	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.030328220243885876	0.10290786086830904	0.5884753307777916
WPB_EndothelialActivation	Plasma Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.02128128546027968	0.07415579399453893	0.4639175257731959
WPB_EndothelialActivation	T Lymphocytes	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.022344586745235942	0.08395900798671886	0.4437515589922674
WPB_EndothelialActivation	Unassigned	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.0	0.0	0.0
VascularIdentity	11q13 Invasive Tumor Cells	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.017302632427586603	0.06515439475530511	0.42607283403085766
VascularIdentity	11q13 Invasive Tumor Cells (G1/S)	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.011968821321033656	0.05382261204011885	0.3205560235888795
VascularIdentity	11q13 Invasive Tumor Cells (Mitotic)	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.024960140665677984	0.07823524890790162	0.5629569455727051
