pathway	cell_type	present_genes	n_present_genes	mean_activity	q95_activity	detection_fraction_activity_positive
Hemostasis_Thromboinflammation	Endothelial Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.12080628952187553	0.2793112475938022	0.9394712430426716
Hemostasis_Thromboinflammation	11q13 Invasive Tumor Cells (Mitotic)	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.08149835321585597	0.15800867796912568	0.9634443541835905
Hemostasis_Thromboinflammation	11q13 Invasive Tumor Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.08127072254806182	0.15458128663562398	0.9590542819663939
Hemostasis_Thromboinflammation	11q13 Invasive Tumor Cells (G1/S)	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.0652213055409331	0.12067972161609646	0.9250210614995787
Hemostasis_Thromboinflammation	Apocrine Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.05249795543063073	0.11585787446492746	0.8461538461538461
Hemostasis_Thromboinflammation	Basal-like Structured DCIS Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.04309090950926736	0.1094822173153776	0.7392694063926941
Hemostasis_Thromboinflammation	Pericytes	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.04064672914998949	0.13607883121323613	0.6026956844318041
Hemostasis_Thromboinflammation	Luminal-like Amorphous DCIS Cells	VWF,SELP,THBD,PLAT,SERPINE1,ADAMTS13	6	0.038831033989437214	0.1060234865145806	0.6648756524408965
VascularIdentity	Endothelial Cells	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.2642601435931071	0.45724206940237777	0.998956400742115
VascularIdentity	Pericytes	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.07769902455310783	0.2083392463533811	0.8027698775813034
VascularIdentity	Plasma Cells	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.03650530885857795	0.09273550515473306	0.7319587628865979
VascularIdentity	11q13 Invasive Tumor Cells (Mitotic)	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.024960140665677984	0.07823524890790162	0.5629569455727051
VascularIdentity	Dendritic Cells	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.022100473056172673	0.06922192134885388	0.532435129740519
VascularIdentity	Myeloid Cells	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.01973184074748417	0.08052217998521694	0.4354243542435424
VascularIdentity	Macrophages	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.018562853569805183	0.07033723666207875	0.44185444185444184
VascularIdentity	11q13 Invasive Tumor Cells	PECAM1,EMCN,CDH5,KDR,FLT1,MMRN2,CLEC14A,EGFL7	8	0.017302632427586603	0.06515439475530511	0.42607283403085766
WPB_EndothelialActivation	Endothelial Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.08733690749375118	0.21110720240504277	0.9308905380333952
WPB_EndothelialActivation	11q13 Invasive Tumor Cells (Mitotic)	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.07883215614749373	0.15699591607723445	0.9735987002437043
WPB_EndothelialActivation	11q13 Invasive Tumor Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.0702110606305703	0.13891259476151271	0.9619120494721719
WPB_EndothelialActivation	11q13 Invasive Tumor Cells (G1/S)	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.06033952574155523	0.12930364244484194	0.9376579612468408
WPB_EndothelialActivation	Apocrine Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.04798210868335549	0.10787794990890846	0.8833746898263027
WPB_EndothelialActivation	Luminal-like Amorphous DCIS Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.04269547854689072	0.11958656019578347	0.7351857537611298
WPB_EndothelialActivation	Basal-like Structured DCIS Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.04138759688649104	0.10663051665885673	0.7819634703196348
WPB_EndothelialActivation	Mast Cells	VWF,SELP,ANGPT2,IL6,CXCL8,RAB27A,STXBP5,PLAT	8	0.036273506299250725	0.09967597594119364	0.6612466124661247
