ligand	receptor	sender_celltype	receiver_celltype	anchor_source_ligand	anchor_source_receptor	structure_map_source	sender_anchor	receiver_anchor	structure_bridge	sender_expr	receiver_expr	local_contact	contact_strength_raw	contact_strength_normalized	contact_coverage	cross_edge_count	prior_confidence	CCI_score	lr_pair
VWF	SELP	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.955713094717548	0.8819126042133903	1.0	1.0	1.0	0.2912449657481761	0.2087907006523492	1.0	0.1111198059316065	12779	1.0	0.7912892368005828	VWF-SELP
VWF	LRP1	Endothelial Cells	CAFs, DCIS Associated	recompute	recompute	recompute	0.955713094717548	0.7346293219749174	0.7204611100467462	1.0	1.0	0.3461937505325735	0.1519427889568471	1.0	0.1319036006311863	13942	1.0	0.7479758913021439	VWF-LRP1
EFNB2	PECAM1	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.8640667164982425	0.956444566971872	1.0	1.0	1.0	0.2101050418451564	0.0989465138117223	1.0	0.0578292511151107	12779	1.0	0.7469197326713805	EFNB2-PECAM1
MMRN2	CLEC14A	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.9845127857250529	0.9003264838243337	1.0	1.0	1.0	0.1738559319741048	0.1837519889401885	1.0	0.0395962125361921	12779	1.0	0.7322091602540813	MMRN2-CLEC14A
HSPG2	LRP1	Endothelial Cells	CAFs, DCIS Associated	recompute	recompute	recompute	0.8818165186409654	0.7346293219749174	0.7204611100467462	1.0	1.0	0.31885311072451	0.1096327643092834	1.0	0.1118921245158513	13942	1.0	0.7279607350660221	HSPG2-LRP1
COL4A2	CD93	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.8840293712888387	0.8817184225858201	1.0	1.0	1.0	0.1669998679965045	0.1163393066750141	0.9954762497320926	0.0367008373112137	12779	1.0	0.7118996799523881	COL4A2-CD93
MMRN2	CD93	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.9845127857250529	0.8817184225858201	1.0	1.0	1.0	0.1484661470807383	0.1953008842632443	1.0	0.0288754988653259	12779	1.0	0.7107166026857937	MMRN2-CD93
VWF	ITGA9	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.955713094717548	0.9404022517663844	1.0	1.0	1.0	0.1406138993850457	0.1048381933427708	1.0	0.0259018702558885	12779	1.0	0.7083995070560564	VWF-ITGA9
MMP2	PECAM1	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.718867305289982	0.956444566971872	0.7204611100467462	1.0	1.0	0.2317164323896752	0.110891210066582	1.0	0.0536925050393989	16371	1.0	0.6971282135184347	MMP2-PECAM1
COL4A1	CD93	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.7766289238087107	0.8817184225858201	1.0	1.0	1.0	0.1668262385778408	0.1243278593227725	0.9488962135774316	0.038422411769309	12779	1.0	0.6965751554743362	COL4A1-CD93
