ligand	receptor	sender_celltype	receiver_celltype	CCI_score	sender_anchor	receiver_anchor	structure_bridge	sender_expr	receiver_expr	local_contact	contact_coverage	cross_edge_count
VWF	SELP	Endothelial Cells	Endothelial Cells	0.7912892368005828	0.955713094717548	0.8819126042133903	1.0	1.0	1.0	0.2912449657481761	0.1111198059316065	12779
VWF	LRP1	Endothelial Cells	CAFs, DCIS Associated	0.7479758913021439	0.955713094717548	0.7346293219749174	0.7204611100467462	1.0	1.0	0.3461937505325735	0.1319036006311863	13942
EFNB2	PECAM1	Endothelial Cells	Endothelial Cells	0.7469197326713805	0.8640667164982425	0.956444566971872	1.0	1.0	1.0	0.2101050418451564	0.0578292511151107	12779
MMRN2	CLEC14A	Endothelial Cells	Endothelial Cells	0.7322091602540813	0.9845127857250529	0.9003264838243337	1.0	1.0	1.0	0.1738559319741048	0.0395962125361921	12779
HSPG2	LRP1	Endothelial Cells	CAFs, DCIS Associated	0.7279607350660221	0.8818165186409654	0.7346293219749174	0.7204611100467462	1.0	1.0	0.31885311072451	0.1118921245158513	13942
COL4A2	CD93	Endothelial Cells	Endothelial Cells	0.7118996799523881	0.8840293712888387	0.8817184225858201	1.0	1.0	1.0	0.1669998679965045	0.0367008373112137	12779
MMRN2	CD93	Endothelial Cells	Endothelial Cells	0.7107166026857937	0.9845127857250529	0.8817184225858201	1.0	1.0	1.0	0.1484661470807383	0.0288754988653259	12779
VWF	ITGA9	Endothelial Cells	Endothelial Cells	0.7083995070560564	0.955713094717548	0.9404022517663844	1.0	1.0	1.0	0.1406138993850457	0.0259018702558885	12779
MMP2	PECAM1	CAFs, DCIS Associated	Endothelial Cells	0.6971282135184347	0.718867305289982	0.956444566971872	0.7204611100467462	1.0	1.0	0.2317164323896752	0.0536925050393989	16371
COL4A1	CD93	Endothelial Cells	Endothelial Cells	0.6965751554743362	0.7766289238087107	0.8817184225858201	1.0	1.0	1.0	0.1668262385778408	0.038422411769309	12779
CXCL12	ITGA5	CAFs, DCIS Associated	Endothelial Cells	0.6886191799307758	0.8924110508951895	0.95087206839837	0.7204611100467462	1.0	1.0	0.1744122830918492	0.0304196444933113	16371
CD34	SELP	Endothelial Cells	Endothelial Cells	0.6842280929589697	0.9559599666576516	0.8819126042133903	1.0	1.0	1.0	0.1217138767253422	0.0194068393458017	12779
VEGFC	FLT1	Endothelial Cells	Endothelial Cells	0.6835286288881741	0.8718210606749883	0.878254460598671	1.0	1.0	1.0	0.1331963977536949	0.0232412551842867	12779
CXCL12	AVPR1A	CAFs, DCIS Associated	Pericytes	0.677852474314717	0.8924110508951895	0.9595271977303932	0.7204611100467462	1.0	1.0	0.1572455234165747	0.0247261546345525	15611
CCN1	CAV1	CAFs, DCIS Associated	Endothelial Cells	0.6766771533392466	0.7324582304061453	0.942159351720962	0.7204611100467462	1.0	1.0	0.1930951050542117	0.0378107629344572	16371
EDN1	ADGRL4	Endothelial Cells	Endothelial Cells	0.6734470755024204	0.9613635867358012	0.9517967454869936	1.0	1.0	1.0	0.1019503871084396	0.0136160888958447	12779
