pathway,family,primary_n_runs,primary_recovered_runs,primary_recovery_rate,primary_mean_discovery_abs_partial_rho,primary_mean_validation_pathway_abs_partial_rho,primary_mean_validation_family_abs_partial_rho,axis_masked_n_runs,axis_masked_recovered_runs,axis_masked_recovery_rate,axis_masked_mean_discovery_abs_partial_rho,axis_masked_mean_validation_pathway_abs_partial_rho,axis_masked_mean_validation_family_abs_partial_rho,stable_9_pathway_core,recovered_runs,recovery_rate
unfolded_protein_response,metabolic_stress,3,3,1.0,0.26420008159464553,0.18676335055421658,0.26225225207395275,3,3,1.0,0.26420008159464553,0.18676335055421658,0.26225225207395275,True,3,1.0
immune_exclusion,immune_ecology,3,3,1.0,0.2600004129250375,0.2868101552594507,0.3003612831213042,3,3,1.0,0.2600004129250375,0.2868101552594507,0.3003612831213042,True,3,1.0
luminal_estrogen_response,endocrine_epithelial_identity,3,3,1.0,0.25232330598793856,0.2307653765234771,0.26412709587503774,3,3,1.0,0.25232330598793856,0.2307653765234771,0.26412709587503774,True,3,1.0
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,3,3,1.0,0.24449108621650442,0.26648827797221464,0.3018050801980847,3,3,1.0,0.24449108621650442,0.26648827797221464,0.3018050801980847,True,3,1.0
oxidative_phosphorylation,metabolic_stress,3,3,1.0,0.21968742029893784,0.24203394028628553,0.26225225207395275,3,3,1.0,0.21968742029893784,0.24203394028628553,0.26225225207395275,True,3,1.0
basal_squamous_state,endocrine_epithelial_identity,3,3,1.0,0.21325724677514193,0.23275295929378137,0.26412709587503774,3,3,1.0,0.21325724677514193,0.23275295929378137,0.26412709587503774,True,3,1.0
collagen_ecm_organization,stromal_remodeling_caf_ecm,3,3,1.0,0.2085545816318508,0.29339610417429235,0.3018050801980847,3,3,1.0,0.2085545816318508,0.2907009264674828,0.3018050801980847,True,3,1.0
immune_activation,immune_ecology,3,3,1.0,0.20109645481885188,0.26031498204776043,0.3003612831213042,3,3,1.0,0.20109645481885188,0.26031498204776043,0.3003612831213042,True,3,1.0
epithelial_identity,endocrine_epithelial_identity,3,3,1.0,0.18210897815566693,0.24672575909312855,0.26412709587503774,3,3,1.0,0.17743211709479337,0.24672575909312855,0.26412709587503774,True,3,1.0
emt_invasive_front,invasion_boundary_emt,3,1,0.3333333333333333,0.237885280114309,0.20053814687142893,0.20053814687142893,3,1,0.3333333333333333,0.237885280114309,0.20053814687142893,0.20053814687142893,False,1,0.3333333333333333
