pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
immune_exclusion,immune_ecology,morphology__cell_area_log1p,0.22814136033033383,0.22814136033033383,7.041429979248134e-31,2500,"structure,x,y,boundary_distance,log_total_counts",4.22485798754888e-29,1,0.1111111111111111,0.022227219540288296,0.02223255785945932,True,True,0.1111111111111111,0.10511417258759045,0.11631639792685142,True,True
collagen_ecm_organization,stromal_remodeling_caf_ecm,morphology__cell_area_log1p,0.2221570267530558,0.2221570267530558,2.5050400552721002e-29,2500,"structure,x,y,boundary_distance,log_total_counts",7.5151201658163e-28,2,0.1111111111111111,0.023678782558355326,0.026384459539469014,True,True,0.1111111111111111,0.13719379716336935,0.14636892720504308,True,True
emt_invasive_front,invasion_boundary_emt,morphology__cell_area_log1p,0.21550103992958808,0.21550103992958808,1.1788009114075323e-27,2500,"structure,x,y,boundary_distance,log_total_counts",2.3576018228150647e-26,3,0.1111111111111111,0.03762843765285974,0.045559705872430106,True,True,0.1111111111111111,0.1108219928805189,0.1310853893494324,True,True
luminal_estrogen_response,endocrine_epithelial_identity,morphology__nucleus_area_log1p,-0.2103473602288161,0.2103473602288161,2.1320188532896748e-26,2500,"structure,x,y,boundary_distance,log_total_counts",3.1980282799345123e-25,4,0.1111111111111111,0.032993228380427786,0.037280405318822527,True,True,0.1111111111111111,0.11157826055137253,0.1280510825493547,True,True
immune_exclusion,immune_ecology,morphology__transcript_density_log1p,-0.20711478452471094,0.20711478452471094,1.2610969014912064e-25,2500,"structure,x,y,boundary_distance,log_total_counts",1.5133162817894478e-24,5,0.1111111111111111,0.014277063596352776,0.014446324780956777,True,True,0.1111111111111111,0.14551298855845934,0.14945630114419087,True,True
collagen_ecm_organization,stromal_remodeling_caf_ecm,morphology__transcript_density_log1p,-0.20549517197312334,0.20549517197312334,3.0388008190283536e-25,2500,"structure,x,y,boundary_distance,log_total_counts",3.0388008190283535e-24,6,0.1111111111111111,0.035353041904192965,0.04020278574341125,True,True,0.1111111111111111,0.1356565568723408,0.15465036225234563,True,True
emt_invasive_front,invasion_boundary_emt,morphology__transcript_density_log1p,-0.19922088642129734,0.19922088642129734,8.553592925765211e-24,2500,"structure,x,y,boundary_distance,log_total_counts",7.331651079227323e-23,7,0.1111111111111111,0.035302823653378425,0.0372539550956124,True,True,0.1111111111111111,0.10713545366592699,0.12218399911098435,True,True
unfolded_protein_response,metabolic_stress,morphology__nucleus_area_log1p,-0.19330073606310721,0.19330073606310721,1.8030221071545451e-22,2500,"structure,x,y,boundary_distance,log_total_counts",1.352266580365909e-21,8,0.1111111111111111,0.019208322539948797,0.01968422017262225,True,True,0.1111111111111111,0.11051183108057921,0.1302917478004088,True,True
epithelial_identity,endocrine_epithelial_identity,morphology__nucleus_area_log1p,-0.18340540587015333,0.18340540587015333,2.3700362348056103e-20,2500,"structure,x,y,boundary_distance,log_total_counts",1.5800241565370735e-19,9,0.1111111111111111,0.03497269097011682,0.03843104936861251,True,True,0.2222222222222222,0.16347814278880474,0.1910147326147921,True,False
luminal_estrogen_response,endocrine_epithelial_identity,morphology__control_fraction,-0.1735376911855019,0.1735376911855019,2.3533136307922872e-18,2500,"structure,x,y,boundary_distance,log_total_counts",1.4119881784753722e-17,10,0.1111111111111111,0.031729101376877344,0.03229112333121944,True,True,0.1111111111111111,0.11363157103944016,0.142581739504591,True,True
unfolded_protein_response,metabolic_stress,morphology__control_fraction,-0.16825126345571167,0.16825126345571167,2.4794430465426038e-17,2500,"structure,x,y,boundary_distance,log_total_counts",1.3524234799323292e-16,11,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,morphology__cell_area_log1p,-0.16730312330634975,0.16730312330634975,3.7524802039704126e-17,2500,"structure,x,y,boundary_distance,log_total_counts",1.8762401019852064e-16,12,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,morphology__transcript_density_log1p,0.16114422975343062,0.16114422975343062,5.222213379386562e-16,2500,"structure,x,y,boundary_distance,log_total_counts",2.410252328947644e-15,13,,,,,,,,,,
unfolded_protein_response,metabolic_stress,morphology__nucleus_to_cell_area,-0.1595829004952749,0.1595829004952749,1.0017512094402769e-15,2500,"structure,x,y,boundary_distance,log_total_counts",4.293219469029759e-15,14,,,,,,,,,,
immune_activation,immune_ecology,morphology__nucleus_to_cell_area,0.155888828573304,0.155888828573304,4.559295474957649e-15,2500,"structure,x,y,boundary_distance,log_total_counts",1.8237181899830596e-14,15,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,morphology__control_fraction,-0.15458134176156232,0.15458134176156232,7.72811500492896e-15,2500,"structure,x,y,boundary_distance,log_total_counts",2.89804312684836e-14,16,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,morphology__cell_area_log1p,0.14696816196962625,0.14696816196962625,1.526068040009679e-13,2500,"structure,x,y,boundary_distance,log_total_counts",5.23967794506163e-13,17,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,morphology__nucleus_area_log1p,-0.14689063365452504,0.14689063365452504,1.571903383518489e-13,2500,"structure,x,y,boundary_distance,log_total_counts",5.23967794506163e-13,18,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,morphology__nucleus_to_cell_area,-0.14610515307653002,0.14610515307653002,2.1195793366162054e-13,2500,"structure,x,y,boundary_distance,log_total_counts",6.693408431419596e-13,19,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,morphology__transcript_density_log1p,0.14337516968724565,0.14337516968724565,5.915622585672305e-13,2500,"structure,x,y,boundary_distance,log_total_counts",1.7746867757016914e-12,20,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,morphology__cell_area_log1p,-0.1396703670158576,0.1396703670158576,2.3088383633102496e-12,2500,"structure,x,y,boundary_distance,log_total_counts",6.596681038029285e-12,21,,,,,,,,,,
