pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
immune_exclusion,morphology__cell_area_log1p,0.22814136033033383,8,0.1111111111111111,0.022227219540288296,0.02223255785945932,True,True
collagen_ecm_organization,morphology__cell_area_log1p,0.2221570267530558,8,0.1111111111111111,0.023678782558355326,0.026384459539469014,True,True
emt_invasive_front,morphology__cell_area_log1p,0.21550103992958808,8,0.1111111111111111,0.03762843765285974,0.045559705872430106,True,True
luminal_estrogen_response,morphology__nucleus_area_log1p,0.2103473602288161,8,0.1111111111111111,0.032993228380427786,0.037280405318822527,True,True
immune_exclusion,morphology__transcript_density_log1p,0.20711478452471094,8,0.1111111111111111,0.014277063596352776,0.014446324780956777,True,True
collagen_ecm_organization,morphology__transcript_density_log1p,0.20549517197312334,8,0.1111111111111111,0.035353041904192965,0.04020278574341125,True,True
emt_invasive_front,morphology__transcript_density_log1p,0.19922088642129734,8,0.1111111111111111,0.035302823653378425,0.0372539550956124,True,True
unfolded_protein_response,morphology__nucleus_area_log1p,0.19330073606310721,8,0.1111111111111111,0.019208322539948797,0.01968422017262225,True,True
epithelial_identity,morphology__nucleus_area_log1p,0.18340540587015333,8,0.1111111111111111,0.03497269097011682,0.03843104936861251,True,True
luminal_estrogen_response,morphology__control_fraction,0.1735376911855019,8,0.1111111111111111,0.031729101376877344,0.03229112333121944,True,True
