pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
emt_invasive_front,invasion_boundary_emt,image__he_eosin_proxy,-0.20086956950443113,0.20086956950443113,0.003462788899491185,210,"structure,x,y,boundary_distance,log_total_counts",0.2227841394317188,1,0.1111111111111111,0.12505714890398187,0.14408806110051972,True,True,0.1111111111111111,0.11582995279271903,0.1196339481681423,True,True
emt_invasive_front,invasion_boundary_emt,image__he_r_mean,-0.17880632600910001,0.17880632600910001,0.009413943812026761,210,"structure,x,y,boundary_distance,log_total_counts",0.2227841394317188,2,0.1111111111111111,0.1089947633759279,0.11831335485243322,True,True,0.1111111111111111,0.09574193790758727,0.108287728331384,True,True
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_eosin_proxy,-0.17790369294221045,0.17790369294221045,0.00978539040730626,210,"structure,x,y,boundary_distance,log_total_counts",0.2227841394317188,3,0.1111111111111111,0.1180507062378077,0.12215932060417206,True,True,0.1111111111111111,0.09576772507904645,0.10560468760989908,True,True
unfolded_protein_response,metabolic_stress,image__he_eosin_proxy,0.1707746947368942,0.1707746947368942,0.013203920123906992,210,"structure,x,y,boundary_distance,log_total_counts",0.2227841394317188,4,0.1111111111111111,0.13373170667759918,0.1339167233261072,True,True,0.1111111111111111,0.1034250875205837,0.1140926755175043,True,True
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_r_mean,-0.16766728032942285,0.16766728032942285,0.014996146773859938,210,"structure,x,y,boundary_distance,log_total_counts",0.2227841394317188,5,0.1111111111111111,0.12282758241864905,0.13994512697508737,True,True,0.1111111111111111,0.13321605788502716,0.13723641183883262,True,True
immune_exclusion,immune_ecology,image__he_eosin_proxy,-0.16498784094244692,0.16498784094244692,0.01670881045737891,210,"structure,x,y,boundary_distance,log_total_counts",0.2227841394317188,6,0.1111111111111111,0.04347428435368254,0.050280142491014465,True,True,0.2222222222222222,0.14686270723360012,0.16452793887015388,True,True
immune_activation,immune_ecology,image__he_r_mean,-0.15155366288467156,0.15155366288467156,0.02810541977549862,210,"structure,x,y,boundary_distance,log_total_counts",0.32120479743426994,7,0.1111111111111111,0.10044814917662645,0.10853046790314176,True,True,0.1111111111111111,0.07631614039224095,0.08239563289637512,True,True
immune_activation,immune_ecology,image__he_local_contrast,0.14307932778589105,0.14307932778589105,0.03829231927718965,210,"structure,x,y,boundary_distance,log_total_counts",0.3829231927718965,8,0.1111111111111111,0.11521699513782643,0.11687398647966955,True,True,0.2222222222222222,0.16402655633032032,0.1893887537578374,False,False
emt_invasive_front,invasion_boundary_emt,image__he_saturation_mean,0.13829217196783508,0.13829217196783508,0.0453158602810586,210,"structure,x,y,boundary_distance,log_total_counts",0.4028076469427431,9,0.1111111111111111,0.10011392186806063,0.1154773410829316,True,True,0.1111111111111111,0.07375085419588691,0.07595369675828889,True,True
emt_invasive_front,invasion_boundary_emt,image__he_g_mean,-0.1261888707420358,0.1261888707420358,0.0679953007325503,210,"structure,x,y,boundary_distance,log_total_counts",0.48780088476777794,10,0.1111111111111111,0.12353760021517902,0.1240878326999016,True,True,0.1111111111111111,0.08585663253909667,0.09718892565408906,True,True
immune_exclusion,immune_ecology,image__he_r_mean,-0.12485052147930427,0.12485052147930427,0.07099209637205602,210,"structure,x,y,boundary_distance,log_total_counts",0.48780088476777794,11,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,image__he_luma_mean,-0.12301185799412793,0.12301185799412793,0.07528358500121614,210,"structure,x,y,boundary_distance,log_total_counts",0.48780088476777794,12,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_local_contrast,0.12137946346991936,0.12137946346991936,0.07926764377476392,210,"structure,x,y,boundary_distance,log_total_counts",0.48780088476777794,13,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_saturation_mean,-0.11618536490878457,0.11618536490878457,0.09308804557718191,210,"structure,x,y,boundary_distance,log_total_counts",0.531931689012468,14,,,,,,,,,,
