pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
emt_invasive_front,image__he_eosin_proxy,0.20086956950443113,8,8,0.1111111111111111,0.11582995279271903,0.1196339481681423,True,True
emt_invasive_front,image__he_r_mean,0.17880632600910001,8,8,0.1111111111111111,0.09574193790758727,0.108287728331384,True,True
collagen_ecm_organization,image__he_eosin_proxy,0.17790369294221045,7,8,0.1111111111111111,0.09576772507904645,0.10560468760989908,True,True
unfolded_protein_response,image__he_eosin_proxy,0.1707746947368942,7,8,0.1111111111111111,0.1034250875205837,0.1140926755175043,True,True
collagen_ecm_organization,image__he_r_mean,0.16766728032942285,7,8,0.1111111111111111,0.13321605788502716,0.13723641183883262,True,True
immune_exclusion,image__he_eosin_proxy,0.16498784094244692,7,8,0.2222222222222222,0.14686270723360012,0.16452793887015388,True,True
immune_activation,image__he_r_mean,0.15155366288467156,7,8,0.1111111111111111,0.07631614039224095,0.08239563289637512,True,True
immune_activation,image__he_local_contrast,0.14307932778589105,7,8,0.2222222222222222,0.16402655633032032,0.1893887537578374,False,False
emt_invasive_front,image__he_saturation_mean,0.13829217196783508,8,8,0.1111111111111111,0.07375085419588691,0.07595369675828889,True,True
emt_invasive_front,image__he_g_mean,0.1261888707420358,8,8,0.1111111111111111,0.08585663253909667,0.09718892565408906,True,True
