pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
emt_invasive_front,image__he_eosin_proxy,0.20086956950443113,8,0.1111111111111111,0.12505714890398187,0.14408806110051972,True,True
emt_invasive_front,image__he_r_mean,0.17880632600910001,8,0.1111111111111111,0.1089947633759279,0.11831335485243322,True,True
collagen_ecm_organization,image__he_eosin_proxy,0.17790369294221045,8,0.1111111111111111,0.1180507062378077,0.12215932060417206,True,True
unfolded_protein_response,image__he_eosin_proxy,0.1707746947368942,8,0.1111111111111111,0.13373170667759918,0.1339167233261072,True,True
collagen_ecm_organization,image__he_r_mean,0.16766728032942285,8,0.1111111111111111,0.12282758241864905,0.13994512697508737,True,True
immune_exclusion,image__he_eosin_proxy,0.16498784094244692,8,0.1111111111111111,0.04347428435368254,0.050280142491014465,True,True
immune_activation,image__he_r_mean,0.15155366288467156,8,0.1111111111111111,0.10044814917662645,0.10853046790314176,True,True
immune_activation,image__he_local_contrast,0.14307932778589105,8,0.1111111111111111,0.11521699513782643,0.11687398647966955,True,True
emt_invasive_front,image__he_saturation_mean,0.13829217196783508,8,0.1111111111111111,0.10011392186806063,0.1154773410829316,True,True
emt_invasive_front,image__he_g_mean,0.1261888707420358,8,0.1111111111111111,0.12353760021517902,0.1240878326999016,True,True
