pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
emt_invasive_front,invasion_boundary_emt,image__he_eosin_proxy,-0.23891535991562707,0.23891535991562707,0.00047895406139021824,210,"structure,x,y,boundary_distance,log_total_counts",0.03831632491121746,1,0.1111111111111111,0.07425777521542942,0.0768283238548499,True,True,0.1111111111111111,0.18836330190088243,0.20362497064556895,True,True
immune_exclusion,immune_ecology,image__he_eosin_proxy,-0.2045959986150609,0.2045959986150609,0.002894217288305229,210,"structure,x,y,boundary_distance,log_total_counts",0.09328342423232991,2,0.1111111111111111,0.0616104567066089,0.06421001986592298,True,True,0.1111111111111111,0.15471948373827937,0.16530114369410048,True,True
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_eosin_proxy,-0.1997627155180921,0.1997627155180921,0.003650122394524984,210,"structure,x,y,boundary_distance,log_total_counts",0.09328342423232991,3,0.1111111111111111,0.09512220464607898,0.11054275448528221,True,True,0.1111111111111111,0.08731544935555044,0.11017137407203516,True,True
epithelial_identity,endocrine_epithelial_identity,image__he_eosin_proxy,0.19453649951758245,0.19453649951758245,0.004664171211616495,210,"structure,x,y,boundary_distance,log_total_counts",0.09328342423232991,4,0.1111111111111111,0.08725971788020681,0.09080500511406589,True,True,0.1111111111111111,0.163735989907833,0.17437388189102196,True,True
emt_invasive_front,invasion_boundary_emt,image__he_saturation_mean,0.177167499459488,0.177167499459488,0.010097884970593395,210,"structure,x,y,boundary_distance,log_total_counts",0.1419803950566541,5,0.1111111111111111,0.13271201325646656,0.1363034484084884,True,True,0.1111111111111111,0.10363705429964781,0.10543880534383364,True,True
emt_invasive_front,invasion_boundary_emt,image__he_local_contrast,0.1716786450376878,0.1716786450376878,0.01271917587103784,210,"structure,x,y,boundary_distance,log_total_counts",0.1419803950566541,6,0.1111111111111111,0.11440406692222875,0.13595318176115656,True,True,0.2222222222222222,0.16863397373819478,0.17837436621956973,True,False
unfolded_protein_response,metabolic_stress,image__he_eosin_proxy,0.1693818412199022,0.1693818412199022,0.013982591422916555,210,"structure,x,y,boundary_distance,log_total_counts",0.1419803950566541,7,0.1111111111111111,0.10278575420317829,0.11418459623568945,True,True,0.1111111111111111,0.1479463652496584,0.16092971496978942,True,True
luminal_estrogen_response,endocrine_epithelial_identity,image__he_eosin_proxy,0.16900847978566966,0.16900847978566966,0.014198039505665411,210,"structure,x,y,boundary_distance,log_total_counts",0.1419803950566541,8,0.1111111111111111,0.12581849962890815,0.1280254492604481,True,True,0.1111111111111111,0.08231335645168136,0.08477970319276723,True,True
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_saturation_mean,0.16181896676632934,0.16181896676632934,0.01895224333832503,210,"structure,x,y,boundary_distance,log_total_counts",0.1684643852295558,9,0.2222222222222222,0.17394091068345974,0.2062165767265793,False,False,0.1111111111111111,0.14201938242056697,0.14351157436134912,True,True
immune_exclusion,immune_ecology,image__he_saturation_mean,0.15427486950561722,0.15427486950561722,0.025370577670163597,210,"structure,x,y,boundary_distance,log_total_counts",0.19925480336846085,10,0.1111111111111111,0.11133335599914407,0.11256884292138104,True,True,0.1111111111111111,0.09357976568797022,0.10299652138394652,True,True
epithelial_identity,endocrine_epithelial_identity,image__he_saturation_mean,-0.1499394327429242,0.1499394327429242,0.029844035370413486,210,"structure,x,y,boundary_distance,log_total_counts",0.19925480336846085,11,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_saturation_mean,-0.14966693712575707,0.14966693712575707,0.030146404431586882,210,"structure,x,y,boundary_distance,log_total_counts",0.19925480336846085,12,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_local_contrast,0.14416968502917404,0.14416968502917404,0.03682796916247402,210,"structure,x,y,boundary_distance,log_total_counts",0.19925480336846085,13,,,,,,,,,,
