pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
emt_invasive_front,image__he_eosin_proxy,0.23891535991562707,8,0.1111111111111111,0.07425777521542942,0.0768283238548499,True,True
immune_exclusion,image__he_eosin_proxy,0.2045959986150609,8,0.1111111111111111,0.0616104567066089,0.06421001986592298,True,True
collagen_ecm_organization,image__he_eosin_proxy,0.1997627155180921,8,0.1111111111111111,0.09512220464607898,0.11054275448528221,True,True
epithelial_identity,image__he_eosin_proxy,0.19453649951758245,8,0.1111111111111111,0.08725971788020681,0.09080500511406589,True,True
emt_invasive_front,image__he_saturation_mean,0.177167499459488,8,0.1111111111111111,0.13271201325646656,0.1363034484084884,True,True
emt_invasive_front,image__he_local_contrast,0.1716786450376878,8,0.1111111111111111,0.11440406692222875,0.13595318176115656,True,True
unfolded_protein_response,image__he_eosin_proxy,0.1693818412199022,8,0.1111111111111111,0.10278575420317829,0.11418459623568945,True,True
luminal_estrogen_response,image__he_eosin_proxy,0.16900847978566966,8,0.1111111111111111,0.12581849962890815,0.1280254492604481,True,True
collagen_ecm_organization,image__he_saturation_mean,0.16181896676632934,8,0.2222222222222222,0.17394091068345974,0.2062165767265793,False,False
immune_exclusion,image__he_saturation_mean,0.15427486950561722,8,0.1111111111111111,0.11133335599914407,0.11256884292138104,True,True
