pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
unfolded_protein_response,metabolic_stress,image__he_lowres_x,-0.07371091964158687,0.07371091964158687,0.00022538385222770866,2500,"structure,x,y,boundary_distance,log_total_counts",0.022538385222770865,1,0.1111111111111111,0.0442830631847009,0.05111074932151054,True,True,0.1111111111111111,0.03555627794705802,0.03836838788855392,True,True
emt_invasive_front,invasion_boundary_emt,image__he_eosin_proxy,-0.04123366722217149,0.04123366722217149,0.03925259904710522,2500,"structure,x,y,boundary_distance,log_total_counts",0.894725102187115,2,0.3333333333333333,0.06071268488824884,0.06184906972551717,False,False,0.2222222222222222,0.03602563457544457,0.04392794212924352,True,False
emt_invasive_front,invasion_boundary_emt,image__he_local_contrast,0.038100076300480526,0.038100076300480526,0.05681353221579279,2500,"structure,x,y,boundary_distance,log_total_counts",0.894725102187115,3,0.2222222222222222,0.03557576725381533,0.03943267914378907,True,False,0.2222222222222222,0.03877175870301749,0.0449009484791746,False,False
emt_invasive_front,invasion_boundary_emt,image__he_luma_mean,-0.03786595045810482,0.03786595045810482,0.05835394202505877,2500,"structure,x,y,boundary_distance,log_total_counts",0.894725102187115,4,0.1111111111111111,0.0338707017297359,0.035655834311162565,True,True,0.1111111111111111,0.029026460774858424,0.03074174785176429,True,True
emt_invasive_front,invasion_boundary_emt,image__he_g_mean,-0.03749004174163994,0.03749004174163994,0.06089963063618448,2500,"structure,x,y,boundary_distance,log_total_counts",0.894725102187115,5,0.2222222222222222,0.03944376220305884,0.04537348547310612,False,False,0.2222222222222222,0.038570474309092335,0.04738397349800774,False,False
emt_invasive_front,invasion_boundary_emt,image__he_saturation_mean,0.03689331872095781,0.03689331872095781,0.06512905244660598,2500,"structure,x,y,boundary_distance,log_total_counts",0.894725102187115,6,0.1111111111111111,0.027382548050867456,0.02870550718277213,True,True,0.2222222222222222,0.03739876660832675,0.042364912282654175,False,False
luminal_estrogen_response,endocrine_epithelial_identity,image__he_lowres_x,-0.03651059171789159,0.03651059171789159,0.06796706229651044,2500,"structure,x,y,boundary_distance,log_total_counts",0.894725102187115,7,0.2222222222222222,0.038509245290964285,0.04065982085821391,False,False,0.2222222222222222,0.046637209559809746,0.051631829177025836,False,False
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,image__he_eosin_proxy,0.032921609335040396,0.032921609335040396,0.09982485729210325,2500,"structure,x,y,boundary_distance,log_total_counts",0.894725102187115,8,0.4444444444444444,0.03796679381867437,0.03855780489328797,False,False,0.2222222222222222,0.03398405616272231,0.03800717464114204,False,False
emt_invasive_front,invasion_boundary_emt,image__he_lowres_y,-0.03130383874984501,0.03130383874984501,0.1176315402117836,2500,"structure,x,y,boundary_distance,log_total_counts",0.894725102187115,9,0.1111111111111111,0.02515435874383747,0.025533412448879456,True,True,0.1111111111111111,0.02089936309023576,0.023036809749200644,True,True
epithelial_identity,endocrine_epithelial_identity,image__he_eosin_proxy,0.030549295347988777,0.030549295347988777,0.1267467751900558,2500,"structure,x,y,boundary_distance,log_total_counts",0.894725102187115,10,0.4444444444444444,0.04208683179640454,0.042430272633335056,False,False,0.4444444444444444,0.045025976179540406,0.045210873376937424,False,False
