pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
unfolded_protein_response,image__he_lowres_x,0.07371091964158687,7,8,0.1111111111111111,0.03555627794705802,0.03836838788855392,True,True
emt_invasive_front,image__he_eosin_proxy,0.04123366722217149,8,8,0.2222222222222222,0.03602563457544457,0.04392794212924352,True,False
emt_invasive_front,image__he_local_contrast,0.038100076300480526,8,8,0.2222222222222222,0.03877175870301749,0.0449009484791746,False,False
emt_invasive_front,image__he_luma_mean,0.03786595045810482,8,8,0.1111111111111111,0.029026460774858424,0.03074174785176429,True,True
emt_invasive_front,image__he_g_mean,0.03749004174163994,8,8,0.2222222222222222,0.038570474309092335,0.04738397349800774,False,False
emt_invasive_front,image__he_saturation_mean,0.03689331872095781,8,8,0.2222222222222222,0.03739876660832675,0.042364912282654175,False,False
luminal_estrogen_response,image__he_lowres_x,0.03651059171789159,10,8,0.2222222222222222,0.046637209559809746,0.051631829177025836,False,False
myofibroblast_caf_activation,image__he_eosin_proxy,0.032921609335040396,7,8,0.2222222222222222,0.03398405616272231,0.03800717464114204,False,False
emt_invasive_front,image__he_lowres_y,0.03130383874984501,8,8,0.1111111111111111,0.02089936309023576,0.023036809749200644,True,True
epithelial_identity,image__he_eosin_proxy,0.030549295347988777,7,8,0.4444444444444444,0.045025976179540406,0.045210873376937424,False,False
