pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
emt_invasive_front,invasion_boundary_emt,image__he_eosin_proxy,-0.04123366722217149,0.04123366722217149,0.03925259904710522,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,1,0.1111111111111111,0.029670225549512066,0.03199202010772567,True,True,0.1111111111111111,0.027840216888847014,0.028900008093354614,True,True
emt_invasive_front,invasion_boundary_emt,image__he_local_contrast,0.038100076300480526,0.038100076300480526,0.05681353221579279,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,2,0.3333333333333333,0.042846291795810496,0.04438117659111979,False,False,0.1111111111111111,0.023110111000400852,0.023196993866152735,True,True
emt_invasive_front,invasion_boundary_emt,image__he_luma_mean,-0.03786595045810482,0.03786595045810482,0.05835394202505877,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,3,0.3333333333333333,0.039837388680119816,0.04000809983534228,False,False,0.2222222222222222,0.04369803626976157,0.04909448344153978,False,False
emt_invasive_front,invasion_boundary_emt,image__he_g_mean,-0.03749004174163994,0.03749004174163994,0.06089963063618448,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,4,0.2222222222222222,0.03546908442303973,0.03754658758050447,True,False,0.1111111111111111,0.023023380267316575,0.02400937699359703,True,True
emt_invasive_front,invasion_boundary_emt,image__he_saturation_mean,0.03689331872095781,0.03689331872095781,0.06512905244660598,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,5,0.2222222222222222,0.03780764167940083,0.043775035711524114,False,False,0.2222222222222222,0.032494243686406334,0.038679436126221434,True,False
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,image__he_eosin_proxy,0.032921609335040396,0.032921609335040396,0.09982485729210325,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,6,0.3333333333333333,0.04376956185774821,0.046088979691382786,False,False,0.1111111111111111,0.026511250799851425,0.029963603889828237,True,True
epithelial_identity,endocrine_epithelial_identity,image__he_eosin_proxy,0.030549295347988777,0.030549295347988777,0.1267467751900558,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,7,0.2222222222222222,0.03665376806210851,0.03951776519246927,False,False,0.2222222222222222,0.03266649508847427,0.03465537477708793,False,False
epithelial_identity,endocrine_epithelial_identity,image__he_r_mean,0.027933066755825825,0.027933066755825825,0.16264606564944864,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,8,0.3333333333333333,0.028476190692691663,0.028499995776452822,False,False,0.1111111111111111,0.024704123350743172,0.026819051415780306,True,True
immune_activation,immune_ecology,image__he_local_contrast,0.027182947334830596,0.027182947334830596,0.1742357464011117,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,9,0.3333333333333333,0.03198860288450507,0.03218622802905585,False,False,0.3333333333333333,0.03554401212558411,0.03850012908439762,False,False
epithelial_identity,endocrine_epithelial_identity,image__he_local_contrast,-0.026853796128128927,0.026853796128128927,0.17951159441678377,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,10,0.1111111111111111,0.022723616415894567,0.024841823062070403,True,True,0.1111111111111111,0.019999975489711316,0.020046120856442293,True,True
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_hematoxylin_proxy,0.02387001276793886,0.02387001276793886,0.23284049828338793,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,11,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,image__he_b_mean,-0.023348986065056376,0.023348986065056376,0.24320046223468506,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,12,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_saturation_mean,0.023309429220554557,0.023309429220554557,0.24400002009455424,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,13,,,,,,,,,,
immune_activation,immune_ecology,image__he_r_mean,-0.022853538366003876,0.022853538366003876,0.25334819759387245,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,14,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,image__he_saturation_mean,-0.022775039839761445,0.022775039839761445,0.25498265897204075,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,15,,,,,,,,,,
immune_activation,immune_ecology,image__he_saturation_mean,0.021477699827729194,0.021477699827729194,0.2830595107202358,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,16,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_g_mean,-0.02105090186711866,0.02105090186711866,0.2927374879165671,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,17,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_eosin_proxy,-0.020996235789741042,0.020996235789741042,0.29399293720878183,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,18,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_saturation_mean,0.02094300602542563,0.02094300602542563,0.2952188631020382,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,19,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,image__he_g_mean,0.02093895188373415,0.02093895188373415,0.2953123734102299,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,20,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,image__he_saturation_mean,-0.020672167052465006,0.020672167052465006,0.301509457286029,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,21,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_luma_mean,-0.020652190495675155,0.020652190495675155,0.3019769453825774,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,22,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,image__he_eosin_proxy,-0.020575312038391195,0.020575312038391195,0.303780538032594,2500,"structure,x,y,boundary_distance,log_total_counts",0.8157664964464107,23,,,,,,,,,,
