pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
emt_invasive_front,image__he_eosin_proxy,0.04123366722217149,8,8,0.1111111111111111,0.027840216888847014,0.028900008093354614,True,True
emt_invasive_front,image__he_local_contrast,0.038100076300480526,8,8,0.1111111111111111,0.023110111000400852,0.023196993866152735,True,True
emt_invasive_front,image__he_luma_mean,0.03786595045810482,8,8,0.2222222222222222,0.04369803626976157,0.04909448344153978,False,False
emt_invasive_front,image__he_g_mean,0.03749004174163994,8,8,0.1111111111111111,0.023023380267316575,0.02400937699359703,True,True
emt_invasive_front,image__he_saturation_mean,0.03689331872095781,8,8,0.2222222222222222,0.032494243686406334,0.038679436126221434,True,False
myofibroblast_caf_activation,image__he_eosin_proxy,0.032921609335040396,7,8,0.1111111111111111,0.026511250799851425,0.029963603889828237,True,True
epithelial_identity,image__he_eosin_proxy,0.030549295347988777,7,8,0.2222222222222222,0.03266649508847427,0.03465537477708793,False,False
epithelial_identity,image__he_r_mean,0.027933066755825825,7,8,0.1111111111111111,0.024704123350743172,0.026819051415780306,True,True
immune_activation,image__he_local_contrast,0.027182947334830596,7,8,0.3333333333333333,0.03554401212558411,0.03850012908439762,False,False
epithelial_identity,image__he_local_contrast,0.026853796128128927,7,8,0.1111111111111111,0.019999975489711316,0.020046120856442293,True,True
