pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
emt_invasive_front,image__he_eosin_proxy,0.04123366722217149,8,0.1111111111111111,0.029670225549512066,0.03199202010772567,True,True
emt_invasive_front,image__he_local_contrast,0.038100076300480526,8,0.3333333333333333,0.042846291795810496,0.04438117659111979,False,False
emt_invasive_front,image__he_luma_mean,0.03786595045810482,8,0.3333333333333333,0.039837388680119816,0.04000809983534228,False,False
emt_invasive_front,image__he_g_mean,0.03749004174163994,8,0.2222222222222222,0.03546908442303973,0.03754658758050447,True,False
emt_invasive_front,image__he_saturation_mean,0.03689331872095781,8,0.2222222222222222,0.03780764167940083,0.043775035711524114,False,False
myofibroblast_caf_activation,image__he_eosin_proxy,0.032921609335040396,8,0.3333333333333333,0.04376956185774821,0.046088979691382786,False,False
epithelial_identity,image__he_eosin_proxy,0.030549295347988777,8,0.2222222222222222,0.03665376806210851,0.03951776519246927,False,False
epithelial_identity,image__he_r_mean,0.027933066755825825,8,0.3333333333333333,0.028476190692691663,0.028499995776452822,False,False
immune_activation,image__he_local_contrast,0.027182947334830596,8,0.3333333333333333,0.03198860288450507,0.03218622802905585,False,False
epithelial_identity,image__he_local_contrast,0.026853796128128927,8,0.1111111111111111,0.022723616415894567,0.024841823062070403,True,True
