pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
basal_squamous_state,endocrine_epithelial_identity,embedding__he_patch_projection_012,-0.15190592003718914,0.15190592003718914,0.004810648912137148,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,1,0.1111111111111111,0.08319402380483938,0.08894440777824039,True,True,0.1111111111111111,0.09405679385073484,0.10990583498499577,True,True
unfolded_protein_response,metabolic_stress,image__he_hematoxylin_proxy,0.13451582044821597,0.13451582044821597,0.012648479426368467,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,2,0.1111111111111111,0.07982890642342881,0.08995052188315526,True,True,0.1111111111111111,0.10106337451734988,0.12584971028802558,True,True
basal_squamous_state,endocrine_epithelial_identity,embedding__he_patch_projection_020,0.1339004500856416,0.1339004500856416,0.013064541893118833,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,3,0.1111111111111111,0.0652348390034725,0.07434734040588087,True,True,0.1111111111111111,0.08967478994628647,0.10017744042243552,True,True
basal_squamous_state,endocrine_epithelial_identity,image__he_texture_energy,-0.1320706696546924,0.1320706696546924,0.014373718810134075,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,4,0.1111111111111111,0.04937178689460412,0.04947855825027736,True,True,0.1111111111111111,0.06173241677818926,0.07315170396314041,True,True
immune_exclusion,immune_ecology,image__he_saturation_mean,-0.12983348678669165,0.12983348678669165,0.016129848567421563,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,5,0.1111111111111111,0.05095612563602823,0.052799293937841135,True,True,0.1111111111111111,0.11746327190390494,0.11791744028191156,True,True
basal_squamous_state,endocrine_epithelial_identity,image__he_r_std,0.12968795213746495,0.12968795213746495,0.016250332558596644,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,6,0.1111111111111111,0.12891762010511373,0.1294257429859434,True,True,0.1111111111111111,0.07553144260233348,0.08443045426419708,True,True
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__he_patch_projection_012,0.12824541923171529,0.12824541923171529,0.01748778737148882,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,7,0.1111111111111111,0.05529024964587299,0.05950147657500536,True,True,0.1111111111111111,0.08139590683365078,0.10180116377330706,True,True
basal_squamous_state,endocrine_epithelial_identity,image__he_texture_entropy,0.12587582394332555,0.12587582394332555,0.019699340230566267,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,8,0.1111111111111111,0.11736117755757842,0.11817027643205955,True,True,0.1111111111111111,0.0656676446036493,0.07459730360208017,True,True
immune_exclusion,immune_ecology,image__he_g_mean,0.12307472551057196,0.12307472551057196,0.022623787499411054,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,9,0.1111111111111111,0.08365171318817,0.1039385728319031,True,True,0.1111111111111111,0.0703197977440997,0.07529950988815279,True,True
basal_squamous_state,endocrine_epithelial_identity,embedding__he_patch_projection_016,-0.12249817908605176,0.12249817908605176,0.023270281481830225,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,10,0.1111111111111111,0.08224076317031821,0.08322019906338073,True,True,0.1111111111111111,0.07112924571136428,0.0789076377970653,True,True
basal_squamous_state,endocrine_epithelial_identity,image__he_stain_contrast,0.12212402271567356,0.12212402271567356,0.02369832265886001,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,11,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_edge_mean,-0.12061821226324801,0.12061821226324801,0.025490462087363275,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,12,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_hematoxylin_std,0.12024753117636804,0.12024753117636804,0.025949128261622222,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,13,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__he_patch_projection_019,0.11896973331147151,0.11896973331147151,0.02758508533145891,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,14,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,embedding__he_patch_projection_018,0.11731619477691503,0.11731619477691503,0.029832938194524712,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,15,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_g_std,-0.11585462665995303,0.11585462665995303,0.03194859794871774,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,16,,,,,,,,,,
immune_exclusion,immune_ecology,image__he_luma_mean,0.1158480834901276,0.1158480834901276,0.031958350056004614,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,17,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_local_contrast,-0.11479045613656177,0.11479045613656177,0.03356842006951876,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,18,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_luma_std,-0.11479045613656177,0.11479045613656177,0.03356842006951876,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,19,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__he_patch_projection_017,-0.11471818395406812,0.11471818395406812,0.03368092078044048,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,20,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_eosin_std,0.11377429223279756,0.11377429223279756,0.0351799290318685,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,21,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_b_std,0.11349073538490409,0.11349073538490409,0.035641177645359214,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,22,,,,,,,,,,
