pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
basal_squamous_state,endocrine_epithelial_identity,embedding__he_patch_projection_012,-0.1519059200371891,0.1519059200371891,0.0048106489121371,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,1,0.1111111111111111,0.0831940238048393,0.0889444077782403,True,True,0.1111111111111111,0.0940567938507348,0.1099058349849957,True,True,breast_discovery
immune_exclusion,immune_ecology,image__he_saturation_mean,-0.1298334867866916,0.1298334867866916,0.0161298485674215,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,5,0.1111111111111111,0.0509561256360282,0.0527992939378411,True,True,0.1111111111111111,0.1174632719039049,0.1179174402819115,True,True,breast_discovery
emt_invasive_front,invasion_boundary_emt,image__he_r_mean,-0.0709040454780838,0.0709040454780838,0.1901900870935269,343,"structure,x,y,boundary_distance,log_total_counts",0.9240393533936572,91,,,,,,,,,,,breast_discovery
unfolded_protein_response,metabolic_stress,image__he_hematoxylin_proxy,0.1345158204482159,0.1345158204482159,0.0126484794263684,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,2,0.1111111111111111,0.0798289064234288,0.0899505218831552,True,True,0.1111111111111111,0.1010633745173498,0.1258497102880255,True,True,breast_discovery
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__he_patch_projection_012,0.1282454192317152,0.1282454192317152,0.0174877873714888,343,"structure,x,y,boundary_distance,log_total_counts",0.7142484563743553,7,0.1111111111111111,0.0552902496458729,0.0595014765750053,True,True,0.1111111111111111,0.0813959068336507,0.101801163773307,True,True,breast_discovery
luminal_estrogen_response,endocrine_epithelial_identity,image__he_b_mean,0.1762005922142032,0.1762005922142032,0.0007215611695379,365,"structure,x,y,boundary_distance,log_total_counts",0.0115590999944467,29,,,,,,,,,,,cervical_validation
immune_exclusion,immune_ecology,image__he_b_mean,0.2533126189208575,0.2533126189208575,9.432186482848548e-07,365,"structure,x,y,boundary_distance,log_total_counts",0.0001220093530498,3,0.1111111111111111,0.117016919530995,0.1263136494585134,True,True,0.1111111111111111,0.163319021248872,0.1989681105343007,True,True,cervical_validation
emt_invasive_front,invasion_boundary_emt,image__he_hematoxylin_proxy,-0.2033141898904863,0.2033141898904863,9.156409443861252e-05,365,"structure,x,y,boundary_distance,log_total_counts",0.0033808281023487,13,,,,,,,,,,,cervical_validation
unfolded_protein_response,metabolic_stress,embedding__he_patch_projection_021,0.1312584199238998,0.1312584199238998,0.0120746465584877,365,"structure,x,y,boundary_distance,log_total_counts",0.0834203215544124,69,,,,,,,,,,,cervical_validation
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_b_mean,0.2721504460714619,0.2721504460714619,1.2805139358758565e-07,365,"structure,x,y,boundary_distance,log_total_counts",6.14646689220411e-05,1,0.1111111111111111,0.0561097569519622,0.0594606558180839,True,True,0.1111111111111111,0.1601179829741337,0.1714064864109571,True,True,cervical_validation
