pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
basal_squamous_state,embedding__he_patch_projection_012,0.1519059200371891,6,8,0.1111111111111111,0.0940567938507348,0.1099058349849957,True,True,breast_discovery
unfolded_protein_response,image__he_hematoxylin_proxy,0.1345158204482159,7,8,0.1111111111111111,0.1010633745173498,0.1258497102880255,True,True,breast_discovery
basal_squamous_state,embedding__he_patch_projection_020,0.1339004500856416,6,8,0.1111111111111111,0.0896747899462864,0.1001774404224355,True,True,breast_discovery
basal_squamous_state,image__he_texture_energy,0.1320706696546924,6,8,0.1111111111111111,0.0617324167781892,0.0731517039631404,True,True,breast_discovery
immune_exclusion,image__he_saturation_mean,0.1298334867866916,7,8,0.1111111111111111,0.1174632719039049,0.1179174402819115,True,True,breast_discovery
basal_squamous_state,image__he_r_std,0.1296879521374649,6,8,0.1111111111111111,0.0755314426023334,0.084430454264197,True,True,breast_discovery
collagen_ecm_organization,embedding__he_patch_projection_012,0.1282454192317152,7,8,0.1111111111111111,0.0813959068336507,0.101801163773307,True,True,breast_discovery
basal_squamous_state,image__he_texture_entropy,0.1258758239433255,6,8,0.1111111111111111,0.0656676446036493,0.0745973036020801,True,True,breast_discovery
immune_exclusion,image__he_g_mean,0.1230747255105719,7,8,0.1111111111111111,0.0703197977440997,0.0752995098881527,True,True,breast_discovery
basal_squamous_state,embedding__he_patch_projection_016,0.1224981790860517,6,8,0.1111111111111111,0.0711292457113642,0.0789076377970653,True,True,breast_discovery
collagen_ecm_organization,image__he_b_mean,0.2721504460714619,7,8,0.1111111111111111,0.1601179829741337,0.1714064864109571,True,True,cervical_validation
collagen_ecm_organization,image__he_r_mean,0.2629746320942427,7,8,0.1111111111111111,0.1719847239996369,0.1942682024964955,True,True,cervical_validation
immune_exclusion,image__he_b_mean,0.2533126189208575,7,8,0.1111111111111111,0.163319021248872,0.1989681105343007,True,True,cervical_validation
immune_exclusion,image__he_r_mean,0.2525749883253211,7,8,0.1111111111111111,0.120523766540589,0.1245564575189674,True,True,cervical_validation
myofibroblast_caf_activation,image__he_r_mean,0.2464226399391373,7,8,0.1111111111111111,0.1216351912484512,0.1274181370799443,True,True,cervical_validation
myofibroblast_caf_activation,image__he_texture_entropy,0.2391917437513322,7,8,0.1111111111111111,0.1495697131677922,0.184886264859322,True,True,cervical_validation
myofibroblast_caf_activation,image__he_b_mean,0.2358761701116382,7,8,0.1111111111111111,0.2268565630782238,0.2327601547508452,True,True,cervical_validation
myofibroblast_caf_activation,image__he_texture_energy,0.2293248472750721,7,8,0.1111111111111111,0.1718783078145076,0.1719412529466649,True,True,cervical_validation
collagen_ecm_organization,image__he_luma_mean,0.2168994019252851,7,8,0.1111111111111111,0.1534470719633081,0.1578995268421844,True,True,cervical_validation
immune_exclusion,image__he_hematoxylin_proxy,0.209627225523088,7,8,0.1111111111111111,0.1410260403759198,0.1498630678167082,True,True,cervical_validation
