pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,sample_role
basal_squamous_state,embedding__he_patch_projection_012,0.1519059200371891,8,0.1111111111111111,0.0831940238048393,0.0889444077782403,True,True,breast_discovery
unfolded_protein_response,image__he_hematoxylin_proxy,0.1345158204482159,8,0.1111111111111111,0.0798289064234288,0.0899505218831552,True,True,breast_discovery
basal_squamous_state,embedding__he_patch_projection_020,0.1339004500856416,8,0.1111111111111111,0.0652348390034725,0.0743473404058808,True,True,breast_discovery
basal_squamous_state,image__he_texture_energy,0.1320706696546924,8,0.1111111111111111,0.0493717868946041,0.0494785582502773,True,True,breast_discovery
immune_exclusion,image__he_saturation_mean,0.1298334867866916,8,0.1111111111111111,0.0509561256360282,0.0527992939378411,True,True,breast_discovery
basal_squamous_state,image__he_r_std,0.1296879521374649,8,0.1111111111111111,0.1289176201051137,0.1294257429859434,True,True,breast_discovery
collagen_ecm_organization,embedding__he_patch_projection_012,0.1282454192317152,8,0.1111111111111111,0.0552902496458729,0.0595014765750053,True,True,breast_discovery
basal_squamous_state,image__he_texture_entropy,0.1258758239433255,8,0.1111111111111111,0.1173611775575784,0.1181702764320595,True,True,breast_discovery
immune_exclusion,image__he_g_mean,0.1230747255105719,8,0.1111111111111111,0.08365171318817,0.1039385728319031,True,True,breast_discovery
basal_squamous_state,embedding__he_patch_projection_016,0.1224981790860517,8,0.1111111111111111,0.0822407631703182,0.0832201990633807,True,True,breast_discovery
collagen_ecm_organization,image__he_b_mean,0.2721504460714619,8,0.1111111111111111,0.0561097569519622,0.0594606558180839,True,True,cervical_validation
collagen_ecm_organization,image__he_r_mean,0.2629746320942427,8,0.1111111111111111,0.1046450450852454,0.1074404621824935,True,True,cervical_validation
immune_exclusion,image__he_b_mean,0.2533126189208575,8,0.1111111111111111,0.117016919530995,0.1263136494585134,True,True,cervical_validation
immune_exclusion,image__he_r_mean,0.2525749883253211,8,0.1111111111111111,0.0668494957374993,0.0788172328961113,True,True,cervical_validation
myofibroblast_caf_activation,image__he_r_mean,0.2464226399391373,8,0.1111111111111111,0.0746400844152902,0.0851547568626751,True,True,cervical_validation
myofibroblast_caf_activation,image__he_texture_entropy,0.2391917437513322,8,0.1111111111111111,0.0526999484748528,0.0533634531273085,True,True,cervical_validation
myofibroblast_caf_activation,image__he_b_mean,0.2358761701116382,8,0.1111111111111111,0.0957063761424131,0.1068782694669675,True,True,cervical_validation
myofibroblast_caf_activation,image__he_texture_energy,0.2293248472750721,8,0.1111111111111111,0.0662402371758356,0.0736886329059706,True,True,cervical_validation
collagen_ecm_organization,image__he_luma_mean,0.2168994019252851,8,0.1111111111111111,0.1209519436344451,0.1362447034387622,True,True,cervical_validation
immune_exclusion,image__he_hematoxylin_proxy,0.209627225523088,8,0.1111111111111111,0.1020635834493031,0.1029763042128385,True,True,cervical_validation
