pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
unfolded_protein_response,metabolic_stress,image__he_hematoxylin_proxy,0.13451582044821597,0.13451582044821597,0.012648479426368467,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,1,0.1111111111111111,0.0710287164884946,0.07553821706327145,True,True,0.1111111111111111,0.10318736357237612,0.11946833220282904,True,True
basal_squamous_state,endocrine_epithelial_identity,image__he_texture_energy,-0.1320706696546924,0.1320706696546924,0.014373718810134075,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,2,0.1111111111111111,0.07728508605822816,0.08249588512070341,True,True,0.2222222222222222,0.1370882349369329,0.15027595816544592,False,False
immune_exclusion,immune_ecology,image__he_saturation_mean,-0.12983348678669165,0.12983348678669165,0.016129848567421563,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,3,0.1111111111111111,0.11252035124302033,0.11329227389694034,True,True,0.1111111111111111,0.0728831609921783,0.07437823349898583,True,True
basal_squamous_state,endocrine_epithelial_identity,image__he_r_std,0.12968795213746495,0.12968795213746495,0.016250332558596644,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,4,0.2222222222222222,0.11476126589322454,0.1278919141081501,True,True,0.1111111111111111,0.0693368384303774,0.08056922466632764,True,True
basal_squamous_state,endocrine_epithelial_identity,image__he_texture_entropy,0.12587582394332555,0.12587582394332555,0.019699340230566267,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,5,0.1111111111111111,0.11516272890693732,0.11583829691127527,True,True,0.1111111111111111,0.0635481824788974,0.06581514189116884,True,True
immune_exclusion,immune_ecology,image__he_g_mean,0.12307472551057196,0.12307472551057196,0.022623787499411054,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,6,0.2222222222222222,0.12596027937030094,0.14232369183243493,False,False,0.1111111111111111,0.08563991847464625,0.09423364409520953,True,True
basal_squamous_state,endocrine_epithelial_identity,image__he_stain_contrast,0.12212402271567356,0.12212402271567356,0.02369832265886001,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,7,0.1111111111111111,0.06142543898886267,0.06201734015000773,True,True,0.1111111111111111,0.07071969698445638,0.07517926538318459,True,True
unfolded_protein_response,metabolic_stress,image__he_edge_mean,-0.12061821226324801,0.12061821226324801,0.025490462087363275,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,8,0.1111111111111111,0.0945163853698293,0.10334617390324709,True,True,0.1111111111111111,0.08919540081693432,0.0941320734480832,True,True
basal_squamous_state,endocrine_epithelial_identity,image__he_hematoxylin_std,0.12024753117636804,0.12024753117636804,0.025949128261622222,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,9,0.2222222222222222,0.10955119154073145,0.12307493097339545,True,False,0.1111111111111111,0.07808722377752939,0.08863580861230877,True,True
unfolded_protein_response,metabolic_stress,image__he_g_std,-0.11585462665995303,0.11585462665995303,0.03194859794871774,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,10,0.1111111111111111,0.0631405898274802,0.06892109070098978,True,True,0.1111111111111111,0.08092176550683443,0.08399608245050556,True,True
immune_exclusion,immune_ecology,image__he_luma_mean,0.1158480834901276,0.1158480834901276,0.031958350056004614,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,11,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_local_contrast,-0.11479045613656177,0.11479045613656177,0.03356842006951876,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,12,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_luma_std,-0.11479045613656177,0.11479045613656177,0.03356842006951876,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,13,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_eosin_std,0.11377429223279756,0.11377429223279756,0.0351799290318685,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,14,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_b_std,0.11349073538490409,0.11349073538490409,0.035641177645359214,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,15,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_r_mean,-0.11080483844007637,0.11080483844007637,0.04027058436919436,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,16,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_luma_q10,-0.10861251893071205,0.10861251893071205,0.0444164536823968,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,17,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_local_contrast,0.10846892089677511,0.10846892089677511,0.044700087832652245,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,18,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_luma_std,0.10846892089677511,0.10846892089677511,0.044700087832652245,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,19,,,,,,,,,,
immune_exclusion,immune_ecology,image__he_luma_q90,0.10823356027435886,0.10823356027435886,0.04516826013252443,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,20,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,image__he_luma_q90,0.10715394077688632,0.10715394077688632,0.0473688694700636,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,21,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_g_std,0.1071132275477683,0.1071132275477683,0.047453582135868436,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,22,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_b_std,-0.10703506878654598,0.10703506878654598,0.047616563758290355,343,"structure,x,y,boundary_distance,log_total_counts",0.49686849139085587,23,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,image__he_g_mean,0.10401034527284689,0.10401034527284689,0.05429327315858933,343,"structure,x,y,boundary_distance,log_total_counts",0.5343246897794299,24,,,,,,,,,,
immune_exclusion,immune_ecology,image__he_eosin_proxy,0.10343023104864915,0.10343023104864915,0.05565882185202395,343,"structure,x,y,boundary_distance,log_total_counts",0.5343246897794299,25,,,,,,,,,,
immune_exclusion,immune_ecology,image__he_bright_fraction,0.10120901615502692,0.10120901615502692,0.06115333482511464,343,"structure,x,y,boundary_distance,log_total_counts",0.538496923301838,26,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_saturation_std,-0.10019507486676392,0.10019507486676392,0.06380619922087047,343,"structure,x,y,boundary_distance,log_total_counts",0.538496923301838,27,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_luma_q10,0.09933008684827818,0.09933008684827818,0.06614348573631806,343,"structure,x,y,boundary_distance,log_total_counts",0.538496923301838,28,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,image__he_luma_mean,0.09905505763596596,0.09905505763596596,0.06690119450558396,343,"structure,x,y,boundary_distance,log_total_counts",0.538496923301838,29,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,image__he_bright_fraction,0.09827953669668613,0.09827953669668613,0.069076152159443,343,"structure,x,y,boundary_distance,log_total_counts",0.538496923301838,30,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,image__he_stain_contrast,-0.09757743453256439,0.09757743453256439,0.07109476148345617,343,"structure,x,y,boundary_distance,log_total_counts",0.538496923301838,31,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_edge_std,-0.09677228304040633,0.09677228304040633,0.07346864396042062,343,"structure,x,y,boundary_distance,log_total_counts",0.538496923301838,32,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,image__he_saturation_mean,-0.0963085189199251,0.0963085189199251,0.07486503090930909,343,"structure,x,y,boundary_distance,log_total_counts",0.538496923301838,33,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_edge_std,0.09584341048608146,0.09584341048608146,0.07628706413442704,343,"structure,x,y,boundary_distance,log_total_counts",0.538496923301838,34,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_saturation_std,0.09488495042272661,0.09488495042272661,0.07928665580988348,343,"structure,x,y,boundary_distance,log_total_counts",0.5436799255534867,35,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_b_mean,0.0913976285942151,0.0913976285942151,0.09101501355316342,343,"structure,x,y,boundary_distance,log_total_counts",0.6067667570210895,36,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_edge_mean,0.08785966784797929,0.08785966784797929,0.1042933411461622,343,"structure,x,y,boundary_distance,log_total_counts",0.672248031098094,37,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_bright_fraction,0.08677688208486917,0.08677688208486917,0.1086498843991008,343,"structure,x,y,boundary_distance,log_total_counts",0.672248031098094,38,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_texture_entropy,-0.08663278505880656,0.08663278505880656,0.10924030505344028,343,"structure,x,y,boundary_distance,log_total_counts",0.672248031098094,39,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_luma_q90,0.08555596810930559,0.08555596810930559,0.11373274878115525,343,"structure,x,y,boundary_distance,log_total_counts",0.6823964926869315,40,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,image__he_hematoxylin_proxy,0.08337268466323222,0.08337268466323222,0.12328482165827734,343,"structure,x,y,boundary_distance,log_total_counts",0.7118937231029174,41,,,,,,,,,,
immune_activation,immune_ecology,image__he_b_std,0.08308659411351213,0.08308659411351213,0.12458140154301055,343,"structure,x,y,boundary_distance,log_total_counts",0.7118937231029174,42,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,image__he_eosin_std,-0.08154140306485537,0.08154140306485537,0.13176813493139064,343,"structure,x,y,boundary_distance,log_total_counts",0.7226461609873471,43,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,image__he_edge_mean,-0.07801451739685589,0.07801451739685589,0.1493664387705006,343,"structure,x,y,boundary_distance,log_total_counts",0.7226461609873471,44,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,image__he_edge_mean,-0.07650108651663429,0.07650108651663429,0.15744401359947163,343,"structure,x,y,boundary_distance,log_total_counts",0.7226461609873471,45,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_texture_energy,0.07588704225949311,0.07588704225949311,0.16081372756471402,343,"structure,x,y,boundary_distance,log_total_counts",0.7226461609873471,46,,,,,,,,,,
