pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
unfolded_protein_response,image__he_hematoxylin_proxy,0.13451582044821597,7,8,0.1111111111111111,0.10318736357237612,0.11946833220282904,True,True
basal_squamous_state,image__he_texture_energy,0.1320706696546924,6,8,0.2222222222222222,0.1370882349369329,0.15027595816544592,False,False
immune_exclusion,image__he_saturation_mean,0.12983348678669165,7,8,0.1111111111111111,0.0728831609921783,0.07437823349898583,True,True
basal_squamous_state,image__he_r_std,0.12968795213746495,6,8,0.1111111111111111,0.0693368384303774,0.08056922466632764,True,True
basal_squamous_state,image__he_texture_entropy,0.12587582394332555,6,8,0.1111111111111111,0.0635481824788974,0.06581514189116884,True,True
immune_exclusion,image__he_g_mean,0.12307472551057196,7,8,0.1111111111111111,0.08563991847464625,0.09423364409520953,True,True
basal_squamous_state,image__he_stain_contrast,0.12212402271567356,6,8,0.1111111111111111,0.07071969698445638,0.07517926538318459,True,True
unfolded_protein_response,image__he_edge_mean,0.12061821226324801,7,8,0.1111111111111111,0.08919540081693432,0.0941320734480832,True,True
basal_squamous_state,image__he_hematoxylin_std,0.12024753117636804,6,8,0.1111111111111111,0.07808722377752939,0.08863580861230877,True,True
unfolded_protein_response,image__he_g_std,0.11585462665995303,7,8,0.1111111111111111,0.08092176550683443,0.08399608245050556,True,True
