pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
unfolded_protein_response,image__he_hematoxylin_proxy,0.13451582044821597,8,0.1111111111111111,0.0710287164884946,0.07553821706327145,True,True
basal_squamous_state,image__he_texture_energy,0.1320706696546924,8,0.1111111111111111,0.07728508605822816,0.08249588512070341,True,True
immune_exclusion,image__he_saturation_mean,0.12983348678669165,8,0.1111111111111111,0.11252035124302033,0.11329227389694034,True,True
basal_squamous_state,image__he_r_std,0.12968795213746495,8,0.2222222222222222,0.11476126589322454,0.1278919141081501,True,True
basal_squamous_state,image__he_texture_entropy,0.12587582394332555,8,0.1111111111111111,0.11516272890693732,0.11583829691127527,True,True
immune_exclusion,image__he_g_mean,0.12307472551057196,8,0.2222222222222222,0.12596027937030094,0.14232369183243493,False,False
basal_squamous_state,image__he_stain_contrast,0.12212402271567356,8,0.1111111111111111,0.06142543898886267,0.06201734015000773,True,True
unfolded_protein_response,image__he_edge_mean,0.12061821226324801,8,0.1111111111111111,0.0945163853698293,0.10334617390324709,True,True
basal_squamous_state,image__he_hematoxylin_std,0.12024753117636804,8,0.2222222222222222,0.10955119154073145,0.12307493097339545,True,False
unfolded_protein_response,image__he_g_std,0.11585462665995303,8,0.1111111111111111,0.0631405898274802,0.06892109070098978,True,True
