sample_role,pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
breast_discovery,unfolded_protein_response,metabolic_stress,image__he_hematoxylin_proxy,0.1345158204482159,0.1345158204482159,0.0126484794263684,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,1,0.1111111111111111,0.0710287164884946,0.0755382170632714,True,True,0.1111111111111111,0.1031873635723761,0.119468332202829,True,True
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,image__he_texture_energy,-0.1320706696546924,0.1320706696546924,0.014373718810134,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,2,0.1111111111111111,0.0772850860582281,0.0824958851207034,True,True,0.2222222222222222,0.1370882349369329,0.1502759581654459,False,False
breast_discovery,immune_exclusion,immune_ecology,image__he_saturation_mean,-0.1298334867866916,0.1298334867866916,0.0161298485674215,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,3,0.1111111111111111,0.1125203512430203,0.1132922738969403,True,True,0.1111111111111111,0.0728831609921783,0.0743782334989858,True,True
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,image__he_r_std,0.1296879521374649,0.1296879521374649,0.0162503325585966,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,4,0.2222222222222222,0.1147612658932245,0.1278919141081501,True,True,0.1111111111111111,0.0693368384303774,0.0805692246663276,True,True
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,image__he_texture_entropy,0.1258758239433255,0.1258758239433255,0.0196993402305662,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,5,0.1111111111111111,0.1151627289069373,0.1158382969112752,True,True,0.1111111111111111,0.0635481824788974,0.0658151418911688,True,True
breast_discovery,immune_exclusion,immune_ecology,image__he_g_mean,0.1230747255105719,0.1230747255105719,0.022623787499411,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,6,0.2222222222222222,0.1259602793703009,0.1423236918324349,False,False,0.1111111111111111,0.0856399184746462,0.0942336440952095,True,True
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,image__he_stain_contrast,0.1221240227156735,0.1221240227156735,0.02369832265886,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,7,0.1111111111111111,0.0614254389888626,0.0620173401500077,True,True,0.1111111111111111,0.0707196969844563,0.0751792653831845,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,image__he_edge_mean,-0.120618212263248,0.120618212263248,0.0254904620873632,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,8,0.1111111111111111,0.0945163853698293,0.103346173903247,True,True,0.1111111111111111,0.0891954008169343,0.0941320734480832,True,True
breast_discovery,basal_squamous_state,endocrine_epithelial_identity,image__he_hematoxylin_std,0.120247531176368,0.120247531176368,0.0259491282616222,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,9,0.2222222222222222,0.1095511915407314,0.1230749309733954,True,False,0.1111111111111111,0.0780872237775293,0.0886358086123087,True,True
breast_discovery,unfolded_protein_response,metabolic_stress,image__he_g_std,-0.115854626659953,0.115854626659953,0.0319485979487177,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,10,0.1111111111111111,0.0631405898274802,0.0689210907009897,True,True,0.1111111111111111,0.0809217655068344,0.0839960824505055,True,True
breast_discovery,immune_exclusion,immune_ecology,image__he_luma_mean,0.1158480834901276,0.1158480834901276,0.0319583500560046,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,11,,,,,,,,,,
breast_discovery,unfolded_protein_response,metabolic_stress,image__he_local_contrast,-0.1147904561365617,0.1147904561365617,0.0335684200695187,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,12,,,,,,,,,,
