pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
basal_squamous_state,endocrine_epithelial_identity,image__he_texture_energy,-0.1320706696546924,0.1320706696546924,0.014373718810134,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,2,0.1111111111111111,0.0772850860582281,0.0824958851207034,True,True,0.2222222222222222,0.1370882349369329,0.1502759581654459,False,False,breast_discovery
immune_exclusion,immune_ecology,image__he_saturation_mean,-0.1298334867866916,0.1298334867866916,0.0161298485674215,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,3,0.1111111111111111,0.1125203512430203,0.1132922738969403,True,True,0.1111111111111111,0.0728831609921783,0.0743782334989858,True,True,breast_discovery
emt_invasive_front,invasion_boundary_emt,image__he_r_mean,-0.0709040454780838,0.0709040454780838,0.1901900870935269,343,"structure,x,y,boundary_distance,log_total_counts",0.7226461609873471,56,,,,,,,,,,,breast_discovery
unfolded_protein_response,metabolic_stress,image__he_hematoxylin_proxy,0.1345158204482159,0.1345158204482159,0.0126484794263684,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,1,0.1111111111111111,0.0710287164884946,0.0755382170632714,True,True,0.1111111111111111,0.1031873635723761,0.119468332202829,True,True,breast_discovery
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,image__he_luma_q90,0.1071539407768863,0.1071539407768863,0.0473688694700636,343,"structure,x,y,boundary_distance,log_total_counts",0.4968684913908558,21,,,,,,,,,,,breast_discovery
luminal_estrogen_response,endocrine_epithelial_identity,image__he_b_mean,0.1762005922142032,0.1762005922142032,0.0007215611695379,365,"structure,x,y,boundary_distance,log_total_counts",0.0057795499972233,29,,,,,,,,,,,cervical_validation
immune_exclusion,immune_ecology,image__he_b_mean,0.2533126189208575,0.2533126189208575,9.432186482848548e-07,365,"structure,x,y,boundary_distance,log_total_counts",6.100467652494294e-05,3,0.1111111111111111,0.117016919530995,0.1263136494585134,True,True,0.1111111111111111,0.163319021248872,0.1989681105343007,True,True,cervical_validation
emt_invasive_front,invasion_boundary_emt,image__he_hematoxylin_proxy,-0.2033141898904863,0.2033141898904863,9.156409443861252e-05,365,"structure,x,y,boundary_distance,log_total_counts",0.0016904140511743,13,,,,,,,,,,,cervical_validation
unfolded_protein_response,metabolic_stress,image__he_g_std,0.1291134637719611,0.1291134637719611,0.0135646857964435,365,"structure,x,y,boundary_distance,log_total_counts",0.0462570045513996,68,,,,,,,,,,,cervical_validation
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_b_mean,0.2721504460714619,0.2721504460714619,1.2805139358758565e-07,365,"structure,x,y,boundary_distance,log_total_counts",3.073233446102055e-05,1,0.1111111111111111,0.0561097569519622,0.0594606558180839,True,True,0.1111111111111111,0.1601179829741337,0.1714064864109571,True,True,cervical_validation
