pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
emt_invasive_front,invasion_boundary_emt,image__he_eosin_proxy,-0.20086956950443113,0.20086956950443113,0.003462788899491185,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,1,0.1111111111111111,0.12505714890398187,0.14408806110051972,True,True,0.1111111111111111,0.11582995279271903,0.1196339481681423,True,True
emt_invasive_front,invasion_boundary_emt,image__he_luma_q90,-0.17902545060319933,0.17902545060319933,0.00932567642800405,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,2,0.1111111111111111,0.09369573456715734,0.10424937792592484,True,True,0.1111111111111111,0.14447161117593119,0.1465967447550873,True,True
emt_invasive_front,invasion_boundary_emt,image__he_r_mean,-0.17880632600910001,0.17880632600910001,0.009413943812026761,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,3,0.1111111111111111,0.13233827604934498,0.13514275976617576,True,True,0.1111111111111111,0.09755492608309221,0.11119626397632751,True,True
emt_invasive_front,invasion_boundary_emt,image__he_edge_mean,0.1786100091402415,0.1786100091402415,0.009493651328575964,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,4,0.1111111111111111,0.10867429260727891,0.10984491420036367,True,True,0.1111111111111111,0.08999381699567208,0.09427702172558337,True,True
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_eosin_proxy,-0.17790369294221045,0.17790369294221045,0.00978539040730626,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,5,0.1111111111111111,0.13223675562847792,0.14389851880185292,True,True,0.2222222222222222,0.20688557229264937,0.2482032945219376,False,False
emt_invasive_front,invasion_boundary_emt,image__he_bright_fraction,-0.17220721764602057,0.17220721764602057,0.012443033235798638,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,6,0.1111111111111111,0.05298991902678675,0.05382397005467294,True,True,0.1111111111111111,0.14252691051299993,0.14953892376446756,True,True
unfolded_protein_response,metabolic_stress,image__he_eosin_proxy,0.1707746947368942,0.1707746947368942,0.013203920123906992,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,7,0.1111111111111111,0.10912586716868042,0.11950646985480697,True,True,0.1111111111111111,0.15386391728972543,0.16567485777617658,True,True
unfolded_protein_response,metabolic_stress,image__he_texture_energy,0.17063467858929252,0.17063467858929252,0.013280436563775741,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,8,0.1111111111111111,0.12347811322814477,0.12562212474214174,True,True,0.2222222222222222,0.15531521359134987,0.18092057763524974,True,False
emt_invasive_front,invasion_boundary_emt,image__he_texture_energy,-0.16913956342602762,0.16913956342602762,0.014122068771704759,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,9,0.1111111111111111,0.08984821219676595,0.09147817620915216,True,True,0.2222222222222222,0.1644504281840206,0.1910951186266222,True,False
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_r_mean,-0.16766728032942285,0.16766728032942285,0.014996146773859938,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,10,0.2222222222222222,0.16941807416010415,0.19205467678644086,False,False,0.1111111111111111,0.08981538455667942,0.09058519615823814,True,True
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_texture_energy,-0.16749772942248708,0.16749772942248708,0.015099783706807928,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,11,,,,,,,,,,
immune_exclusion,immune_ecology,image__he_eosin_proxy,-0.16498784094244692,0.16498784094244692,0.01670881045737891,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,12,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,image__he_luma_q90,0.16353163772375173,0.16353163772375173,0.017709256229715965,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,13,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,image__he_luma_q10,-0.16336438837974201,0.16336438837974201,0.017827431374286207,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,14,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,image__he_texture_entropy,0.16297755705893405,0.16297755705893405,0.018103390060920252,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,15,,,,,,,,,,
immune_exclusion,immune_ecology,image__he_texture_energy,-0.16279014177217693,0.16279014177217693,0.018238419209284044,210,"structure,x,y,boundary_distance,log_total_counts",0.27357628813926066,16,,,,,,,,,,
unfolded_protein_response,metabolic_stress,image__he_bright_fraction,0.1576550374672052,0.1576550374672052,0.02229450542482198,210,"structure,x,y,boundary_distance,log_total_counts",0.2788523639675391,17,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,image__he_stain_contrast,0.15690204629275856,0.15690204629275856,0.022950363447272033,210,"structure,x,y,boundary_distance,log_total_counts",0.2788523639675391,18,,,,,,,,,,
immune_activation,immune_ecology,image__he_edge_std,0.15684237215343766,0.15684237215343766,0.02300304415965695,210,"structure,x,y,boundary_distance,log_total_counts",0.2788523639675391,19,,,,,,,,,,
immune_activation,immune_ecology,image__he_b_std,0.15657799178404372,0.15657799178404372,0.023237696997294926,210,"structure,x,y,boundary_distance,log_total_counts",0.2788523639675391,20,,,,,,,,,,
immune_activation,immune_ecology,image__he_r_mean,-0.15155366288467156,0.15155366288467156,0.02810541977549862,210,"structure,x,y,boundary_distance,log_total_counts",0.32120479743426994,21,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,image__he_texture_energy,-0.14876665667703642,0.14876665667703642,0.03116403150308179,210,"structure,x,y,boundary_distance,log_total_counts",0.3249630680075207,22,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,image__he_r_std,0.14844996934073612,0.14844996934073612,0.03152888789138928,210,"structure,x,y,boundary_distance,log_total_counts",0.3249630680075207,23,,,,,,,,,,
