pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
emt_invasive_front,image__he_eosin_proxy,0.20086956950443113,8,8,0.1111111111111111,0.11582995279271903,0.1196339481681423,True,True
emt_invasive_front,image__he_luma_q90,0.17902545060319933,8,8,0.1111111111111111,0.14447161117593119,0.1465967447550873,True,True
emt_invasive_front,image__he_r_mean,0.17880632600910001,8,8,0.1111111111111111,0.09755492608309221,0.11119626397632751,True,True
emt_invasive_front,image__he_edge_mean,0.1786100091402415,8,8,0.1111111111111111,0.08999381699567208,0.09427702172558337,True,True
collagen_ecm_organization,image__he_eosin_proxy,0.17790369294221045,7,8,0.2222222222222222,0.20688557229264937,0.2482032945219376,False,False
emt_invasive_front,image__he_bright_fraction,0.17220721764602057,8,8,0.1111111111111111,0.14252691051299993,0.14953892376446756,True,True
unfolded_protein_response,image__he_eosin_proxy,0.1707746947368942,7,8,0.1111111111111111,0.15386391728972543,0.16567485777617658,True,True
unfolded_protein_response,image__he_texture_energy,0.17063467858929252,7,8,0.2222222222222222,0.15531521359134987,0.18092057763524974,True,False
emt_invasive_front,image__he_texture_energy,0.16913956342602762,8,8,0.2222222222222222,0.1644504281840206,0.1910951186266222,True,False
collagen_ecm_organization,image__he_r_mean,0.16766728032942285,7,8,0.1111111111111111,0.08981538455667942,0.09058519615823814,True,True
