pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
emt_invasive_front,image__he_eosin_proxy,0.20086956950443113,8,0.1111111111111111,0.12505714890398187,0.14408806110051972,True,True
emt_invasive_front,image__he_luma_q90,0.17902545060319933,8,0.1111111111111111,0.09369573456715734,0.10424937792592484,True,True
emt_invasive_front,image__he_r_mean,0.17880632600910001,8,0.1111111111111111,0.13233827604934498,0.13514275976617576,True,True
emt_invasive_front,image__he_edge_mean,0.1786100091402415,8,0.1111111111111111,0.10867429260727891,0.10984491420036367,True,True
collagen_ecm_organization,image__he_eosin_proxy,0.17790369294221045,8,0.1111111111111111,0.13223675562847792,0.14389851880185292,True,True
emt_invasive_front,image__he_bright_fraction,0.17220721764602057,8,0.1111111111111111,0.05298991902678675,0.05382397005467294,True,True
unfolded_protein_response,image__he_eosin_proxy,0.1707746947368942,8,0.1111111111111111,0.10912586716868042,0.11950646985480697,True,True
unfolded_protein_response,image__he_texture_energy,0.17063467858929252,8,0.1111111111111111,0.12347811322814477,0.12562212474214174,True,True
emt_invasive_front,image__he_texture_energy,0.16913956342602762,8,0.1111111111111111,0.08984821219676595,0.09147817620915216,True,True
collagen_ecm_organization,image__he_r_mean,0.16766728032942285,8,0.2222222222222222,0.16941807416010415,0.19205467678644086,False,False
