pathway,family,seed,gate,margin
luminal_estrogen_response,endocrine_epithelial_identity,seed17,Spatial null,0.127957747871805
luminal_estrogen_response,endocrine_epithelial_identity,seed17,Matched control,0.0465588617909983
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,seed17,Spatial null,0.14194927683718753
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,seed17,Matched control,0.08330839288750042
immune_exclusion,immune_ecology,seed17,Spatial null,0.0605398185417603
immune_exclusion,immune_ecology,seed17,Matched control,0.07318317309979372
unfolded_protein_response,metabolic_stress,seed17,Spatial null,0.06713577737270199
unfolded_protein_response,metabolic_stress,seed17,Matched control,0.030284384065710573
unfolded_protein_response,metabolic_stress,seed29,Spatial null,0.08922795409508799
unfolded_protein_response,metabolic_stress,seed29,Matched control,0.1251915331160994
immune_exclusion,immune_ecology,seed29,Spatial null,0.0871004411865208
immune_exclusion,immune_ecology,seed29,Matched control,0.024379047828704398
luminal_estrogen_response,endocrine_epithelial_identity,seed29,Spatial null,0.04951358525643612
luminal_estrogen_response,endocrine_epithelial_identity,seed29,Matched control,0.022123662120979798
oxidative_phosphorylation,metabolic_stress,seed29,Spatial null,0.07366548321652341
oxidative_phosphorylation,metabolic_stress,seed29,Matched control,0.1073007850152
immune_activation,immune_ecology,seed43,Spatial null,0.13698896074940328
immune_activation,immune_ecology,seed43,Matched control,0.15845426933642417
basal_squamous_state,endocrine_epithelial_identity,seed43,Spatial null,0.12531876246181428
basal_squamous_state,endocrine_epithelial_identity,seed43,Matched control,0.09684368054723638
unfolded_protein_response,metabolic_stress,seed43,Spatial null,0.0797718205419988
unfolded_protein_response,metabolic_stress,seed43,Matched control,0.023041645048507114
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,seed43,Spatial null,0.0195533533702677
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,seed43,Matched control,0.052898739374042075
