pathway,family,stable_9_pathway_core,analysis,recovery_rate,recovered_runs
unfolded_protein_response,metabolic_stress,TRUE,Primary,1,3
unfolded_protein_response,metabolic_stress,TRUE,Axis-masked,1,3
immune_exclusion,immune_ecology,TRUE,Primary,1,3
immune_exclusion,immune_ecology,TRUE,Axis-masked,1,3
luminal_estrogen_response,endocrine_epithelial_identity,TRUE,Primary,1,3
luminal_estrogen_response,endocrine_epithelial_identity,TRUE,Axis-masked,1,3
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,TRUE,Primary,1,3
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,TRUE,Axis-masked,1,3
oxidative_phosphorylation,metabolic_stress,TRUE,Primary,1,3
oxidative_phosphorylation,metabolic_stress,TRUE,Axis-masked,1,3
basal_squamous_state,endocrine_epithelial_identity,TRUE,Primary,1,3
basal_squamous_state,endocrine_epithelial_identity,TRUE,Axis-masked,1,3
collagen_ecm_organization,stromal_remodeling_caf_ecm,TRUE,Primary,1,3
collagen_ecm_organization,stromal_remodeling_caf_ecm,TRUE,Axis-masked,1,3
immune_activation,immune_ecology,TRUE,Primary,1,3
immune_activation,immune_ecology,TRUE,Axis-masked,1,3
epithelial_identity,endocrine_epithelial_identity,TRUE,Primary,1,3
epithelial_identity,endocrine_epithelial_identity,TRUE,Axis-masked,1,3
emt_invasive_front,invasion_boundary_emt,FALSE,Primary,0.3333333333333333,1
emt_invasive_front,invasion_boundary_emt,FALSE,Axis-masked,0.3333333333333333,1
