image_feature,n_associations,max_abs_partial_spearman_rho,mean_abs_partial_spearman_rho,top_k_count,top_k_pathways,top_k_families,negative_control_rows,negative_control_fail95,negative_control_fail99,negative_control_pathways,sample_role,top_k,candidate_generic_axis,run_id,run_dir
embedding__plip_039,10,0.2900097427183454,0.1468127847163976,3,immune_exclusion;luminal_estrogen_response;myofibroblast_caf_activation,endocrine_epithelial_identity;immune_ecology;stromal_remodeling_caf_ecm,2,0,1,luminal_estrogen_response;myofibroblast_caf_activation,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_035,10,0.2883179306795509,0.1400158677224549,3,immune_exclusion;myofibroblast_caf_activation;oxidative_phosphorylation,immune_ecology;metabolic_stress;stromal_remodeling_caf_ecm,1,0,1,myofibroblast_caf_activation,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_045,10,0.2854522948942853,0.1253422495720201,3,collagen_ecm_organization;immune_exclusion;luminal_estrogen_response,endocrine_epithelial_identity;immune_ecology;stromal_remodeling_caf_ecm,1,0,1,immune_exclusion,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_044,10,0.239362081225494,0.1376582161952278,3,immune_exclusion;luminal_estrogen_response;myofibroblast_caf_activation,endocrine_epithelial_identity;immune_ecology;stromal_remodeling_caf_ecm,1,0,0,myofibroblast_caf_activation,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_025,10,0.2033847621681261,0.1168650864114637,3,collagen_ecm_organization;luminal_estrogen_response;myofibroblast_caf_activation,endocrine_epithelial_identity;stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_011,10,0.2486132977214138,0.1155551221248086,2,epithelial_identity;luminal_estrogen_response,endocrine_epithelial_identity,1,0,0,luminal_estrogen_response,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_063,10,0.2447220278441818,0.113265241235281,2,emt_invasive_front;luminal_estrogen_response,endocrine_epithelial_identity;invasion_boundary_emt,1,0,1,luminal_estrogen_response,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_038,10,0.2390325990784784,0.1149006662000039,2,collagen_ecm_organization;immune_exclusion,immune_ecology;stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_026,10,0.2262893534152691,0.1186666075283113,2,immune_exclusion;oxidative_phosphorylation,immune_ecology;metabolic_stress,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_049,10,0.2238381534645378,0.1193453321837023,2,immune_exclusion;myofibroblast_caf_activation,immune_ecology;stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
