pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
immune_activation,immune_ecology,embedding__plip_013,-0.24084154278636402,0.24084154278636402,0.003298034006385094,147,"structure,x,y,boundary_distance,log_total_counts",0.29191067264718973,1,0.2222222222222222,0.24789941484792505,0.25830528177897166,False,False,0.1111111111111111,0.1363157562067687,0.14562245035968052,True,True
immune_activation,immune_ecology,embedding__plip_004,0.2383365909771528,0.2383365909771528,0.0036488834080898713,147,"structure,x,y,boundary_distance,log_total_counts",0.29191067264718973,2,0.1111111111111111,0.1360383355972395,0.1464736646000251,True,True,0.1111111111111111,0.09731916470325626,0.10910354948094303,True,True
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_011,-0.227408766436992,0.227408766436992,0.0056050012323335995,147,"structure,x,y,boundary_distance,log_total_counts",0.298933399057792,3,0.1111111111111111,0.10867657590355641,0.1114146655637652,True,True,0.1111111111111111,0.1743335344021064,0.1788155948539162,True,True
emt_invasive_front,invasion_boundary_emt,embedding__plip_011,0.20708196592994368,0.20708196592994368,0.011847883161019855,147,"structure,x,y,boundary_distance,log_total_counts",0.4739153264407942,4,0.1111111111111111,0.14223082561418945,0.14532503410539593,True,True,0.1111111111111111,0.11546962939217574,0.13070956688691837,True,True
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_005,0.19486264773098882,0.19486264773098882,0.018023562426775934,147,"structure,x,y,boundary_distance,log_total_counts",0.4888571024123923,5,0.1111111111111111,0.10604798620331789,0.10913351280822564,True,True,0.2222222222222222,0.19751469157741994,0.21903910051539036,False,False
epithelial_identity,endocrine_epithelial_identity,embedding__plip_007,-0.194354076098688,0.194354076098688,0.01833214134046471,147,"structure,x,y,boundary_distance,log_total_counts",0.4888571024123923,6,0.1111111111111111,0.08278545323587767,0.09205081108711619,True,True,0.1111111111111111,0.1874168015506142,0.18829295144294372,True,True
immune_exclusion,immune_ecology,embedding__plip_006,0.18368491405430373,0.18368491405430373,0.025945045382182837,147,"structure,x,y,boundary_distance,log_total_counts",0.5485513064601703,7,0.2222222222222222,0.1754469751913004,0.19277519091108394,True,False,0.1111111111111111,0.13537927405393524,0.14514717064232227,True,True
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_009,0.18083146011063345,0.18083146011063345,0.02839027798098444,147,"structure,x,y,boundary_distance,log_total_counts",0.5485513064601703,8,0.1111111111111111,0.0858564544494523,0.08713047263269962,True,True,0.1111111111111111,0.0913974053162761,0.09670222042904188,True,True
epithelial_identity,endocrine_epithelial_identity,embedding__plip_011,-0.17230306864755754,0.17230306864755754,0.03690045352680014,147,"structure,x,y,boundary_distance,log_total_counts",0.5485513064601703,9,0.1111111111111111,0.09187617882300689,0.0935921011808942,True,True,0.1111111111111111,0.12061416799844163,0.1315336555465358,True,True
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_015,-0.16906648214342798,0.16906648214342798,0.04064987901050968,147,"structure,x,y,boundary_distance,log_total_counts",0.5485513064601703,10,0.1111111111111111,0.11413929165106143,0.11564277492873697,True,True,0.3333333333333333,0.20062826004807546,0.20328019315074145,False,False
emt_invasive_front,invasion_boundary_emt,embedding__plip_008,-0.16798542112325007,0.16798542112325007,0.0419713573654228,147,"structure,x,y,boundary_distance,log_total_counts",0.5485513064601703,11,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,embedding__plip_004,-0.16420374351061084,0.16420374351061084,0.04688032208448499,147,"structure,x,y,boundary_distance,log_total_counts",0.5485513064601703,12,,,,,,,,,,
immune_activation,immune_ecology,embedding__plip_007,0.1613008958933268,0.1613008958933268,0.050964987884982965,147,"structure,x,y,boundary_distance,log_total_counts",0.5485513064601703,13,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_014,-0.16098978648334297,0.16098978648334297,0.05141974598082428,147,"structure,x,y,boundary_distance,log_total_counts",0.5485513064601703,14,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_010,-0.1599143480157187,0.1599143480157187,0.053017711845580726,147,"structure,x,y,boundary_distance,log_total_counts",0.5485513064601703,15,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_010,-0.1587103909532132,0.1587103909532132,0.05485513064601703,147,"structure,x,y,boundary_distance,log_total_counts",0.5485513064601703,16,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_010,-0.15608429158997633,0.15608429158997633,0.05904560345364087,147,"structure,x,y,boundary_distance,log_total_counts",0.5554111512289457,17,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,embedding__plip_005,-0.15404171990419535,0.15404171990419535,0.0624837545132564,147,"structure,x,y,boundary_distance,log_total_counts",0.5554111512289457,18,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_007,-0.1495297224300686,0.1495297224300686,0.0706607589544036,147,"structure,x,y,boundary_distance,log_total_counts",0.5904107293936817,19,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_002,0.1467622733760948,0.1467622733760948,0.07609203782252215,147,"structure,x,y,boundary_distance,log_total_counts",0.5904107293936817,20,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_007,0.14607520152465625,0.14607520152465625,0.07749140823292072,147,"structure,x,y,boundary_distance,log_total_counts",0.5904107293936817,21,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,embedding__plip_000,-0.14424749534775627,0.14424749534775627,0.081315110869083,147,"structure,x,y,boundary_distance,log_total_counts",0.5913826245024217,22,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,embedding__plip_009,-0.1411082468994379,0.1411082468994379,0.08823505412549859,147,"structure,x,y,boundary_distance,log_total_counts",0.6138090721773815,23,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_006,0.1371309001434746,0.1371309001434746,0.09766831240683449,147,"structure,x,y,boundary_distance,log_total_counts",0.6511220827122299,24,,,,,,,,,,
