pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
immune_activation,embedding__plip_013,0.24084154278636402,7,8,0.1111111111111111,0.1363157562067687,0.14562245035968052,True,True
immune_activation,embedding__plip_004,0.2383365909771528,7,8,0.1111111111111111,0.09731916470325626,0.10910354948094303,True,True
luminal_estrogen_response,embedding__plip_011,0.227408766436992,10,8,0.1111111111111111,0.1743335344021064,0.1788155948539162,True,True
emt_invasive_front,embedding__plip_011,0.20708196592994368,8,8,0.1111111111111111,0.11546962939217574,0.13070956688691837,True,True
luminal_estrogen_response,embedding__plip_005,0.19486264773098882,10,8,0.2222222222222222,0.19751469157741994,0.21903910051539036,False,False
epithelial_identity,embedding__plip_007,0.194354076098688,7,8,0.1111111111111111,0.1874168015506142,0.18829295144294372,True,True
immune_exclusion,embedding__plip_006,0.18368491405430373,7,8,0.1111111111111111,0.13537927405393524,0.14514717064232227,True,True
basal_squamous_state,embedding__plip_009,0.18083146011063345,6,8,0.1111111111111111,0.0913974053162761,0.09670222042904188,True,True
epithelial_identity,embedding__plip_011,0.17230306864755754,7,8,0.1111111111111111,0.12061416799844163,0.1315336555465358,True,True
collagen_ecm_organization,embedding__plip_015,0.16906648214342798,7,8,0.3333333333333333,0.20062826004807546,0.20328019315074145,False,False
