pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
immune_activation,embedding__plip_013,0.24084154278636402,8,0.2222222222222222,0.24789941484792505,0.25830528177897166,False,False
immune_activation,embedding__plip_004,0.2383365909771528,8,0.1111111111111111,0.1360383355972395,0.1464736646000251,True,True
luminal_estrogen_response,embedding__plip_011,0.227408766436992,8,0.1111111111111111,0.10867657590355641,0.1114146655637652,True,True
emt_invasive_front,embedding__plip_011,0.20708196592994368,8,0.1111111111111111,0.14223082561418945,0.14532503410539593,True,True
luminal_estrogen_response,embedding__plip_005,0.19486264773098882,8,0.1111111111111111,0.10604798620331789,0.10913351280822564,True,True
epithelial_identity,embedding__plip_007,0.194354076098688,8,0.1111111111111111,0.08278545323587767,0.09205081108711619,True,True
immune_exclusion,embedding__plip_006,0.18368491405430373,8,0.2222222222222222,0.1754469751913004,0.19277519091108394,True,False
basal_squamous_state,embedding__plip_009,0.18083146011063345,8,0.1111111111111111,0.0858564544494523,0.08713047263269962,True,True
epithelial_identity,embedding__plip_011,0.17230306864755754,8,0.1111111111111111,0.09187617882300689,0.0935921011808942,True,True
collagen_ecm_organization,embedding__plip_015,0.16906648214342798,8,0.1111111111111111,0.11413929165106143,0.11564277492873697,True,True
