pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_017,0.2950240606303437,0.2950240606303437,0.00028615208325987314,147,"structure,x,y,boundary_distance,log_total_counts",0.18313733328631882,1,0.1111111111111111,0.08633727707602064,0.08783197550309751,True,True,0.1111111111111111,0.13978331255437068,0.15124278467576618,True,True
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_063,0.26989609388493374,0.26989609388493374,0.0009465418592435266,147,"structure,x,y,boundary_distance,log_total_counts",0.2517254997606508,2,0.1111111111111111,0.1322423780773697,0.13613996317269397,True,True,0.1111111111111111,0.253024569207145,0.2635477815321069,True,True
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_050,0.2649969103769352,0.2649969103769352,0.0011799632801280505,147,"structure,x,y,boundary_distance,log_total_counts",0.2517254997606508,3,0.1111111111111111,0.12224377723139292,0.14385473653378872,True,True,0.1111111111111111,0.1859498509940831,0.19649741891716896,True,True
immune_activation,immune_ecology,embedding__plip_054,-0.24808769201828673,0.24808769201828673,0.00244767305306894,147,"structure,x,y,boundary_distance,log_total_counts",0.38921423019625295,4,0.1111111111111111,0.17573745360406112,0.20228998476977242,True,True,0.1111111111111111,0.14168972532280313,0.14889812575991176,True,True
immune_activation,immune_ecology,embedding__plip_013,-0.24084154278636402,0.24084154278636402,0.003298034006385094,147,"structure,x,y,boundary_distance,log_total_counts",0.38921423019625295,5,0.1111111111111111,0.14775998198315726,0.1607554863224306,True,True,0.1111111111111111,0.10369264231269484,0.10602725823429879,True,True
immune_activation,immune_ecology,embedding__plip_004,0.2383365909771528,0.2383365909771528,0.0036488834080898713,147,"structure,x,y,boundary_distance,log_total_counts",0.38921423019625295,6,0.1111111111111111,0.16400685583187663,0.16483935446527515,True,True,0.1111111111111111,0.1344285068772837,0.1653299115198453,True,True
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_011,-0.227408766436992,0.227408766436992,0.0056050012323335995,147,"structure,x,y,boundary_distance,log_total_counts",0.48914822777518707,7,0.1111111111111111,0.10986704568446323,0.12359402079218984,True,True,0.1111111111111111,0.14913089514360828,0.15289380621494553,True,True
immune_exclusion,immune_ecology,embedding__plip_037,-0.22422939857944282,0.22422939857944282,0.006327969724955638,147,"structure,x,y,boundary_distance,log_total_counts",0.48914822777518707,8,0.2222222222222222,0.21013897528867886,0.23853404370633124,True,False,0.1111111111111111,0.1498396320648685,0.1759787271981261,True,True
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_039,0.2193291093187439,0.2193291093187439,0.007605408316656642,147,"structure,x,y,boundary_distance,log_total_counts",0.48914822777518707,9,0.1111111111111111,0.16599148162986144,0.17515810263649095,True,True,0.1111111111111111,0.10184153528728453,0.1024272729609625,True,True
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_050,-0.21808058495177637,0.21808058495177637,0.0079654272729317,147,"structure,x,y,boundary_distance,log_total_counts",0.48914822777518707,10,0.1111111111111111,0.10555859160341952,0.10928212040345689,True,True,0.1111111111111111,0.15099333497432516,0.15668708264175987,True,True
