pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
basal_squamous_state,embedding__plip_017,0.2950240606303437,6,8,0.1111111111111111,0.13978331255437068,0.15124278467576618,True,True
luminal_estrogen_response,embedding__plip_063,0.26989609388493374,10,8,0.1111111111111111,0.253024569207145,0.2635477815321069,True,True
luminal_estrogen_response,embedding__plip_050,0.2649969103769352,10,8,0.1111111111111111,0.1859498509940831,0.19649741891716896,True,True
immune_activation,embedding__plip_054,0.24808769201828673,7,8,0.1111111111111111,0.14168972532280313,0.14889812575991176,True,True
immune_activation,embedding__plip_013,0.24084154278636402,7,8,0.1111111111111111,0.10369264231269484,0.10602725823429879,True,True
immune_activation,embedding__plip_004,0.2383365909771528,7,8,0.1111111111111111,0.1344285068772837,0.1653299115198453,True,True
luminal_estrogen_response,embedding__plip_011,0.227408766436992,10,8,0.1111111111111111,0.14913089514360828,0.15289380621494553,True,True
immune_exclusion,embedding__plip_037,0.22422939857944282,7,8,0.1111111111111111,0.1498396320648685,0.1759787271981261,True,True
luminal_estrogen_response,embedding__plip_039,0.2193291093187439,10,8,0.1111111111111111,0.10184153528728453,0.1024272729609625,True,True
collagen_ecm_organization,embedding__plip_050,0.21808058495177637,7,8,0.1111111111111111,0.15099333497432516,0.15668708264175987,True,True
