pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_017,0.2950240606303437,0.2950240606303437,0.0002861520832598,147,"structure,x,y,boundary_distance,log_total_counts",0.1831373332863188,1,0.1111111111111111,0.0863372770760206,0.0878319755030975,True,True,0.1111111111111111,0.1397833125543706,0.1512427846757661,True,True,breast_discovery
immune_activation,immune_ecology,embedding__plip_054,-0.2480876920182867,0.2480876920182867,0.0024476730530689,147,"structure,x,y,boundary_distance,log_total_counts",0.3892142301962529,4,0.1111111111111111,0.1757374536040611,0.2022899847697724,True,True,0.1111111111111111,0.1416897253228031,0.1488981257599117,True,True,breast_discovery
emt_invasive_front,invasion_boundary_emt,embedding__plip_050,-0.2088337230293475,0.2088337230293475,0.0111356877625241,147,"structure,x,y,boundary_distance,log_total_counts",0.496522813023972,12,,,,,,,,,,,breast_discovery
unfolded_protein_response,metabolic_stress,embedding__plip_016,-0.2027865189397985,0.2027865189397985,0.0137658412472815,147,"structure,x,y,boundary_distance,log_total_counts",0.496522813023972,17,,,,,,,,,,,breast_discovery
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_050,-0.2180805849517763,0.2180805849517763,0.0079654272729317,147,"structure,x,y,boundary_distance,log_total_counts",0.489148227775187,10,0.1111111111111111,0.1055585916034195,0.1092821204034568,True,True,0.1111111111111111,0.1509933349743251,0.1566870826417598,True,True,breast_discovery
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_032,-0.239839329099763,0.239839329099763,0.0024035730826846,158,"structure,x,y,boundary_distance,log_total_counts",0.6242094144361269,1,0.1111111111111111,0.1431601948820148,0.1487866528929515,True,True,0.1111111111111111,0.1344421453639906,0.1492848341836682,True,True,cervical_validation
immune_exclusion,immune_ecology,embedding__plip_060,-0.2358012042420995,0.2358012042420995,0.0028579650202181,158,"structure,x,y,boundary_distance,log_total_counts",0.6242094144361269,2,0.1111111111111111,0.1681585313324051,0.1882842037443254,True,True,0.1111111111111111,0.1085525134072372,0.1094139605398808,True,True,cervical_validation
emt_invasive_front,invasion_boundary_emt,embedding__plip_056,-0.1898474180734078,0.1898474180734078,0.0168866426974595,158,"structure,x,y,boundary_distance,log_total_counts",0.7461134847774464,14,,,,,,,,,,,cervical_validation
oxidative_phosphorylation,metabolic_stress,embedding__plip_012,0.1744590425729483,0.1744590425729483,0.0283546284049717,158,"structure,x,y,boundary_distance,log_total_counts",0.7809137247739173,20,,,,,,,,,,,cervical_validation
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_013,-0.2026259576652174,0.2026259576652174,0.0106711280921897,158,"structure,x,y,boundary_distance,log_total_counts",0.682952197900146,10,0.1111111111111111,0.1413312980770546,0.1418862453109357,True,True,0.1111111111111111,0.1159035751202839,0.1254851775770136,True,True,cervical_validation
