pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
basal_squamous_state,embedding__plip_017,0.2950240606303437,6,8,0.1111111111111111,0.1397833125543706,0.1512427846757661,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_063,0.2698960938849337,10,8,0.1111111111111111,0.253024569207145,0.2635477815321069,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_050,0.2649969103769352,10,8,0.1111111111111111,0.1859498509940831,0.1964974189171689,True,True,breast_discovery
immune_activation,embedding__plip_054,0.2480876920182867,7,8,0.1111111111111111,0.1416897253228031,0.1488981257599117,True,True,breast_discovery
immune_activation,embedding__plip_013,0.240841542786364,7,8,0.1111111111111111,0.1036926423126948,0.1060272582342987,True,True,breast_discovery
immune_activation,embedding__plip_004,0.2383365909771528,7,8,0.1111111111111111,0.1344285068772837,0.1653299115198453,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_011,0.227408766436992,10,8,0.1111111111111111,0.1491308951436082,0.1528938062149455,True,True,breast_discovery
immune_exclusion,embedding__plip_037,0.2242293985794428,7,8,0.1111111111111111,0.1498396320648685,0.1759787271981261,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_039,0.2193291093187439,10,8,0.1111111111111111,0.1018415352872845,0.1024272729609625,True,True,breast_discovery
collagen_ecm_organization,embedding__plip_050,0.2180805849517763,7,8,0.1111111111111111,0.1509933349743251,0.1566870826417598,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_032,0.239839329099763,10,8,0.1111111111111111,0.1344421453639906,0.1492848341836682,True,True,cervical_validation
immune_exclusion,embedding__plip_060,0.2358012042420995,7,8,0.1111111111111111,0.1085525134072372,0.1094139605398808,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_044,0.2325326096653392,10,8,0.1111111111111111,0.1197338601577165,0.1310852264882329,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_026,0.2274649922677114,10,8,0.1111111111111111,0.0992431399638915,0.1057683898724121,True,True,cervical_validation
immune_exclusion,embedding__plip_017,0.2211558314257347,7,8,0.1111111111111111,0.1325852051954751,0.1427667629182222,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_054,0.2183346461745835,10,8,0.1111111111111111,0.1718891131226512,0.1728043238270687,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_022,0.2082201837476157,10,8,0.1111111111111111,0.0836763102724458,0.0920396039873889,True,True,cervical_validation
immune_activation,embedding__plip_037,0.2057685002928229,7,8,0.1111111111111111,0.0782284834365178,0.0841107149709015,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_041,0.2038389007014191,10,8,0.1111111111111111,0.131232988958684,0.1354855447480358,True,True,cervical_validation
myofibroblast_caf_activation,embedding__plip_013,0.2026259576652174,7,8,0.1111111111111111,0.1159035751202839,0.1254851775770136,True,True,cervical_validation
