pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,sample_role
basal_squamous_state,embedding__plip_017,0.2950240606303437,8,0.1111111111111111,0.0863372770760206,0.0878319755030975,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_063,0.2698960938849337,8,0.1111111111111111,0.1322423780773697,0.1361399631726939,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_050,0.2649969103769352,8,0.1111111111111111,0.1222437772313929,0.1438547365337887,True,True,breast_discovery
immune_activation,embedding__plip_054,0.2480876920182867,8,0.1111111111111111,0.1757374536040611,0.2022899847697724,True,True,breast_discovery
immune_activation,embedding__plip_013,0.240841542786364,8,0.1111111111111111,0.1477599819831572,0.1607554863224306,True,True,breast_discovery
immune_activation,embedding__plip_004,0.2383365909771528,8,0.1111111111111111,0.1640068558318766,0.1648393544652751,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_011,0.227408766436992,8,0.1111111111111111,0.1098670456844632,0.1235940207921898,True,True,breast_discovery
immune_exclusion,embedding__plip_037,0.2242293985794428,8,0.2222222222222222,0.2101389752886788,0.2385340437063312,True,False,breast_discovery
luminal_estrogen_response,embedding__plip_039,0.2193291093187439,8,0.1111111111111111,0.1659914816298614,0.1751581026364909,True,True,breast_discovery
collagen_ecm_organization,embedding__plip_050,0.2180805849517763,8,0.1111111111111111,0.1055585916034195,0.1092821204034568,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_032,0.239839329099763,8,0.1111111111111111,0.1431601948820148,0.1487866528929515,True,True,cervical_validation
immune_exclusion,embedding__plip_060,0.2358012042420995,8,0.1111111111111111,0.1681585313324051,0.1882842037443254,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_044,0.2325326096653392,8,0.1111111111111111,0.1358977941913092,0.1432887986313671,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_026,0.2274649922677114,8,0.2222222222222222,0.1997914590729758,0.247600100120953,True,False,cervical_validation
immune_exclusion,embedding__plip_017,0.2211558314257347,8,0.1111111111111111,0.1768692264773901,0.1889996149494964,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_054,0.2183346461745835,8,0.2222222222222222,0.2003208708643113,0.234122910716422,True,False,cervical_validation
luminal_estrogen_response,embedding__plip_022,0.2082201837476157,8,0.1111111111111111,0.1366704343061829,0.1413033736238019,True,True,cervical_validation
immune_activation,embedding__plip_037,0.2057685002928229,8,0.1111111111111111,0.1279400114157883,0.1554338201933885,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_041,0.2038389007014191,8,0.1111111111111111,0.1200397591742052,0.1227087081942562,True,True,cervical_validation
myofibroblast_caf_activation,embedding__plip_013,0.2026259576652174,8,0.1111111111111111,0.1413312980770546,0.1418862453109357,True,True,cervical_validation
