pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
oxidative_phosphorylation,embedding__plip_060,0.24101825345489963,7,8,0.1111111111111111,0.12121795527785727,0.13186605665595796,True,True
myofibroblast_caf_activation,embedding__plip_014,0.2269427530261317,7,8,0.1111111111111111,0.12979718219452555,0.14939759253635707,True,True
collagen_ecm_organization,embedding__plip_055,0.2187160409116456,7,8,0.1111111111111111,0.18255173590082863,0.18307037464110018,True,True
luminal_estrogen_response,embedding__plip_063,0.21022346844601864,10,8,0.1111111111111111,0.12459673505655144,0.12633787811041167,True,True
myofibroblast_caf_activation,embedding__plip_012,0.2028856705351951,7,8,0.1111111111111111,0.08915538685381647,0.09850982289967272,True,True
emt_invasive_front,embedding__plip_055,0.2024515660311659,8,8,0.1111111111111111,0.13008486129447572,0.1479881980030843,True,True
collagen_ecm_organization,embedding__plip_057,0.196562989594792,7,8,0.1111111111111111,0.13028204899783796,0.13328174411495092,True,True
collagen_ecm_organization,embedding__plip_049,0.19511865819939608,7,8,0.1111111111111111,0.052797653741664105,0.06203706473525884,True,True
immune_activation,embedding__plip_006,0.1903840159345418,7,8,0.1111111111111111,0.1587061135859456,0.16890439110799188,True,True
emt_invasive_front,embedding__plip_015,0.19011315436189116,8,8,0.2222222222222222,0.17155947899169127,0.19350168860704386,True,False
