pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
immune_activation,embedding__plip_006,0.267215100651762,8,0.1111111111111111,0.22888445864202572,0.25345291032042827,True,True
oxidative_phosphorylation,embedding__plip_050,0.2501000908480938,8,0.1111111111111111,0.11887236789166547,0.1382868993557499,True,True
immune_activation,embedding__plip_040,0.2380755642395004,8,0.1111111111111111,0.159185884620535,0.18682717286851724,True,True
luminal_estrogen_response,embedding__plip_009,0.22231698167182146,8,0.1111111111111111,0.1233760641148056,0.14448535109751703,True,True
oxidative_phosphorylation,embedding__plip_061,0.21604687989978666,8,0.1111111111111111,0.10435548772760601,0.1141515281357225,True,True
basal_squamous_state,embedding__plip_029,0.21602284238294178,8,0.1111111111111111,0.10427279515497916,0.10584512149771476,True,True
immune_activation,embedding__plip_045,0.1970644994782635,8,0.1111111111111111,0.14372003506064027,0.1529835566542607,True,True
emt_invasive_front,embedding__plip_051,0.19461582256600704,8,0.1111111111111111,0.11234942786259113,0.12868101814364064,True,True
emt_invasive_front,embedding__plip_054,0.1932908259600156,8,0.1111111111111111,0.15719465992394077,0.16851270190888124,True,True
immune_activation,embedding__plip_011,0.19100638194848898,8,0.1111111111111111,0.1714381660081626,0.17366134283478915,True,True
