pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_009,-0.2223169816718214,0.2223169816718214,0.0064289906987029,149,"structure,x,y,boundary_distance,log_total_counts",0.8687837171070418,4,0.1111111111111111,0.1233760641148056,0.144485351097517,True,True,0.1111111111111111,0.1168331383372227,0.1426413439002032,True,True,breast_discovery
immune_activation,immune_ecology,embedding__plip_006,-0.267215100651762,0.267215100651762,0.0009862416818923,149,"structure,x,y,boundary_distance,log_total_counts",0.6311946764110975,1,0.1111111111111111,0.2288844586420257,0.2534529103204282,True,True,0.1111111111111111,0.1409286192378312,0.164021389580296,True,True,breast_discovery
emt_invasive_front,invasion_boundary_emt,embedding__plip_051,-0.194615822566007,0.194615822566007,0.0173894030127619,149,"structure,x,y,boundary_distance,log_total_counts",0.8898999691770412,8,0.1111111111111111,0.1123494278625911,0.1286810181436406,True,True,0.1111111111111111,0.1699870082160431,0.1828677552444084,True,True,breast_discovery
oxidative_phosphorylation,metabolic_stress,embedding__plip_050,0.2501000908480938,0.2501000908480938,0.0020966424429636,149,"structure,x,y,boundary_distance,log_total_counts",0.6709255817483667,2,0.1111111111111111,0.1188723678916654,0.1382868993557499,True,True,0.1111111111111111,0.0767483099946556,0.0767615983990134,True,True,breast_discovery
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_062,0.1826875860319342,0.1826875860319342,0.025746969365011,149,"structure,x,y,boundary_distance,log_total_counts",0.8898999691770412,15,,,,,,,,,,,breast_discovery
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_033,0.2424998666611404,0.2424998666611404,0.0020715062141027,159,"structure,x,y,boundary_distance,log_total_counts",0.3341356039082156,1,0.1111111111111111,0.0967301295118901,0.1013135949638693,True,True,0.1111111111111111,0.1710181549608201,0.1735894894959,True,True,cervical_validation
immune_activation,immune_ecology,embedding__plip_053,-0.1852569597582246,0.1852569597582246,0.0193953492836182,159,"structure,x,y,boundary_distance,log_total_counts",0.4503490018078726,26,,,,,,,,,,,cervical_validation
emt_invasive_front,invasion_boundary_emt,embedding__plip_033,-0.2090060787989746,0.2090060787989746,0.0081947586148989,159,"structure,x,y,boundary_distance,log_total_counts",0.3341356039082156,13,,,,,,,,,,,cervical_validation
oxidative_phosphorylation,metabolic_stress,embedding__plip_033,0.2289153672796143,0.2289153672796143,0.0037034021163956,159,"structure,x,y,boundary_distance,log_total_counts",0.3341356039082156,3,0.1111111111111111,0.1190616165245828,0.1233301850799436,True,True,0.1111111111111111,0.0898596960217634,0.0907070625170111,True,True,cervical_validation
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_039,0.2233112586986805,0.2233112586986805,0.0046627932433874,159,"structure,x,y,boundary_distance,log_total_counts",0.3341356039082156,4,0.1111111111111111,0.1439813233333125,0.1624326755077768,True,True,0.1111111111111111,0.0702539772168682,0.0752362850520831,True,True,cervical_validation
