pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
immune_activation,embedding__plip_006,0.267215100651762,7,8,0.1111111111111111,0.1409286192378312,0.164021389580296,True,True,breast_discovery
oxidative_phosphorylation,embedding__plip_050,0.2501000908480938,7,8,0.1111111111111111,0.0767483099946556,0.0767615983990134,True,True,breast_discovery
immune_activation,embedding__plip_040,0.2380755642395004,7,8,0.1111111111111111,0.1644407179999695,0.2011335992443618,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_009,0.2223169816718214,10,8,0.1111111111111111,0.1168331383372227,0.1426413439002032,True,True,breast_discovery
oxidative_phosphorylation,embedding__plip_061,0.2160468798997866,7,8,0.1111111111111111,0.1331688603142418,0.1337627812266281,True,True,breast_discovery
basal_squamous_state,embedding__plip_029,0.2160228423829417,6,8,0.1111111111111111,0.1259720630969037,0.1356650235782895,True,True,breast_discovery
immune_activation,embedding__plip_045,0.1970644994782635,7,8,0.1111111111111111,0.1398562899835028,0.1679254833639757,True,True,breast_discovery
emt_invasive_front,embedding__plip_051,0.194615822566007,8,8,0.1111111111111111,0.1699870082160431,0.1828677552444084,True,True,breast_discovery
emt_invasive_front,embedding__plip_054,0.1932908259600156,8,8,0.1111111111111111,0.1389220254769196,0.1454173251475254,True,True,breast_discovery
immune_activation,embedding__plip_011,0.1910063819484889,7,8,0.1111111111111111,0.1530911551940709,0.1533385224648207,True,True,breast_discovery
basal_squamous_state,embedding__plip_033,0.2424998666611404,6,8,0.1111111111111111,0.1710181549608201,0.1735894894959,True,True,cervical_validation
basal_squamous_state,embedding__plip_028,0.2411612402175178,6,8,0.1111111111111111,0.1459532370940911,0.1498806835354858,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_033,0.2289153672796143,7,8,0.1111111111111111,0.0898596960217634,0.0907070625170111,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_039,0.2233112586986805,7,8,0.1111111111111111,0.0702539772168682,0.0752362850520831,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_061,0.2211429852991385,10,8,0.1111111111111111,0.1130571582431472,0.1220349877557152,True,True,cervical_validation
basal_squamous_state,embedding__plip_034,0.220049585661202,6,8,0.2222222222222222,0.2047132774995128,0.2205508004918784,True,False,cervical_validation
oxidative_phosphorylation,embedding__plip_018,0.216630557439085,7,8,0.1111111111111111,0.0729558132717107,0.0743110130973275,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_063,0.2157563630796805,7,8,0.1111111111111111,0.152117721990656,0.1535541366118107,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_049,0.2151867597076635,7,8,0.2222222222222222,0.202330819676858,0.2395986372849284,True,False,cervical_validation
basal_squamous_state,embedding__plip_062,0.2127868511148026,6,8,0.1111111111111111,0.1695710778838228,0.1912336011244269,True,True,cervical_validation
