pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,sample_role
immune_activation,embedding__plip_006,0.267215100651762,8,0.1111111111111111,0.2288844586420257,0.2534529103204282,True,True,breast_discovery
oxidative_phosphorylation,embedding__plip_050,0.2501000908480938,8,0.1111111111111111,0.1188723678916654,0.1382868993557499,True,True,breast_discovery
immune_activation,embedding__plip_040,0.2380755642395004,8,0.1111111111111111,0.159185884620535,0.1868271728685172,True,True,breast_discovery
luminal_estrogen_response,embedding__plip_009,0.2223169816718214,8,0.1111111111111111,0.1233760641148056,0.144485351097517,True,True,breast_discovery
oxidative_phosphorylation,embedding__plip_061,0.2160468798997866,8,0.1111111111111111,0.104355487727606,0.1141515281357225,True,True,breast_discovery
basal_squamous_state,embedding__plip_029,0.2160228423829417,8,0.1111111111111111,0.1042727951549791,0.1058451214977147,True,True,breast_discovery
immune_activation,embedding__plip_045,0.1970644994782635,8,0.1111111111111111,0.1437200350606402,0.1529835566542607,True,True,breast_discovery
emt_invasive_front,embedding__plip_051,0.194615822566007,8,0.1111111111111111,0.1123494278625911,0.1286810181436406,True,True,breast_discovery
emt_invasive_front,embedding__plip_054,0.1932908259600156,8,0.1111111111111111,0.1571946599239407,0.1685127019088812,True,True,breast_discovery
immune_activation,embedding__plip_011,0.1910063819484889,8,0.1111111111111111,0.1714381660081626,0.1736613428347891,True,True,breast_discovery
basal_squamous_state,embedding__plip_033,0.2424998666611404,8,0.1111111111111111,0.0967301295118901,0.1013135949638693,True,True,cervical_validation
basal_squamous_state,embedding__plip_028,0.2411612402175178,8,0.1111111111111111,0.0756110705521843,0.0814904607597767,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_033,0.2289153672796143,8,0.1111111111111111,0.1190616165245828,0.1233301850799436,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_039,0.2233112586986805,8,0.1111111111111111,0.1439813233333125,0.1624326755077768,True,True,cervical_validation
luminal_estrogen_response,embedding__plip_061,0.2211429852991385,8,0.1111111111111111,0.1125385604144726,0.1316046171767831,True,True,cervical_validation
basal_squamous_state,embedding__plip_034,0.220049585661202,8,0.1111111111111111,0.130575703819888,0.1340310279815523,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_018,0.216630557439085,8,0.1111111111111111,0.1429252982149368,0.1481598914109977,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_063,0.2157563630796805,8,0.1111111111111111,0.1183438480273829,0.1301621900063568,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_049,0.2151867597076635,8,0.2222222222222222,0.1809615390779491,0.2139021694457237,True,True,cervical_validation
basal_squamous_state,embedding__plip_062,0.2127868511148026,8,0.1111111111111111,0.1142874716652819,0.1190272145055834,True,True,cervical_validation
