pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
epithelial_identity,endocrine_epithelial_identity,embedding__plip_071,0.22164650020143412,0.22164650020143412,0.0007304749383449834,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,1,0.07692307692307693,0.10231569518427876,0.12308155643394263,True,True,0.07692307692307693,0.16693145268455015,0.17000732114642264,True,True
unfolded_protein_response,metabolic_stress,embedding__plip_013,0.20754787519164866,0.20754787519164866,0.001588331015451956,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,2,0.07692307692307693,0.11472321476432543,0.1308553044261487,True,True,0.15384615384615385,0.2045266100800332,0.21851468973366328,True,False
unfolded_protein_response,metabolic_stress,embedding__plip_109,0.2056972118239545,0.2056972118239545,0.0017524665643188335,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,3,0.07692307692307693,0.0883932070190749,0.10437865293473918,True,True,0.07692307692307693,0.14396976186473995,0.14621844244512816,True,True
unfolded_protein_response,metabolic_stress,embedding__plip_028,0.19662582586389396,0.19662582586389396,0.0028041122829982577,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,4,0.07692307692307693,0.12653359721338828,0.14326634829876583,True,True,0.07692307692307693,0.16057485185295364,0.16661037820458127,True,True
unfolded_protein_response,metabolic_stress,embedding__plip_077,0.19157540738388493,0.19157540738388493,0.0036119649068366414,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,5,0.07692307692307693,0.13381903568412962,0.1407642268732065,True,True,0.07692307692307693,0.10402366390755516,0.10725044731579964,True,True
unfolded_protein_response,metabolic_stress,embedding__plip_030,0.18781987550419532,0.18781987550419532,0.00434310218608093,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,6,0.07692307692307693,0.13530582458493476,0.13866529482406362,True,True,0.07692307692307693,0.12597585386485818,0.12674945240243324,True,True
unfolded_protein_response,metabolic_stress,embedding__plip_009,-0.18631138536396427,0.18631138536396427,0.00467251046700626,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,7,0.07692307692307693,0.08245972707657596,0.12201153651989333,True,True,0.07692307692307693,0.1492416474848894,0.1557944203930392,True,True
unfolded_protein_response,metabolic_stress,embedding__plip_074,0.18390942994277848,0.18390942994277848,0.005243575879261418,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,8,0.15384615384615385,0.18634834718991705,0.2070205176537182,False,False,0.07692307692307693,0.12331797739760143,0.13818654588434853,True,True
epithelial_identity,endocrine_epithelial_identity,embedding__plip_030,0.1821287748381294,0.1821287748381294,0.005706549293382309,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,9,0.07692307692307693,0.10135711067025234,0.1017648595561934,True,True,0.15384615384615385,0.17909752436434004,0.191039907575672,True,False
unfolded_protein_response,metabolic_stress,embedding__plip_076,0.17922264165485172,0.17922264165485172,0.006541188471298883,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,10,0.07692307692307693,0.11910541806854488,0.1206577309969337,True,True,0.15384615384615385,0.1571405999932527,0.1766620765319234,True,True
unfolded_protein_response,metabolic_stress,embedding__plip_089,-0.1754824792956992,0.1754824792956992,0.0077750428717830436,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,11,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_095,0.1748675932947921,0.1748675932947921,0.007996616843669802,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,12,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_040,0.17324976430659975,0.17324976430659975,0.008606659323662046,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,13,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,embedding__plip_024,-0.1701211535948875,0.1701211535948875,0.009904659794064248,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,14,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_080,-0.17002530831758797,0.17002530831758797,0.009947022869766071,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,15,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_113,0.16949207425772522,0.16949207425772522,0.010185649476023899,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,16,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_109,0.16702014549747443,0.16702014549747443,0.01135923678234895,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,17,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_013,0.1663530157986767,0.1663530157986767,0.01169573675140111,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,18,,,,,,,,,,
unfolded_protein_response,metabolic_stress,embedding__plip_086,0.16553571408454854,0.16553571408454854,0.012119933607452098,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,19,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_009,-0.1645461364942931,0.1645461364942931,0.012651628799573121,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,20,,,,,,,,,,
unfolded_protein_response,metabolic_stress,embedding__plip_081,0.16359467378385675,0.16359467378385675,0.013182076803368999,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,21,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_045,-0.1634329487742112,0.1634329487742112,0.013274156348616313,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,22,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_004,-0.16243288073619042,0.16243288073619042,0.013856199081754944,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,23,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_048,-0.16239799270266475,0.16239799270266475,0.01387690192365112,229,"structure,x,y,boundary_distance,log_total_counts",0.6969158874513529,24,,,,,,,,,,
