pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
epithelial_identity,embedding__plip_071,0.22164650020143412,12,0.07692307692307693,0.10231569518427876,0.12308155643394263,True,True
unfolded_protein_response,embedding__plip_013,0.20754787519164866,12,0.07692307692307693,0.11472321476432543,0.1308553044261487,True,True
unfolded_protein_response,embedding__plip_109,0.2056972118239545,12,0.07692307692307693,0.0883932070190749,0.10437865293473918,True,True
unfolded_protein_response,embedding__plip_028,0.19662582586389396,12,0.07692307692307693,0.12653359721338828,0.14326634829876583,True,True
unfolded_protein_response,embedding__plip_077,0.19157540738388493,12,0.07692307692307693,0.13381903568412962,0.1407642268732065,True,True
unfolded_protein_response,embedding__plip_030,0.18781987550419532,12,0.07692307692307693,0.13530582458493476,0.13866529482406362,True,True
unfolded_protein_response,embedding__plip_009,0.18631138536396427,12,0.07692307692307693,0.08245972707657596,0.12201153651989333,True,True
unfolded_protein_response,embedding__plip_074,0.18390942994277848,12,0.15384615384615385,0.18634834718991705,0.2070205176537182,False,False
epithelial_identity,embedding__plip_030,0.1821287748381294,12,0.07692307692307693,0.10135711067025234,0.1017648595561934,True,True
unfolded_protein_response,embedding__plip_076,0.17922264165485172,12,0.07692307692307693,0.11910541806854488,0.1206577309969337,True,True
