pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
epithelial_identity,embedding__plip_071,0.2216465002014341,7,12,0.0769230769230769,0.1669314526845501,0.1700073211464226,True,True,breast_discovery
unfolded_protein_response,embedding__plip_013,0.2075478751916486,7,12,0.1538461538461538,0.2045266100800332,0.2185146897336632,True,False,breast_discovery
unfolded_protein_response,embedding__plip_109,0.2056972118239545,7,12,0.0769230769230769,0.1439697618647399,0.1462184424451281,True,True,breast_discovery
unfolded_protein_response,embedding__plip_028,0.1966258258638939,7,12,0.0769230769230769,0.1605748518529536,0.1666103782045812,True,True,breast_discovery
unfolded_protein_response,embedding__plip_077,0.1915754073838849,7,12,0.0769230769230769,0.1040236639075551,0.1072504473157996,True,True,breast_discovery
unfolded_protein_response,embedding__plip_030,0.1878198755041953,7,12,0.0769230769230769,0.1259758538648581,0.1267494524024332,True,True,breast_discovery
unfolded_protein_response,embedding__plip_009,0.1863113853639642,7,12,0.0769230769230769,0.1492416474848894,0.1557944203930392,True,True,breast_discovery
unfolded_protein_response,embedding__plip_074,0.1839094299427784,7,12,0.0769230769230769,0.1233179773976014,0.1381865458843485,True,True,breast_discovery
epithelial_identity,embedding__plip_030,0.1821287748381294,7,12,0.1538461538461538,0.17909752436434,0.191039907575672,True,False,breast_discovery
unfolded_protein_response,embedding__plip_076,0.1792226416548517,7,12,0.1538461538461538,0.1571405999932527,0.1766620765319234,True,True,breast_discovery
immune_activation,embedding__plip_037,0.1983840631422367,7,12,0.0769230769230769,0.1315642894054766,0.1378562668885724,True,True,cervical_validation
immune_activation,embedding__plip_030,0.189689923309861,7,12,0.0769230769230769,0.1531485169632233,0.1716003087524478,True,True,cervical_validation
immune_exclusion,embedding__plip_103,0.1817255633138583,7,12,0.0769230769230769,0.1199688735853455,0.121233815232419,True,True,cervical_validation
immune_activation,embedding__plip_113,0.1815716825132998,7,12,0.0769230769230769,0.082844749719399,0.0980945131266471,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_007,0.1809664593044065,7,12,0.0769230769230769,0.1261988535774865,0.1545043329770467,True,True,cervical_validation
unfolded_protein_response,embedding__plip_014,0.1782006501961,7,12,0.0769230769230769,0.0963456331512703,0.1122338545014127,True,True,cervical_validation
myofibroblast_caf_activation,embedding__plip_055,0.1755415765943586,7,12,0.0769230769230769,0.1012471116752319,0.1120812119332723,True,True,cervical_validation
epithelial_identity,embedding__plip_007,0.1751153973334336,7,12,0.0769230769230769,0.1324525717229111,0.1604727452820929,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_043,0.1706078794681665,7,12,0.0769230769230769,0.0891219220628685,0.0952589591403627,True,True,cervical_validation
myofibroblast_caf_activation,embedding__plip_118,0.1668685383013935,7,12,0.0769230769230769,0.0824608038159805,0.0854973277550895,True,True,cervical_validation
