pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,sample_role
epithelial_identity,embedding__plip_071,0.2216465002014341,12,0.0769230769230769,0.1023156951842787,0.1230815564339426,True,True,breast_discovery
unfolded_protein_response,embedding__plip_013,0.2075478751916486,12,0.0769230769230769,0.1147232147643254,0.1308553044261487,True,True,breast_discovery
unfolded_protein_response,embedding__plip_109,0.2056972118239545,12,0.0769230769230769,0.0883932070190749,0.1043786529347391,True,True,breast_discovery
unfolded_protein_response,embedding__plip_028,0.1966258258638939,12,0.0769230769230769,0.1265335972133882,0.1432663482987658,True,True,breast_discovery
unfolded_protein_response,embedding__plip_077,0.1915754073838849,12,0.0769230769230769,0.1338190356841296,0.1407642268732065,True,True,breast_discovery
unfolded_protein_response,embedding__plip_030,0.1878198755041953,12,0.0769230769230769,0.1353058245849347,0.1386652948240636,True,True,breast_discovery
unfolded_protein_response,embedding__plip_009,0.1863113853639642,12,0.0769230769230769,0.0824597270765759,0.1220115365198933,True,True,breast_discovery
unfolded_protein_response,embedding__plip_074,0.1839094299427784,12,0.1538461538461538,0.186348347189917,0.2070205176537182,False,False,breast_discovery
epithelial_identity,embedding__plip_030,0.1821287748381294,12,0.0769230769230769,0.1013571106702523,0.1017648595561934,True,True,breast_discovery
unfolded_protein_response,embedding__plip_076,0.1792226416548517,12,0.0769230769230769,0.1191054180685448,0.1206577309969337,True,True,breast_discovery
immune_activation,embedding__plip_037,0.1983840631422367,12,0.0769230769230769,0.1200089703676288,0.1491699414300856,True,True,cervical_validation
immune_activation,embedding__plip_030,0.189689923309861,12,0.0769230769230769,0.0629188351727342,0.0669920261772023,True,True,cervical_validation
immune_exclusion,embedding__plip_103,0.1817255633138583,12,0.0769230769230769,0.0743848239511042,0.0827622792073798,True,True,cervical_validation
immune_activation,embedding__plip_113,0.1815716825132998,12,0.0769230769230769,0.1000379772719559,0.1016535709245282,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_007,0.1809664593044065,12,0.0769230769230769,0.1232839348925778,0.146823901472676,True,True,cervical_validation
unfolded_protein_response,embedding__plip_014,0.1782006501961,12,0.0769230769230769,0.097145126950522,0.1088160840929999,True,True,cervical_validation
myofibroblast_caf_activation,embedding__plip_055,0.1755415765943586,12,0.0769230769230769,0.1184634315454473,0.1310842079859675,True,True,cervical_validation
epithelial_identity,embedding__plip_007,0.1751153973334336,12,0.0769230769230769,0.1357964923745666,0.145709373268555,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_043,0.1706078794681665,12,0.0769230769230769,0.06649867320588,0.0665956488129156,True,True,cervical_validation
myofibroblast_caf_activation,embedding__plip_118,0.1668685383013935,12,0.1538461538461538,0.1357646190258876,0.1626956743988439,True,True,cervical_validation
